caseId,area,expected,actual,diagnosticCode,result
"negative-first-clear-fixed-on-offline","negative","INVALID/FIRST_CLEAR_GRANT_MODE_INVALID","INVALID","FIRST_CLEAR_GRANT_MODE_INVALID","PASS"
"negative-boss-grant-on-non-boss","negative","INVALID/BOSS_STAGE_REQUIRED","INVALID","BOSS_STAGE_REQUIRED","PASS"
"negative-special-grant-on-repeat","negative","INVALID/SPECIAL_GRANT_MODE_INVALID","INVALID","SPECIAL_GRANT_MODE_INVALID","PASS"
"negative-special-grant-on-offline","negative","INVALID/SPECIAL_GRANT_MODE_INVALID","INVALID","SPECIAL_GRANT_MODE_INVALID","PASS"
"negative-special-subject-ordinary-BossExclusive","negative","INVALID/SPECIAL_SUBJECT_IN_ORDINARY_ROLL","INVALID","SPECIAL_SUBJECT_IN_ORDINARY_ROLL","PASS"
"negative-special-subject-ordinary-SystemRhythmSpecial","negative","INVALID/SPECIAL_SUBJECT_IN_ORDINARY_ROLL","INVALID","SPECIAL_SUBJECT_IN_ORDINARY_ROLL","PASS"
"negative-special-subject-ordinary-StoryCritical","negative","INVALID/SPECIAL_SUBJECT_IN_ORDINARY_ROLL","INVALID","SPECIAL_SUBJECT_IN_ORDINARY_ROLL","PASS"
"negative-special-subject-ordinary-CosmeticSkin","negative","INVALID/SPECIAL_SUBJECT_IN_ORDINARY_ROLL","INVALID","SPECIAL_SUBJECT_IN_ORDINARY_ROLL","PASS"
"negative-showcase-product-request","context","INVALID/PRODUCT_CONTEXT_REJECTED","INVALID","PRODUCT_CONTEXT_REJECTED|REQUEST_CONTEXT_MISMATCH","PASS"
"negative-dev-showcase-product-pair","context","INVALID/FROZEN_CONTEXT_IDENTITY_INVALID","INVALID","FROZEN_CONTEXT_IDENTITY_INVALID|PRODUCT_CONTEXT_REJECTED|REQUEST_CONTEXT_MISMATCH","PASS"
"negative-campaign-diagnostics-pair","context","INVALID/FROZEN_CONTEXT_IDENTITY_INVALID","INVALID","FROZEN_CONTEXT_IDENTITY_INVALID|PRODUCT_CONTEXT_REJECTED|REQUEST_CONTEXT_MISMATCH","PASS"
"positive-showcase-stage-clear-fact-only","context","VALID","VALID","","PASS"
"negative-showcase-drop-roll-result","context","INVALID/PRODUCT_CONTEXT_REJECTED","INVALID","PRODUCT_CONTEXT_REJECTED|PRODUCT_CONTEXT_REJECTED","PASS"
"negative-showcase-reward-result","context","INVALID/PRODUCT_CONTEXT_REJECTED","INVALID","PRODUCT_CONTEXT_REJECTED|PRODUCT_CONTEXT_REJECTED|PRODUCT_CONTEXT_REJECTED","PASS"
"negative-showcase-claim","context","INVALID/PRODUCT_CONTEXT_REJECTED","INVALID","PRODUCT_CONTEXT_REJECTED","PASS"
"negative-showcase-dedupe","context","INVALID/PRODUCT_CONTEXT_REJECTED","INVALID","PRODUCT_CONTEXT_REJECTED","PASS"
"negative-same-stage-campaign-vs-showcase","context","campaign valid; showcase product grant count=0","campaign valid; showcase product grant count=0","CONTEXT_ELIGIBILITY_INFERENCE","PASS"
"negative-I031-explicit-category-excluded","special-exclusion","INVALID/SPECIAL_SUBJECT_IN_ORDINARY_ROLL","INVALID","SPECIAL_SUBJECT_IN_ORDINARY_ROLL","PASS"
"negative-non-I031-same-category-excluded","special-exclusion","INVALID/SPECIAL_SUBJECT_IN_ORDINARY_ROLL","INVALID","SPECIAL_SUBJECT_IN_ORDINARY_ROLL","PASS"
"negative-category-based-exclusion-identical","special-exclusion","SPECIAL_SUBJECT_IN_ORDINARY_ROLL","SPECIAL_SUBJECT_IN_ORDINARY_ROLL","STRING_ID_INFERENCE_DETECTED","PASS"
"canonical-1000-repeat","canonical","1000","1000","CANONICAL_REPEAT_MISMATCH","PASS"
"delta-request-identity","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-acquisition-mode","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-correlation-stage","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-root-seed","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-generation-version","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-pool-version","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-tier-profile","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-attribute-band","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-roll-policy","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-launch-context","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-persistence-policy","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-subject-category","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-item-instance","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-source-canonical-signature","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"delta-quantity","canonical-delta","signature changes","signature changes","CANONICAL_DELTA_MISSING","PASS"
"public-mutation-surface-scan","immutability","0 violations","","PUBLIC_MUTATION_SURFACE","PASS"
"validation-errors-immutable","immutability","read-only","read-only","MUTABLE_VALIDATION_ERRORS","PASS"
"forbidden-nondeterministic-and-dependency-scan","leak","0 hits","","FORBIDDEN_RUNTIME_DEPENDENCY","PASS"
"runtime-I031-literal-scan","leak","0","0","RUNTIME_SPECIAL_ID_LITERAL","PASS"
"context-inference-source-scan","leak","0 hits","","CONTEXT_INFERENCE_SOURCE","PASS"
"context-inference-contract-field-scan","leak","0 fields","","CONTEXT_INFERENCE_FIELD","PASS"
"runtime-pure-csharp-scan","leak","pure C# contracts","pure C# contracts","NON_CSHARP_RUNTIME_ASSET","PASS"
"assignment-sha-after","source","6cb361ea6628cd6958f24247d77a43bb73d8241b1780d7e6614fea04cb914090","6cb361ea6628cd6958f24247d77a43bb73d8241b1780d7e6614fea04cb914090","ASSIGNMENT_SHA_MISMATCH","PASS"
"exact-whitelist-files-exist","whitelist","25","25","WHITELIST_FILE_MISSING","PASS"
"out-of-whitelist-actions","whitelist","0","0","OUT_OF_WHITELIST_WRITE","PASS"
