"specId","specCategory","scopeId","displayName","stableKeyOrValue","requirement","designStatus","devOnly","isEnabled","entersFormalFlow"
"BA-VIS-MATERIAL-06","MATERIAL_NARRATIVE","bone_aspect","空白骨片","material.bone_aspect.blank_bone_fragment","叙事含义：未被定义、无法交易的自我；主要使用范围：主线关键物","MATERIAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-NORMAL-01","NORMAL_ENEMY_VIEW","normal_enemy","正面与三分之四视图","view.normal_enemy.front_and_three_quarter","每个普通怪至少提供正面和战斗三分之四识别基准","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-NORMAL-02","NORMAL_ENEMY_VIEW","normal_enemy","纯轮廓视图","view.normal_enemy.silhouette","去除材质后仍须凭头身比、肢体和携带物区分同章三个普通怪","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-NORMAL-03","NORMAL_ENEMY_VIEW","normal_enemy","主材质特写","view.normal_enemy.primary_material","每个普通怪明确一种主材质和一种辅助材质，避免全身同质化","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-NORMAL-04","NORMAL_ENEMY_VIEW","normal_enemy","机制标记视图","view.normal_enemy.mechanic_marker","护盾、读条、真假、复制、封印或地面区必须有独立标记位","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-NORMAL-05","NORMAL_ENEMY_VIEW","normal_enemy","状态差分视图","view.normal_enemy.state_set","至少覆盖常态、机制启动态与受击或破坏态；不得用完全换色代替状态设计","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-NORMAL-06","NORMAL_ENEMY_VIEW","normal_enemy","小屏预览","view.normal_enemy.small_screen","在小屏和压缩画面中仍能识别主轮廓、危险前摇与目标身份","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-BOSS-01","BOSS_VIEW","boss","Boss正面设定","view.boss.front","四个Boss均需明确正面身份、核心符号和章节材质归属","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-BOSS-02","BOSS_VIEW","boss","Boss战斗三分之四视图","view.boss.battle_three_quarter","主轮廓、攻击肢体和机制核心在战斗角度必须同时可读","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-BOSS-03","BOSS_VIEW","boss","Boss阶段差分","view.boss.phase_states","阶段切换必须改变轮廓、材质或机制核心中的至少两项；不得只做全屏闪光","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-BOSS-04","BOSS_VIEW","boss","Boss海报标准参考","view.boss.poster_reference_only","预留正面主视觉和标题安全区标准；Boss海报成品属于外部参考，不在本包生产","VIEW_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-SCENE-01","SCENE_LAYERING","encounter_node","前景层","scene.layer.foreground","前景只用于框景和章节材质提示，不得遮挡角色脚底、机制区和目标锁定","SCENE_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-SCENE-02","SCENE_LAYERING","encounter_node","战斗中景层","scene.layer.battle_midground","中景承载战斗角色、地面预警、关系线和阶段核心，是最高可读性层","SCENE_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-SCENE-03","SCENE_LAYERING","encounter_node","叙事背景层","scene.layer.narrative_background","背景承担章节地点和故事线索，但亮度、运动和细节密度不得压过战斗中景","SCENE_REQUIREMENT_LOCKED","true","false","false"
"BA-VIS-SAFE-01","SAFE_AREA","encounter_node","战斗角色安全区","safe_area.battle_actor","中央战斗带必须为角色轮廓、冲锋路径、关系线、读条和地面危险保留连续净空","SAFE_AREA_LOCKED","true","false","false"
"BA-VIS-SAFE-02","SAFE_AREA","encounter_node","UI安全区","safe_area.ui","顶部状态与阶段信息、左右操作区、底部技能说明和字幕区不得被高对比场景元素侵入","SAFE_AREA_LOCKED","true","false","false"
"BA-VIS-READ-01","READABILITY","bone_aspect","大轮廓 / 高对比 / 手机小屏可读","readability.large_silhouette_high_contrast_mobile","大轮廓 / 高对比 / 手机小屏可读","READABILITY_LOCKED","true","false","false"
"BA-VIS-READ-02","READABILITY","bone_aspect","一怪一个主机制标识","readability.one_primary_mechanic_marker","一怪一个主机制标识","READABILITY_LOCKED","true","false","false"
"BA-VIS-READ-03","READABILITY","bone_aspect","同章节共享材质家族","readability.shared_chapter_material_family","同章节共享材质家族","READABILITY_LOCKED","true","false","false"
"BA-VIS-READ-04","READABILITY","bone_aspect","Boss 具有单一远距离记忆点","readability.boss_single_long_distance_memory_point","Boss 具有单一远距离记忆点","READABILITY_LOCKED","true","false","false"
"BA-VIS-READ-05","READABILITY","bone_aspect","机制状态使用分层图","readability.layered_mechanic_state","机制状态使用分层图，不烧入基础立绘","READABILITY_LOCKED","true","false","false"
"BA-VIS-PROHIBIT-01","PROHIBITED_DIRECTION","bone_aspect","欧美骷髅兵或西式墓园","prohibit.western_skeleton_or_cemetery","欧美骷髅兵或西式墓园","PROHIBITION_LOCKED","true","false","false"
"BA-VIS-PROHIBIT-02","PROHIBITED_DIRECTION","bone_aspect","恶魔祭坛或克苏鲁血肉","prohibit.demon_altar_or_lovecraft_flesh","恶魔祭坛或克苏鲁血肉","PROHIBITION_LOCKED","true","false","false"
"BA-VIS-PROHIBIT-03","PROHIBITED_DIRECTION","bone_aspect","大量裸露骨架、器官或血腥爆炸","prohibit.exposed_skeleton_organs_gore","大量裸露骨架、器官或血腥爆炸","PROHIBITION_LOCKED","true","false","false"
"BA-VIS-PROHIBIT-04","PROHIBITED_DIRECTION","bone_aspect","普通古风修仙、明亮仙山旅游图","prohibit.generic_xianxia_bright_mountain","普通古风修仙、明亮仙山旅游图","PROHIBITION_LOCKED","true","false","false"
"BA-VIS-PROHIBIT-05","PROHIBITED_DIRECTION","bone_aspect","赛博实验室","prohibit.cyber_laboratory","赛博实验室","PROHIBITION_LOCKED","true","false","false"
"BA-VIS-PROHIBIT-06","PROHIBITED_DIRECTION","bone_aspect","满身随机骨刺、人脸和无意义碎细节","prohibit.random_bone_spikes_faces_microdetail","满身随机骨刺、人脸和无意义碎细节","PROHIBITION_LOCKED","true","false","false"
"BA-VIS-PROHIBIT-07","PROHIBITED_DIRECTION","bone_aspect","全部场景使用同一暗色调","prohibit.single_dark_tone_all_scenes","全部场景使用同一暗色调","PROHIBITION_LOCKED","true","false","false"
"BA-VIS-PROHIBIT-08","PROHIBITED_DIRECTION","bone_aspect","把 UI、技能答案、机制阈值或正式状态烧进图片","prohibit.bake_ui_answers_thresholds_formal_state","把 UI、技能答案、机制阈值或正式状态烧进图片","PROHIBITION_LOCKED","true","false","false"
