baseItemId,itemName,faMen,qiLei,shape,trigger,basicEffect,lighting,recommendedPlacement,flavorText,iconKey,dataMaturity
"I011","照焚铜镜","离火法","镜","shape_line2_h · 2格 · 核心格(1,0)","核心格已点亮时，每次满足“回光”的触发条件即可发动；候选内部冷却按载荷读取。","镜照后留下离火余焰。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","放在能接触两件同法门道具的位置；当前lihuo法门候选Build需要已点亮实例计数。","旧物记：照焚铜镜原是青石坊里常见的镜，经离火法法脉重题符胆后，留下了“回光”这一手独门用法。","i011_placeholder","BALANCE_CANDIDATE"
"I012","长明灯","离火法","法","shape_line2_v · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“长明”的触发条件即可发动；候选内部冷却按载荷读取。","离火法大件，提供长明火势。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前lihuo法门候选Build需要已点亮实例计数。","旧物记：长明灯原是青石坊里常见的法，经离火法法脉重题符胆后，留下了“长明”这一手独门用法。","i012_placeholder","BALANCE_CANDIDATE"
"I013","护身符","中岳法","符","shape_single_1 · 1格 · 核心格(0,0)","核心格已点亮时，每次满足“护身”的触发条件即可发动；候选内部冷却按载荷读取。","提供一次轻量护身缓冲。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前zhongyue法门候选Build需要已点亮实例计数。","旧物记：护身符原是青石坊里常见的符，经中岳法法脉重题符胆后，留下了“护身”这一手独门用法。","i013_placeholder","BALANCE_CANDIDATE"
"I014","镇宅长符","中岳法","符","shape_line3_h · 3格 · 核心格(1,0)","核心格已点亮时，每次满足“镇宅”的触发条件即可发动；候选内部冷却按载荷读取。","横向镇守，提供中岳稳固。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先贴近阵位点边缘，给小件留出转向空间；当前zhongyue法门候选Build需要已点亮实例计数。","旧物记：镇宅长符原是青石坊里常见的符，经中岳法法脉重题符胆后，留下了“镇宅”这一手独门用法。","i014_placeholder","BALANCE_CANDIDATE"
"I015","中岳镇守章","中岳法","印","shape_corner3 · 3格 · 核心格(0,0)","核心格已点亮时，每次满足“镇守”的触发条件即可发动；候选内部冷却按载荷读取。","章印落定后提供镇守防护。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先贴近阵位点边缘，给小件留出转向空间；当前zhongyue法门候选Build需要已点亮实例计数。","旧物记：中岳镇守章原是青石坊里常见的印，经中岳法法脉重题符胆后，留下了“镇守”这一手独门用法。","i015_placeholder","BALANCE_CANDIDATE"
"I016","护坛令旗","中岳法","令","shape_line2_v · 2格 · 核心格(0,1)","核心格已点亮时，每次满足“护坛”的触发条件即可发动；候选内部冷却按载荷读取。","令旗立坛，提供短时护坛。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前zhongyue法门候选Build需要已点亮实例计数。","旧物记：护坛令旗原是青石坊里常见的令，经中岳法法脉重题符胆后，留下了“护坛”这一手独门用法。","i016_placeholder","BALANCE_CANDIDATE"
"I017","照邪八卦镜","中岳法","镜","shape_line3_v · 3格 · 核心格(0,1)","核心格已点亮时，每次满足“定影”的触发条件即可发动；候选内部冷却按载荷读取。","照出邪影并提供防护判断。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先贴近阵位点边缘，给小件留出转向空间；当前zhongyue法门候选Build需要已点亮实例计数。","旧物记：照邪八卦镜原是青石坊里常见的镜，经中岳法法脉重题符胆后，留下了“定影”这一手独门用法。","i017_placeholder","BALANCE_CANDIDATE"
"I018","镇山铜鼎","中岳法","法","shape_block2x2 · 4格 · 核心格(1,1)","核心格已点亮时，每次满足“镇山”的触发条件即可发动；候选内部冷却按载荷读取。","中岳大件，提供压阵与守势。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先贴近阵位点边缘，给小件留出转向空间；当前zhongyue法门候选Build需要已点亮实例计数。","旧物记：镇山铜鼎原是青石坊里常见的法，经中岳法法脉重题符胆后，留下了“镇山”这一手独门用法。","i018_placeholder","BALANCE_CANDIDATE"
"I019","净水符","玄水法","符","shape_single_1 · 1格 · 核心格(0,0)","核心格已点亮时，每次满足“净水”的触发条件即可发动；候选内部冷却按载荷读取。","净去一层秽气倾向。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前xuanshui法门候选Build需要已点亮实例计数。","旧物记：净水符原是青石坊里常见的符，经玄水法法脉重题符胆后，留下了“净水”这一手独门用法。","i019_placeholder","BALANCE_CANDIDATE"
"I020","涤秽长符","玄水法","符","shape_line2_v · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“涤秽”的触发条件即可发动；候选内部冷却按载荷读取。","持续清涤负面状态。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前xuanshui法门候选Build需要已点亮实例计数。","旧物记：涤秽长符原是青石坊里常见的符，经玄水法法脉重题符胆后，留下了“涤秽”这一手独门用法。","i020_placeholder","BALANCE_CANDIDATE"
"I021","玄水涤秽印","玄水法","印","shape_line2_h · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“涤心”的触发条件即可发动；候选内部冷却按载荷读取。","以印心凝水，提供清秽回护。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先占据阵位点并承接相邻接亮；当前xuanshui法门候选Build需要已点亮实例计数。","旧物记：玄水涤秽印原是青石坊里常见的印，经玄水法法脉重题符胆后，留下了“涤心”这一手独门用法。","i021_placeholder","BALANCE_CANDIDATE"
"I022","玄水流令","玄水法","令","shape_line2_v · 2格 · 核心格(0,1)","核心格已点亮时，每次满足“回流”的触发条件即可发动；候选内部冷却按载荷读取。","令文流转，提供节奏回转。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前xuanshui法门候选Build需要已点亮实例计数。","旧物记：玄水流令原是青石坊里常见的令，经玄水法法脉重题符胆后，留下了“回流”这一手独门用法。","i022_placeholder","BALANCE_CANDIDATE"
"I023","照秽水镜","玄水法","镜","shape_line2_h · 2格 · 核心格(1,0)","核心格已点亮时，每次满足“照秽”的触发条件即可发动；候选内部冷却按载荷读取。","镜照秽气并触发水涟。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","放在能接触两件同法门道具的位置；当前xuanshui法门候选Build需要已点亮实例计数。","旧物记：照秽水镜原是青石坊里常见的镜，经玄水法法脉重题符胆后，留下了“照秽”这一手独门用法。","i023_placeholder","BALANCE_CANDIDATE"
"I024","净水盂","玄水法","法","shape_corner3 · 3格 · 核心格(0,0)","核心格已点亮时，每次满足“蓄水”的触发条件即可发动；候选内部冷却按载荷读取。","玄水大件，蓄水净化与回护。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先贴近阵位点边缘，给小件留出转向空间；当前xuanshui法门候选Build需要已点亮实例计数。","旧物记：净水盂原是青石坊里常见的法，经玄水法法脉重题符胆后，留下了“蓄水”这一手独门用法。","i024_placeholder","BALANCE_CANDIDATE"
"I025","封煞符","太白法","符","shape_single_1 · 1格 · 核心格(0,0)","核心格已点亮时，每次满足“封煞”的触发条件即可发动；候选内部冷却按载荷读取。","短暂封住煞气行动。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前taibai法门候选Build需要已点亮实例计数。","旧物记：封煞符原是青石坊里常见的符，经太白法法脉重题符胆后，留下了“封煞”这一手独门用法。","i025_placeholder","BALANCE_CANDIDATE"
"I026","太白斩符","太白法","符","shape_line2_h · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“太白”的触发条件即可发动；候选内部冷却按载荷读取。","以符气形成一次斩击。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前taibai法门候选Build需要已点亮实例计数。","旧物记：太白斩符原是青石坊里常见的符，经太白法法脉重题符胆后，留下了“太白”这一手独门用法。","i026_placeholder","BALANCE_CANDIDATE"
"I027","太白斩煞印","太白法","印","shape_line2_v · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“斩煞”的触发条件即可发动；候选内部冷却按载荷读取。","印心锁定煞气并斩断。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先占据阵位点并承接相邻接亮；当前taibai法门候选Build需要已点亮实例计数。","旧物记：太白斩煞印原是青石坊里常见的印，经太白法法脉重题符胆后，留下了“斩煞”这一手独门用法。","i027_placeholder","BALANCE_CANDIDATE"
"I028","断煞令","太白法","令","shape_line2_h · 2格 · 核心格(1,0)","核心格已点亮时，每次满足“断令”的触发条件即可发动；候选内部冷却按载荷读取。","令文触发断煞窗口。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前taibai法门候选Build需要已点亮实例计数。","旧物记：断煞令原是青石坊里常见的令，经太白法法脉重题符胆后，留下了“断令”这一手独门用法。","i028_placeholder","BALANCE_CANDIDATE"
"I029","照煞镜","太白法","镜","shape_single_1 · 1格 · 核心格(0,0)","核心格已点亮时，每次满足“照煞”的触发条件即可发动；候选内部冷却按载荷读取。","镜中照煞并形成回锋。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","放在能接触两件同法门道具的位置；当前taibai法门候选Build需要已点亮实例计数。","旧物记：照煞镜原是青石坊里常见的镜，经太白法法脉重题符胆后，留下了“照煞”这一手独门用法。","i029_placeholder","BALANCE_CANDIDATE"
"I030","桃木剑","太白法","法","shape_line3_h · 3格 · 核心格(1,0)","核心格已点亮时，每次满足“桃木”的触发条件即可发动；候选内部冷却按载荷读取。","太白大件，以桃木剑斩邪。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先贴近阵位点边缘，给小件留出转向空间；当前taibai法门候选Build需要已点亮实例计数。","旧物记：桃木剑原是青石坊里常见的法，经太白法法脉重题符胆后，留下了“桃木”这一手独门用法。","i030_placeholder","BALANCE_CANDIDATE"
