assertionId,category,expected,actual,result
"negative-mismatched-chapter-flow-slot","negative-fixtures","True","True","PASS"
"negative-old-v02-content-id","negative-fixtures","True","True","PASS"
"negative-active-held-content","negative-fixtures","True","True","PASS"
"negative-missing-held-by-ba-d3","negative-fixtures","True","True","PASS"
"negative-inferred-ba-d3-copy-behavior","negative-fixtures","True","True","PASS"
"negative-misspelled-phase1-label","negative-fixtures","True","True","PASS"
"negative-formal-enabled-policy","negative-fixtures","True","True","PASS"
"negative-policy-owns-chapter-flow-truth","negative-fixtures","True","True","PASS"
"negative-policy-direct-runtime-or-battle","negative-fixtures","True","True","PASS"
"negative-fixtures","negative-fixtures","12","12","PASS"
"runtime-files","inventory","4","4","PASS"
"editor-verifier-file","inventory","True","True","PASS"
"forbidden-dependency-hits","leak","0","0","PASS"
"legacy-content-refs","leak","0","0","PASS"
"enemy-runtime-bindings","leak","0","0","PASS"
"battle-start-requests","leak","0","0","PASS"
"battle-executor-bindings","leak","0","0","PASS"
"scene-bindings","leak","0","0","PASS"
"ui-bindings","leak","0","0","PASS"
"reward-bindings","leak","0","0","PASS"
"save-bindings","leak","0","0","PASS"
"inventory-bindings","leak","0","0","PASS"
"drop-bindings","leak","0","0","PASS"
"existing-file-modifications","whitelist","0","0","PASS"
"out-of-whitelist-new-files","whitelist","0","0","PASS"
"missing-whitelist-files","whitelist","0","0","PASS"
