caseId,itemId,placementId,contextKind,playerSectionCount,debugFieldCount,lightingState,arrayState,awakeningState,faMenBuildStage,qiLeiBuildStage,monitorState,snapshotFallback,duplicateProjectionCheck,layoutCheck,expectedResult,actualResult
"catalog-all-31-I003","I003","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I003 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I004","I004","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I004 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I005","I005","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I005 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I006","I006","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I006 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I007","I007","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I007 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I008","I008","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I008 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I009","I009","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I009 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I010","I010","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I010 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I011","I011","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I011 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I012","I012","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I012 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I013","I013","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I013 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I014","I014","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I014 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I015","I015","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I015 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I016","I016","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I016 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I017","I017","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I017 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I018","I018","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I018 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I019","I019","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I019 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I020","I020","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I020 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I021","I021","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I021 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I022","I022","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I022 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I023","I023","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I023 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I024","I024","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I024 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I025","I025","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I025 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I026","I026","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I026 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I027","I027","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I027 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I028","I028","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I028 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I029","I029","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I029 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I030","I030","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I030 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I031","I031","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","不适用：系统道具不提供法门 Build 资格","不适用：系统道具不提供器类 Build 资格","不适用：不计入主 Build；技能载荷未执行","missingSnapshot: Lighting placementId=None itemId=I031 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31","ALL","","CatalogPreview","15","3","尚未入阵/阵脉未计算","尚未入阵/阵脉未计算","尚未入阵/阵脉未计算","","","尚未入阵/阵脉未计算","尚未入阵/阵脉未计算","no duplicate","not-applicable","31 catalog rows including I031 JuNian boundary","PASS: count=31; I031=True"
"layout-1080x1920","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","1080x1920; detail=viewport=1557x840; content=1557x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1557x840; content=1557x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True","scroll roots, bound sections, scroll reset; child geometry remains Inspector-authorable","FAIL: 1080x1920; detail=viewport=1557x840; content=1557x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1557x840; content=1557x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True"
"manual-geometry-layout-1080x1920","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","1080x1920; detail=viewport=1557x840; content=1557x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1557x840; content=1557x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True","active child sections have positive manual RectTransform bounds; exact positions/sizes are not locked","PASS: 1080x1920; detail=viewport=1557x840; content=1557x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1557x840; content=1557x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True"
"scroll-reset-layout-1080x1920","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","1080x1920; detail=viewport=1557x840; content=1557x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1557x840; content=1557x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True","Bind resets scroll to top on item switch/rebind","PASS: 1080x1920; detail=viewport=1557x840; content=1557x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1557x840; content=1557x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True"
"long-text-scroll-layout-1080x1920","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","1080x1920; detail=viewport=1557x840; content=1557x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1557x840; content=1557x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True","long content exceeds viewport and can scroll","PASS: 1080x1920; detail=viewport=1557x840; content=1557x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1557x840; content=1557x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True"
"layout-720x1280","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","720x1280; detail=viewport=1003x424; content=1003x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1003x424; content=1003x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True","scroll roots, bound sections, scroll reset; child geometry remains Inspector-authorable","FAIL: 720x1280; detail=viewport=1003x424; content=1003x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1003x424; content=1003x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True"
"manual-geometry-layout-720x1280","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","720x1280; detail=viewport=1003x424; content=1003x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1003x424; content=1003x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True","active child sections have positive manual RectTransform bounds; exact positions/sizes are not locked","PASS: 720x1280; detail=viewport=1003x424; content=1003x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1003x424; content=1003x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True"
"scroll-reset-layout-720x1280","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","720x1280; detail=viewport=1003x424; content=1003x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1003x424; content=1003x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True","Bind resets scroll to top on item switch/rebind","PASS: 720x1280; detail=viewport=1003x424; content=1003x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1003x424; content=1003x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True"
"long-text-scroll-layout-720x1280","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","720x1280; detail=viewport=1003x424; content=1003x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1003x424; content=1003x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True","long content exceeds viewport and can scroll","PASS: 720x1280; detail=viewport=1003x424; content=1003x1902; scrollbar=optional-present; autoLayout=present; debug=viewport=1003x424; content=1003x446; scrollbar=optional-present; autoLayout=present; sections=12/14 active (15/15 bound),3/3; manualGeometryPositive=True; headerColumnsAdvisory=False; reset=True; longScroll=True"
"scope-leak-check","ALL","","CatalogPreview","0","0","","","","","","","","","","no formal battle/save/reward/boss/runflow/buildsettings scope","PASS: clean"
"regression-ItemSandboxDetailUiReport","ALL","","CatalogPreview","0","0","","","","","","","","","","existing regression report records PASS","PASS: Docs/V0.4/Reports/ItemSandboxDetailUiReport.md"
"regression-ItemInnerDataCatalogReport","ALL","","CatalogPreview","0","0","","","","","","","","","","existing regression report records PASS","PASS: Docs/V0.4/Reports/ItemInnerDataCatalogReport.md"
"regression-ItemGridPlacementAndEyeRuleReport","ALL","","CatalogPreview","0","0","","","","","","","","","","existing regression report records PASS","PASS: Docs/V0.4/Reports/ItemGridPlacementAndEyeRuleReport.md"
"regression-JuNianLightingAndAdjacentRelayReport","ALL","","CatalogPreview","0","0","","","","","","","","","","existing regression report records PASS","PASS: Docs/V0.4/Reports/JuNianLightingAndAdjacentRelayReport.md"
"regression-ArrayBonusCellResolverReport","ALL","","CatalogPreview","0","0","","","","","","","","","","existing regression report records PASS","PASS: Docs/V0.4/Reports/ArrayBonusCellResolverReport.md"
"regression-BuildSynergyCoreReport","ALL","","CatalogPreview","0","0","","","","","","","","","","existing regression report records PASS","PASS: Docs/V0.4/Reports/BuildSynergyCoreReport.md"
"regression-CoreAwakeningPreviewReport","ALL","","CatalogPreview","0","0","","","","","","","","","","existing regression report records PASS","PASS: Docs/V0.4/Reports/CoreAwakeningPreviewReport.md"
"regression-ItemSkillTriggerContractReport","ALL","","CatalogPreview","0","0","","","","","","","","","","existing regression report records PASS","PASS: Docs/V0.4/Reports/ItemSkillTriggerContractReport.md"
