baseItemId,oldCandidateDefinitionId,oldNodeKind,oldUnlockLevel,oldRequiredRarity,oldSemanticHash,disposition,newCandidateDefinitionId,newNodeKind,newUnlockLevel,newRequiredRarity,newSemanticHash,notes
I003,candidate_core_i003_01,Core1,10,white,a08a90a609d97cd558ee18426f0a592d36a67e0b5794efb8f0b62e3deaf89551,KEEP_CANONICAL,candidate_core_i003_01,Core1,10,white,a08a90a609d97cd558ee18426f0a592d36a67e0b5794efb8f0b62e3deaf89551,Task-start semantic hash retained exactly.
I003,candidate_core_i003_02,Core2,20,green,f4c4ae41820c4246e5aa8b1b16221ad0d94741ed0b0128275b6a9758a820c7a4,KEEP_CANONICAL,candidate_core_i003_02,Core2,20,green,f4c4ae41820c4246e5aa8b1b16221ad0d94741ed0b0128275b6a9758a820c7a4,Task-start semantic hash retained exactly.
I003,candidate_core_i003_03,Core3,30,blue,bdbf5e24bebee58dfa5b2b83cdae028d1f3cb5fdfad8651d41275794768c23cf,KEEP_CANONICAL,candidate_core_i003_03,Core3,30,blue,bdbf5e24bebee58dfa5b2b83cdae028d1f3cb5fdfad8651d41275794768c23cf,Task-start semantic hash retained exactly.
I003,candidate_core_i003_04,Core4,40,purple,6f414df7c47d4e275e2fd3e0214074b4bb1a990e4c0c44f39dc8e799e337988b,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I003,candidate_core_i003_ultimate,Ultimate,40,orange,c394127d74a5ac2d4b9b129d771bc1f5a6b0d0e30d051dcfc75ce9d42e252b32,KEEP_CANONICAL,candidate_core_i003_ultimate,Ultimate,40,orange,c394127d74a5ac2d4b9b129d771bc1f5a6b0d0e30d051dcfc75ce9d42e252b32,Task-start semantic hash retained exactly.
I004,candidate_core_i004_01,Core1,10,white,11eb96090f2098fed037995cff7cc7120d087ce33bef2333d579916be16abf86,KEEP_CANONICAL,candidate_core_i004_01,Core1,10,white,11eb96090f2098fed037995cff7cc7120d087ce33bef2333d579916be16abf86,Task-start semantic hash retained exactly.
I004,candidate_core_i004_02,Core2,20,green,8b8e330a273ddf02dcf329e9a1de6ae07d40cad05ecada3cb543f43042b3684a,KEEP_CANONICAL,candidate_core_i004_02,Core2,20,green,8b8e330a273ddf02dcf329e9a1de6ae07d40cad05ecada3cb543f43042b3684a,Task-start semantic hash retained exactly.
I004,candidate_core_i004_03,Core3,30,blue,0f8f288e7c0b819544219921c4ffc1d05dbd685ce39706c3ea6d42855ddd20a4,KEEP_CANONICAL,candidate_core_i004_03,Core3,30,blue,0f8f288e7c0b819544219921c4ffc1d05dbd685ce39706c3ea6d42855ddd20a4,Task-start semantic hash retained exactly.
I004,candidate_core_i004_04,Core4,40,purple,d24794d0a0d911685e9c0f7edb5aedf7e40324074651ab54b78fce9b19cd69d9,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I004,candidate_core_i004_ultimate,Ultimate,40,orange,b8a3e1141e072ff7c4531bc0e3f12a532167db5ba816e257bcda374cb4788565,KEEP_CANONICAL,candidate_core_i004_ultimate,Ultimate,40,orange,b8a3e1141e072ff7c4531bc0e3f12a532167db5ba816e257bcda374cb4788565,Task-start semantic hash retained exactly.
I005,candidate_core_i005_01,Core1,10,white,23ac41db3359a4ed2443c079f31df7a2d2417c7ed93c07db3653c06274373c6a,KEEP_CANONICAL,candidate_core_i005_01,Core1,10,white,23ac41db3359a4ed2443c079f31df7a2d2417c7ed93c07db3653c06274373c6a,Task-start semantic hash retained exactly.
I005,candidate_core_i005_02,Core2,20,green,2d7d0305f2b1627615e060d2582d995420e69ecdf2e5219465a28e565548f862,KEEP_CANONICAL,candidate_core_i005_02,Core2,20,green,2d7d0305f2b1627615e060d2582d995420e69ecdf2e5219465a28e565548f862,Task-start semantic hash retained exactly.
I005,candidate_core_i005_03,Core3,30,blue,57fc9f1472cf686e070271b43dab87ed105c476faef313d85e386c28a18fc936,KEEP_CANONICAL,candidate_core_i005_03,Core3,30,blue,57fc9f1472cf686e070271b43dab87ed105c476faef313d85e386c28a18fc936,Task-start semantic hash retained exactly.
I005,candidate_core_i005_04,Core4,40,purple,14e46d7e2f840516fea55c30ad79f479b4875320d8de2f4b7511e9bb56e3b25f,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I005,candidate_core_i005_ultimate,Ultimate,40,orange,2a2d3d11bc449ca062bb53ad9f5238e490f8e489dcc622e2486d2301c149c280,KEEP_CANONICAL,candidate_core_i005_ultimate,Ultimate,40,orange,2a2d3d11bc449ca062bb53ad9f5238e490f8e489dcc622e2486d2301c149c280,Task-start semantic hash retained exactly.
I006,candidate_core_i006_01,Core1,10,white,e2571b1e222e7a4c36fadb7ff954fd003af135bcd6d086f39eab2d56971b0be8,KEEP_CANONICAL,candidate_core_i006_01,Core1,10,white,e2571b1e222e7a4c36fadb7ff954fd003af135bcd6d086f39eab2d56971b0be8,Task-start semantic hash retained exactly.
I006,candidate_core_i006_02,Core2,20,green,9f8430d1380a04544973ef6684c1dbf72d0505045e546fdc448d5fab5a32cb30,KEEP_CANONICAL,candidate_core_i006_02,Core2,20,green,9f8430d1380a04544973ef6684c1dbf72d0505045e546fdc448d5fab5a32cb30,Task-start semantic hash retained exactly.
I006,candidate_core_i006_03,Core3,30,blue,74e60bff818c7f426179d936abb4af172b5ac4b2e102ca05d9a3bd464185ca47,KEEP_CANONICAL,candidate_core_i006_03,Core3,30,blue,74e60bff818c7f426179d936abb4af172b5ac4b2e102ca05d9a3bd464185ca47,Task-start semantic hash retained exactly.
I006,candidate_core_i006_04,Core4,40,purple,3090253d8b95b9dc9716e56e5df17e6eba77f7a46742c59a24fe3be5ae13d4fa,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I006,candidate_core_i006_ultimate,Ultimate,40,orange,3a503a37935f6b69fb40be17b754c124f5e780867fd7ed10604b403074157951,KEEP_CANONICAL,candidate_core_i006_ultimate,Ultimate,40,orange,3a503a37935f6b69fb40be17b754c124f5e780867fd7ed10604b403074157951,Task-start semantic hash retained exactly.
I007,candidate_core_i007_01,Core1,10,white,7cf9fc8febc2a3914e4c663dad64ae5e3f9027c24db3fd9ba97e52518bd6e2c3,KEEP_CANONICAL,candidate_core_i007_01,Core1,10,white,7cf9fc8febc2a3914e4c663dad64ae5e3f9027c24db3fd9ba97e52518bd6e2c3,Task-start semantic hash retained exactly.
I007,candidate_core_i007_02,Core2,20,green,68954cf86fa89a26e2c336f1ab5a0a6a95d66705fd3645c53c6b6927a8ef3f6c,KEEP_CANONICAL,candidate_core_i007_02,Core2,20,green,68954cf86fa89a26e2c336f1ab5a0a6a95d66705fd3645c53c6b6927a8ef3f6c,Task-start semantic hash retained exactly.
I007,candidate_core_i007_03,Core3,30,blue,1c933cdc56fa604462e63e0cb55daf1921b36de0bda4d43075aba9039fda6454,KEEP_CANONICAL,candidate_core_i007_03,Core3,30,blue,1c933cdc56fa604462e63e0cb55daf1921b36de0bda4d43075aba9039fda6454,Task-start semantic hash retained exactly.
I007,candidate_core_i007_04,Core4,40,purple,8719987a389b76e21171e638db87737faf351d687a4f9c1e3b5be7da95d03ec7,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I007,candidate_core_i007_ultimate,Ultimate,40,orange,0e0e30269a12a8c01408ffd79734efcf34ff60f89528d8b67256d64238165cbb,KEEP_CANONICAL,candidate_core_i007_ultimate,Ultimate,40,orange,0e0e30269a12a8c01408ffd79734efcf34ff60f89528d8b67256d64238165cbb,Task-start semantic hash retained exactly.
I008,candidate_core_i008_01,Core1,10,white,0ec7e0a05aa2a7c81b8de1118ed73ad9b76a39e0b096568d927bea2d70515297,KEEP_CANONICAL,candidate_core_i008_01,Core1,10,white,0ec7e0a05aa2a7c81b8de1118ed73ad9b76a39e0b096568d927bea2d70515297,Task-start semantic hash retained exactly.
I008,candidate_core_i008_02,Core2,20,green,1484065d18445998b8a76a52861565466c5c11750b4fbea2436107f62f57182a,KEEP_CANONICAL,candidate_core_i008_02,Core2,20,green,1484065d18445998b8a76a52861565466c5c11750b4fbea2436107f62f57182a,Task-start semantic hash retained exactly.
I008,candidate_core_i008_03,Core3,30,blue,74e594a7bcb08739ad4496bdb29f096d394f039ae7e9a5b1a46b3fdc8c7309a0,KEEP_CANONICAL,candidate_core_i008_03,Core3,30,blue,74e594a7bcb08739ad4496bdb29f096d394f039ae7e9a5b1a46b3fdc8c7309a0,Task-start semantic hash retained exactly.
I008,candidate_core_i008_04,Core4,40,purple,ab911cca4a9fc6fc18f2422c5b929bb7978b76eea2e156eddb41d9b517ff7a82,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I008,candidate_core_i008_ultimate,Ultimate,40,orange,9f141f7bd725e932925a68235f5ec3f3ab5107c192029470891713a5f4f1607a,KEEP_CANONICAL,candidate_core_i008_ultimate,Ultimate,40,orange,9f141f7bd725e932925a68235f5ec3f3ab5107c192029470891713a5f4f1607a,Task-start semantic hash retained exactly.
I009,candidate_core_i009_01,Core1,10,white,f4e8ac34aa23773e8fac4ad572bee178d9d036810ea52f671cff13f0f801fea5,KEEP_CANONICAL,candidate_core_i009_01,Core1,10,white,f4e8ac34aa23773e8fac4ad572bee178d9d036810ea52f671cff13f0f801fea5,Task-start semantic hash retained exactly.
I009,candidate_core_i009_02,Core2,20,green,678ae4587dc4b5a841a62981311464595bc659ecaf05d55bb1e778994496718e,KEEP_CANONICAL,candidate_core_i009_02,Core2,20,green,678ae4587dc4b5a841a62981311464595bc659ecaf05d55bb1e778994496718e,Task-start semantic hash retained exactly.
I009,candidate_core_i009_03,Core3,30,blue,6d34d56200ae09baf07b19cd46e16317fd8dd7e1384acf28b207f234cea3fbf9,KEEP_CANONICAL,candidate_core_i009_03,Core3,30,blue,6d34d56200ae09baf07b19cd46e16317fd8dd7e1384acf28b207f234cea3fbf9,Task-start semantic hash retained exactly.
I009,candidate_core_i009_04,Core4,40,purple,a5885305af9d595d685e930211e3fafdda5c04ff03343c948073396f64a7acba,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I009,candidate_core_i009_ultimate,Ultimate,40,orange,03ac5773f77db66d9e85ad7aa0fd0debbeac6654a8cd9a5919f4de67e312a3f4,KEEP_CANONICAL,candidate_core_i009_ultimate,Ultimate,40,orange,03ac5773f77db66d9e85ad7aa0fd0debbeac6654a8cd9a5919f4de67e312a3f4,Task-start semantic hash retained exactly.
I010,candidate_core_i010_01,Core1,10,white,70a5f9cde56cab0c38a3c45bdff4d79873b2f71bcd6a8eb1b192b807985c4d13,KEEP_CANONICAL,candidate_core_i010_01,Core1,10,white,70a5f9cde56cab0c38a3c45bdff4d79873b2f71bcd6a8eb1b192b807985c4d13,Task-start semantic hash retained exactly.
I010,candidate_core_i010_02,Core2,20,green,2017f0f6d4ef0e5c64a28990be00701de0b3252efbf883e2a7aae243ac47b1ec,KEEP_CANONICAL,candidate_core_i010_02,Core2,20,green,2017f0f6d4ef0e5c64a28990be00701de0b3252efbf883e2a7aae243ac47b1ec,Task-start semantic hash retained exactly.
I010,candidate_core_i010_03,Core3,30,blue,4ede7fdbf94be1a1164452f1b04a28df818c07bcad8d1a12984d32ba4c9004cb,KEEP_CANONICAL,candidate_core_i010_03,Core3,30,blue,4ede7fdbf94be1a1164452f1b04a28df818c07bcad8d1a12984d32ba4c9004cb,Task-start semantic hash retained exactly.
I010,candidate_core_i010_04,Core4,40,purple,85b288d10730b5942889321857c5ac7492d1dad7875bf7c2aff40578fcd2981c,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I010,candidate_core_i010_ultimate,Ultimate,40,orange,131065eb37adc82678b24c8361e419571574fdde28793f42779511d6f63751fd,KEEP_CANONICAL,candidate_core_i010_ultimate,Ultimate,40,orange,131065eb37adc82678b24c8361e419571574fdde28793f42779511d6f63751fd,Task-start semantic hash retained exactly.
I011,candidate_core_i011_01,Core1,10,white,38d73af7f13a823d4e322da537ba9ca77adfeebeff57bec5f898027f1d7a94e0,KEEP_CANONICAL,candidate_core_i011_01,Core1,10,white,38d73af7f13a823d4e322da537ba9ca77adfeebeff57bec5f898027f1d7a94e0,Task-start semantic hash retained exactly.
I011,candidate_core_i011_02,Core2,20,green,f398fdf751cb043cc97a5d7d3511d54da159409e50df98f1317fe56045038c98,KEEP_CANONICAL,candidate_core_i011_02,Core2,20,green,f398fdf751cb043cc97a5d7d3511d54da159409e50df98f1317fe56045038c98,Task-start semantic hash retained exactly.
I011,candidate_core_i011_03,Core3,30,blue,65309c5287ef826c4a5917762fb75f9daded820071045b0ba23a770da31ea013,KEEP_CANONICAL,candidate_core_i011_03,Core3,30,blue,65309c5287ef826c4a5917762fb75f9daded820071045b0ba23a770da31ea013,Task-start semantic hash retained exactly.
I011,candidate_core_i011_04,Core4,40,purple,5bc057d297af12ef1d9eb86787afb422367e7c888654100f45e7180cdeaffdb8,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I011,candidate_core_i011_ultimate,Ultimate,40,orange,a48630af856990e4814dd75abbae0de33f789f745b223bec62f8fe0ba83bf4ad,KEEP_CANONICAL,candidate_core_i011_ultimate,Ultimate,40,orange,a48630af856990e4814dd75abbae0de33f789f745b223bec62f8fe0ba83bf4ad,Task-start semantic hash retained exactly.
I012,candidate_core_i012_01,Core1,10,white,6cbdb8e365bc986299507d25852cbdc63f9e75a54d1d4a16ea4fe27bac6a7dfc,KEEP_CANONICAL,candidate_core_i012_01,Core1,10,white,6cbdb8e365bc986299507d25852cbdc63f9e75a54d1d4a16ea4fe27bac6a7dfc,Task-start semantic hash retained exactly.
I012,candidate_core_i012_02,Core2,20,green,6e7dea8ebbf0bf8a5bebf618a7d8b974bf879dbf2b62614ff453fb7b9a7faaf9,KEEP_CANONICAL,candidate_core_i012_02,Core2,20,green,6e7dea8ebbf0bf8a5bebf618a7d8b974bf879dbf2b62614ff453fb7b9a7faaf9,Task-start semantic hash retained exactly.
I012,candidate_core_i012_03,Core3,30,blue,ac55eba22d99f7a11d1f1c52d5d079e267c27a3270fdc829dd14a16b925486f4,KEEP_CANONICAL,candidate_core_i012_03,Core3,30,blue,ac55eba22d99f7a11d1f1c52d5d079e267c27a3270fdc829dd14a16b925486f4,Task-start semantic hash retained exactly.
I012,candidate_core_i012_04,Core4,40,purple,7bbc47c5862be344662c2a09c640d72685ebbcb2ec3117bdb33daf1acad286f0,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I012,candidate_core_i012_ultimate,Ultimate,40,orange,ebec3d047cbfd423ef95201d8ead00c5925ac54b42b5ceca721cad99a4d2f050,KEEP_CANONICAL,candidate_core_i012_ultimate,Ultimate,40,orange,ebec3d047cbfd423ef95201d8ead00c5925ac54b42b5ceca721cad99a4d2f050,Task-start semantic hash retained exactly.
I013,candidate_core_i013_01,Core1,10,white,1aa02c501548bc714503069f6e1c2cbfde18b005be650ea01d78167cffa03cc7,KEEP_CANONICAL,candidate_core_i013_01,Core1,10,white,1aa02c501548bc714503069f6e1c2cbfde18b005be650ea01d78167cffa03cc7,Task-start semantic hash retained exactly.
I013,candidate_core_i013_02,Core2,20,green,e77ad1e24a03b547fd26cab14bff8651a01e6d1c24e955af049f25e56f3bf491,KEEP_CANONICAL,candidate_core_i013_02,Core2,20,green,e77ad1e24a03b547fd26cab14bff8651a01e6d1c24e955af049f25e56f3bf491,Task-start semantic hash retained exactly.
I013,candidate_core_i013_03,Core3,30,blue,a8b7c1066d7d4a4d045a0dde5785698c13d79b6043a1009d33c5045acbb05a6a,KEEP_CANONICAL,candidate_core_i013_03,Core3,30,blue,a8b7c1066d7d4a4d045a0dde5785698c13d79b6043a1009d33c5045acbb05a6a,Task-start semantic hash retained exactly.
I013,candidate_core_i013_04,Core4,40,purple,6ab9e046b592856e47901eb046721cfd9d530443c6b9edad05bd10efb2b4c896,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I013,candidate_core_i013_ultimate,Ultimate,40,orange,07cd3f3da7c0f7452e51a780270feb6b8cc27f06deafcf18818323b09ff52b6b,KEEP_CANONICAL,candidate_core_i013_ultimate,Ultimate,40,orange,07cd3f3da7c0f7452e51a780270feb6b8cc27f06deafcf18818323b09ff52b6b,Task-start semantic hash retained exactly.
I014,candidate_core_i014_01,Core1,10,white,6d25328fcbece4450b03f91cb518b281bc45c1276fd9af0a63c411ec3323d64b,KEEP_CANONICAL,candidate_core_i014_01,Core1,10,white,6d25328fcbece4450b03f91cb518b281bc45c1276fd9af0a63c411ec3323d64b,Task-start semantic hash retained exactly.
I014,candidate_core_i014_02,Core2,20,green,23a8012aa9e034e2f9855a98829cc3033204bffb8dc12d6f4c878bb40c3eb425,KEEP_CANONICAL,candidate_core_i014_02,Core2,20,green,23a8012aa9e034e2f9855a98829cc3033204bffb8dc12d6f4c878bb40c3eb425,Task-start semantic hash retained exactly.
I014,candidate_core_i014_03,Core3,30,blue,f63a8a657507a2706b3fdcbb7a5505e9dd0ffe49fff816b9638d63a65e015861,KEEP_CANONICAL,candidate_core_i014_03,Core3,30,blue,f63a8a657507a2706b3fdcbb7a5505e9dd0ffe49fff816b9638d63a65e015861,Task-start semantic hash retained exactly.
I014,candidate_core_i014_04,Core4,40,purple,5979ca6ba985d53be9856b514eee1e8798412a98c1def65873c6b10fbbaeeeef,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I014,candidate_core_i014_ultimate,Ultimate,40,orange,fc1cceb76f74d74fc7c8fd3c7c25ba0659f5fd4c8894a37287de472fab152db7,KEEP_CANONICAL,candidate_core_i014_ultimate,Ultimate,40,orange,fc1cceb76f74d74fc7c8fd3c7c25ba0659f5fd4c8894a37287de472fab152db7,Task-start semantic hash retained exactly.
I015,candidate_core_i015_01,Core1,10,white,c7c314699eaa7766fc06306d255badf87875e7a98abe2346871f66a69474eeb4,KEEP_CANONICAL,candidate_core_i015_01,Core1,10,white,c7c314699eaa7766fc06306d255badf87875e7a98abe2346871f66a69474eeb4,Task-start semantic hash retained exactly.
I015,candidate_core_i015_02,Core2,20,green,15d0e3930f7e1780e0a1d11e818bc43cc11fbdb6af34226ed9062d54234d943b,KEEP_CANONICAL,candidate_core_i015_02,Core2,20,green,15d0e3930f7e1780e0a1d11e818bc43cc11fbdb6af34226ed9062d54234d943b,Task-start semantic hash retained exactly.
I015,candidate_core_i015_03,Core3,30,blue,c6ab5ae4d9d5fac3fa7b97f65c8e1acf77d7f09f70397850c13af9da45b8dc26,KEEP_CANONICAL,candidate_core_i015_03,Core3,30,blue,c6ab5ae4d9d5fac3fa7b97f65c8e1acf77d7f09f70397850c13af9da45b8dc26,Task-start semantic hash retained exactly.
I015,candidate_core_i015_04,Core4,40,purple,dd9234d7367e6eca377b9675774348cc859dae3679b9cb006574e73a9ad0a9eb,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I015,candidate_core_i015_ultimate,Ultimate,40,orange,12bdd810feeeaccb29b869aff61ed9cadada901b30e1c8c625203567a0999ae0,KEEP_CANONICAL,candidate_core_i015_ultimate,Ultimate,40,orange,12bdd810feeeaccb29b869aff61ed9cadada901b30e1c8c625203567a0999ae0,Task-start semantic hash retained exactly.
I016,candidate_core_i016_01,Core1,10,white,550f62a4f36e540311411b76202708664b4e710d3b0b15dd91e577d21aab0c7b,KEEP_CANONICAL,candidate_core_i016_01,Core1,10,white,550f62a4f36e540311411b76202708664b4e710d3b0b15dd91e577d21aab0c7b,Task-start semantic hash retained exactly.
I016,candidate_core_i016_02,Core2,20,green,c8b6ee97acc9380d67587a0653caaa827942323ba5ef2248d4a76659373bf1e4,KEEP_CANONICAL,candidate_core_i016_02,Core2,20,green,c8b6ee97acc9380d67587a0653caaa827942323ba5ef2248d4a76659373bf1e4,Task-start semantic hash retained exactly.
I016,candidate_core_i016_03,Core3,30,blue,acca356646f3abf5713dc66675305f0c8488691bc58b8a8f041db07961fe2bde,KEEP_CANONICAL,candidate_core_i016_03,Core3,30,blue,acca356646f3abf5713dc66675305f0c8488691bc58b8a8f041db07961fe2bde,Task-start semantic hash retained exactly.
I016,candidate_core_i016_04,Core4,40,purple,7583d08fd6031e541100e65e1276188fae40674264b3914134e91fe294feaba1,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I016,candidate_core_i016_ultimate,Ultimate,40,orange,80259f5bfd0ecb194e0b6cdb008a7dd9bedcc00a9b434ee2693b01a8e9cb4a1e,KEEP_CANONICAL,candidate_core_i016_ultimate,Ultimate,40,orange,80259f5bfd0ecb194e0b6cdb008a7dd9bedcc00a9b434ee2693b01a8e9cb4a1e,Task-start semantic hash retained exactly.
I017,candidate_core_i017_01,Core1,10,white,3c2b678d51dccb42a5a40c1571c408dd67301afe825461ee130d24f03a02fa5e,KEEP_CANONICAL,candidate_core_i017_01,Core1,10,white,3c2b678d51dccb42a5a40c1571c408dd67301afe825461ee130d24f03a02fa5e,Task-start semantic hash retained exactly.
I017,candidate_core_i017_02,Core2,20,green,6d2d907015b72f767127d770f7d69d9a88bbdb003a027231c7858331250f5a25,KEEP_CANONICAL,candidate_core_i017_02,Core2,20,green,6d2d907015b72f767127d770f7d69d9a88bbdb003a027231c7858331250f5a25,Task-start semantic hash retained exactly.
I017,candidate_core_i017_03,Core3,30,blue,8eb07ae637f74632f4e6bbe52fba00a70a54c69801a23a65f3180603cc38565a,KEEP_CANONICAL,candidate_core_i017_03,Core3,30,blue,8eb07ae637f74632f4e6bbe52fba00a70a54c69801a23a65f3180603cc38565a,Task-start semantic hash retained exactly.
I017,candidate_core_i017_04,Core4,40,purple,353cee8824ae3eb03c5e0936d8c1b5c3229dfe6acc5702efec3cd0c2e5e96610,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I017,candidate_core_i017_ultimate,Ultimate,40,orange,da3c3a595de41f47659528a165d881dc08fd7cc9576ff78b639d68f4582b4c60,KEEP_CANONICAL,candidate_core_i017_ultimate,Ultimate,40,orange,da3c3a595de41f47659528a165d881dc08fd7cc9576ff78b639d68f4582b4c60,Task-start semantic hash retained exactly.
I018,candidate_core_i018_01,Core1,10,white,6e1aeca8818a8fd136b873391c5b2cf8f1040293193f13340587a119871499f8,KEEP_CANONICAL,candidate_core_i018_01,Core1,10,white,6e1aeca8818a8fd136b873391c5b2cf8f1040293193f13340587a119871499f8,Task-start semantic hash retained exactly.
I018,candidate_core_i018_02,Core2,20,green,0602666735adb990f855f314c1585776a7bf540a147b449d219e6a92d8b67880,KEEP_CANONICAL,candidate_core_i018_02,Core2,20,green,0602666735adb990f855f314c1585776a7bf540a147b449d219e6a92d8b67880,Task-start semantic hash retained exactly.
I018,candidate_core_i018_03,Core3,30,blue,e09797d34b308bb5bce417254e8b4a55f8529fdc28fc0922c6a129f5f57cca18,KEEP_CANONICAL,candidate_core_i018_03,Core3,30,blue,e09797d34b308bb5bce417254e8b4a55f8529fdc28fc0922c6a129f5f57cca18,Task-start semantic hash retained exactly.
I018,candidate_core_i018_04,Core4,40,purple,5c9cfbd4d8e2e106b68bf9fb6756e42611d333974dd75581d7b7043b642f6ba6,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I018,candidate_core_i018_ultimate,Ultimate,40,orange,84f1f682e9691b52403d38636375df1c4bc5f9b7318f250b5c1720ce1aa55c5a,KEEP_CANONICAL,candidate_core_i018_ultimate,Ultimate,40,orange,84f1f682e9691b52403d38636375df1c4bc5f9b7318f250b5c1720ce1aa55c5a,Task-start semantic hash retained exactly.
I019,candidate_core_i019_01,Core1,10,white,bdd8f876d52301896b6161bd67e0a0b70c26cfa7cf677fa632ba96d7b47105c6,KEEP_CANONICAL,candidate_core_i019_01,Core1,10,white,bdd8f876d52301896b6161bd67e0a0b70c26cfa7cf677fa632ba96d7b47105c6,Task-start semantic hash retained exactly.
I019,candidate_core_i019_02,Core2,20,green,177b960b0e97e0e2365eaad34eb0e89cf893029725511a4e41348da899d19492,KEEP_CANONICAL,candidate_core_i019_02,Core2,20,green,177b960b0e97e0e2365eaad34eb0e89cf893029725511a4e41348da899d19492,Task-start semantic hash retained exactly.
