"checkId","expected","actual","result"
"invalid.resolverNullKeys","RESOLVER_KEYS_NULL","COMPLETE_KEY_COUNT_MISMATCH;RESOLVER_KEYS_NULL","PASS"
"invalid.resolverEmptyKey","RESOLVER_KEY_EMPTY","COMPLETE_KEY_COUNT_MISMATCH;RESOLVER_KEY_EMPTY","PASS"
"invalid.resolverDuplicate","RESOLVER_KEY_DUPLICATE","COMPLETE_KEY_COUNT_MISMATCH;RESOLVER_KEY_DUPLICATE","PASS"
"invalid.resolverCategory","RESOLVER_KEY_CATEGORY_INVALID","COMPLETE_KEY_COUNT_MISMATCH;COMPLETE_KEY_MISSING;RESOLVER_KEY_CATEGORY_INVALID","PASS"
"invalid.resolverUnresolved","RESOLVER_KEY_UNRESOLVED","BUILD_CAPABILITY_KEY_UNKNOWN;COMPLETE_KEY_COUNT_MISMATCH;COMPLETE_KEY_MISSING;RESOLVER_KEY_UNRESOLVED","PASS"
"provider.rejectsInvalid","true","True","PASS"
"baseline.e02.total","63","63","PASS"
"baseline.e02.capabilities","16","16","PASS"
"baseline.e03.carriers","11 enemy / 7 boss / 18 total","11 enemy / 7 boss / 18 total","PASS"
"baseline.e03.profiles","10 enemy / 6 boss / 16 total","10 enemy / 6 boss / 16 total","PASS"
"baseline.e03.maps","MapRules: `10`","MapRules: `10`","PASS"
"baseline.e03.carrierBindings","Carrier bindings: `17`","Carrier bindings: `17`","PASS"
"baseline.e03.mapBindings","MapRule bindings: `30`","MapRule bindings: `30`","PASS"
"baseline.e03.exceptions","Intentional exceptions: `2`","Intentional exceptions: `2`","PASS"
"baseline.e04.fixture","2 Encounter / 4 Wave / 6 Slot","2 Encounter / 4 Wave / 6 Slot","PASS"
"baseline.e05.fixture","| SkillPattern | 4 |","| SkillPattern | 4 |","PASS"
"baseline.e05.sequence","| SkillSequence | 3 |","| SkillSequence | 3 |","PASS"
"baseline.e05.bindingPhasePlan","| CarrierSkillBinding | 3 |","| CarrierSkillBinding | 3 |","PASS"
"baseline.e06.fixture","RequirementGroup / Requirement: `7 / 11`","RequirementGroup / Requirement: `7 / 11`","PASS"
"baseline.e06.bindings","`6 / 4 / 5`","`6 / 4 / 5`","PASS"
"protected.EnemyDomainPrimitives.cs","83114BBA194226EC539A9BC401FF791AC8A76560B845E8D1B7F8E662C8122DC8","83114BBA194226EC539A9BC401FF791AC8A76560B845E8D1B7F8E662C8122DC8","PASS"
"protected.EnemyArchetypeSnapshots.cs","7D459972E78C5ACF768A296B679A00B4874DFC5497E47FC553DB82288F58C1FE","7D459972E78C5ACF768A296B679A00B4874DFC5497E47FC553DB82288F58C1FE","PASS"
"protected.EnemyDomainReferences.cs","777DA9A7370562961D34346D3604DE9C345F2B634435152B0BF0EB4CEA135E71","777DA9A7370562961D34346D3604DE9C345F2B634435152B0BF0EB4CEA135E71","PASS"
"protected.EnemyDomainSnapshot.cs","AB1004B8ABB5C96794BB1B17B7314232E7FD439A08745B9BBDA17FEFBF9CCB1B","AB1004B8ABB5C96794BB1B17B7314232E7FD439A08745B9BBDA17FEFBF9CCB1B","PASS"
"protected.EnemyDomainValidation.cs","44CAA85CE869E6EB6B6859328E2ED0BE496809184DACBD187435AD35BC462D80","44CAA85CE869E6EB6B6859328E2ED0BE496809184DACBD187435AD35BC462D80","PASS"
"protected.EnemyDomainDataContractVerifier.cs","ACF3AEC47318CC09511610430822663F70968EBDA8E26A573F3F9DE3B5A6600E","ACF3AEC47318CC09511610430822663F70968EBDA8E26A573F3F9DE3B5A6600E","PASS"
"protected.EnemyVocabularyModel.cs","243CFBF2E781171AF84AC49BAB1DC733E02207D02FB1A5C52AA46205FEE7AD78","243CFBF2E781171AF84AC49BAB1DC733E02207D02FB1A5C52AA46205FEE7AD78","PASS"
"protected.DefaultEnemyMechanicVocabularyCatalog.cs","6C20B76D1FF7493A3459A3D2C6FD09D7EB38ED8097A999845E92C9E93FBEBE5B","6C20B76D1FF7493A3459A3D2C6FD09D7EB38ED8097A999845E92C9E93FBEBE5B","PASS"
"protected.EnemyVocabularyValidation.cs","49AE47A77CD5DC74CD3B7CBF1B86F1DB004FD0B4D40DB83AD5C7DBEB6FE8FA76","49AE47A77CD5DC74CD3B7CBF1B86F1DB004FD0B4D40DB83AD5C7DBEB6FE8FA76","PASS"
"protected.EnemyMechanicVocabularyVerifier.cs","4C3D56DAC6C4D610C4247B735097985E5C0CEAFC9FCC353FEAEC280E89F448F9","4C3D56DAC6C4D610C4247B735097985E5C0CEAFC9FCC353FEAEC280E89F448F9","PASS"
"protected.EnemyValidationContentSnapshot.cs","DABB846698AFFF031C242DEFBA1F3D92F7905A64DDA61D8FFF83DD30DA0C1628","DABB846698AFFF031C242DEFBA1F3D92F7905A64DDA61D8FFF83DD30DA0C1628","PASS"
"protected.EnemyValidationContentNormalizerCore.cs","67A6D732BADA10EF77E38CF4AEC6A2519D6D8DFFF924C6D2409FA976BAD9D8F4","67A6D732BADA10EF77E38CF4AEC6A2519D6D8DFFF924C6D2409FA976BAD9D8F4","PASS"
"protected.EnemyValidationContentNormalizer.cs","452407A53E122E461AA133D78A3A3A445BDFF9B595E870E9E9FEDE7CE9283199","452407A53E122E461AA133D78A3A3A445BDFF9B595E870E9E9FEDE7CE9283199","PASS"
"protected.EnemyValidationContentNormalizeVerifier.cs","D8C971D5F14F99514A7ACDA0287A4208C182DF8A21243D79B46C5EBCE1DD9449","D8C971D5F14F99514A7ACDA0287A4208C182DF8A21243D79B46C5EBCE1DD9449","PASS"
"protected.EncounterCompositionPrimitives.cs","9AC645930ED3BB4ADF6B0DFDB544534C0F5FFEA19F82F734CDF79FCA0B6A9224","9AC645930ED3BB4ADF6B0DFDB544534C0F5FFEA19F82F734CDF79FCA0B6A9224","PASS"
"protected.EncounterCompositionSnapshots.cs","33F0453F453AFA15198EADAC711E93C9F122FF080671BBD0D0B9D98A4DC19472","33F0453F453AFA15198EADAC711E93C9F122FF080671BBD0D0B9D98A4DC19472","PASS"
"protected.EncounterCompositionValidation.cs","72CA62B3CD893FC5C18BB11EFA99F2C466FB1867647DFBDB4231ECEC1BA8AFD7","72CA62B3CD893FC5C18BB11EFA99F2C466FB1867647DFBDB4231ECEC1BA8AFD7","PASS"
"protected.EncounterCompositionSchemaVerifier.cs","894CB9B8C0E1DB591A501FD0DC54A220FEDFD6459A2C3FF2D2F3C8B31E4785A0","894CB9B8C0E1DB591A501FD0DC54A220FEDFD6459A2C3FF2D2F3C8B31E4785A0","PASS"
"protected.EnemySkillBossPhasePrimitives.cs","4F08886ABE8E6E7C9988E515A4CDDDD09D413001EF0B07E0FAFF3DADFE6FB6B6","4F08886ABE8E6E7C9988E515A4CDDDD09D413001EF0B07E0FAFF3DADFE6FB6B6","PASS"
"protected.EnemySkillPatternSnapshots.cs","22A2FD124F32908141B93EB964D5DD1B3F099EF44BE72C9F367EF86557A2F499","22A2FD124F32908141B93EB964D5DD1B3F099EF44BE72C9F367EF86557A2F499","PASS"
"protected.BossPhaseSnapshots.cs","B2FD5AA3367A8950D96F57AFC89C134B89A13A0557B55FDA4593DC78452F70F2","B2FD5AA3367A8950D96F57AFC89C134B89A13A0557B55FDA4593DC78452F70F2","PASS"
"protected.EnemySkillBossPhaseValidation.cs","A175DF86360A993E9EE334D0EEE19C47725EB4CAED6BE613AA2788CD67CFB959","A175DF86360A993E9EE334D0EEE19C47725EB4CAED6BE613AA2788CD67CFB959","PASS"
"protected.EnemySkillBossPhaseSchemaVerifier.cs","3C7892A7A73A1464EE2D797B8F617EBA1639B1C7C6D4330FC166F64B32DAB267","3C7892A7A73A1464EE2D797B8F617EBA1639B1C7C6D4330FC166F64B32DAB267","PASS"
"protected.CounterWindowAndPressurePrimitives.cs","E0A5C694D1039552F5C7E24CE599B71B7CB08B29AA39F11F6B134552B4505687","E0A5C694D1039552F5C7E24CE599B71B7CB08B29AA39F11F6B134552B4505687","PASS"
"protected.BuildPressureSnapshots.cs","56CC65BADAF89BE6882629AE847FCF03C2D0BAC3D800BDB562DE66E275E4D1C1","56CC65BADAF89BE6882629AE847FCF03C2D0BAC3D800BDB562DE66E275E4D1C1","PASS"
"protected.CounterWindowSnapshots.cs","5DD48CA0F0B84A44B7356EFFAFCC03C879200DB5C5030D27E00BEC15D24921C6","5DD48CA0F0B84A44B7356EFFAFCC03C879200DB5C5030D27E00BEC15D24921C6","PASS"
"protected.CounterWindowAndPressureValidation.cs","1526BAF50EC3A59914949A152FA48B659FE898A836EAD13D947CA905D17485AE","1526BAF50EC3A59914949A152FA48B659FE898A836EAD13D947CA905D17485AE","PASS"
"protected.CounterWindowAndPressureSchemaVerifier.cs","2FA48E6D1A17AE7B6204655FF5F58AE1D304C2315F1CBA9AA0A7F91D9CF99DD4","2FA48E6D1A17AE7B6204655FF5F58AE1D304C2315F1CBA9AA0A7F91D9CF99DD4","PASS"
"legacy.EnemyBossValidationPool.cs","C2049E9FF6ACB3E92C2484B223D301DE14ED29BE3704825BD0C5262DFB8DDFF9","C2049E9FF6ACB3E92C2484B223D301DE14ED29BE3704825BD0C5262DFB8DDFF9","PASS"
"legacy.BuildProblemRuleConfigs.cs","14BF83188C3A318182CAC179C9DA66E9C6E6FF70B33A52DD0B5734F3C9B86060","14BF83188C3A318182CAC179C9DA66E9C6E6FF70B33A52DD0B5734F3C9B86060","PASS"
"legacy.BuildProblemSeedData.cs","A9E50C94D79F53C7065697CF57977548AEDC383B97A5A888ADC6C9EE59B965F4","A9E50C94D79F53C7065697CF57977548AEDC383B97A5A888ADC6C9EE59B965F4","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.using_UnityEngine","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.MonoBehaviour","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.ScriptableObject","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.GameObject","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.Transform","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.Addressables","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.SceneManager","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.ItemSystemSnapshot","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.Inventory","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.Equipment","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.Affix","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.Synergy","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.TalismanBag_BuildSandbox","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.TalismanBag_EnemySystem_Normalization","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.TalismanBag_EnemySystem_Composition","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.TalismanBag_EnemySystem_SkillPhase","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.TalismanBag_EnemySystem_PressureWindow","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.BattleContract","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.BattleBridge","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.UnifiedBattlePage","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.RunFlow","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.RewardConfig","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.SaveData","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.PlayerPrefs","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.V02FormationGridFrame","0","0","PASS"
"leak.dependency.BuildCapabilityReadPrimitives.cs.DamageText","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.Evaluator","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.Evaluate_","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.MinimumCapabilityBasisPoints","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.RequirementMatchMode","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.PlayerHintProjection","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.DropBias","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.BossKey","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.3_10","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.4_10","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.Math_Min","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.Math_Max","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.Math_Clamp","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.ValueBasisPoints__","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.__ValueBasisPoints","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.ValueBasisPoints__","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.RequiredBasisPoints__","0","0","PASS"
"leak.evaluation.BuildCapabilityReadPrimitives.cs.__AvailableBasisPoints","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.using_UnityEngine","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.MonoBehaviour","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.ScriptableObject","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.GameObject","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.Transform","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.Addressables","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.SceneManager","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.ItemSystemSnapshot","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.Inventory","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.Equipment","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.Affix","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.Synergy","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.TalismanBag_BuildSandbox","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.TalismanBag_EnemySystem_Normalization","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.TalismanBag_EnemySystem_Composition","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.TalismanBag_EnemySystem_SkillPhase","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.TalismanBag_EnemySystem_PressureWindow","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.BattleContract","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.BattleBridge","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.UnifiedBattlePage","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.RunFlow","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.RewardConfig","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.SaveData","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.PlayerPrefs","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.V02FormationGridFrame","0","0","PASS"
"leak.dependency.BuildCapabilitySnapshots.cs.DamageText","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.Evaluator","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.Evaluate_","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.MinimumCapabilityBasisPoints","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.RequirementMatchMode","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.PlayerHintProjection","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.DropBias","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.BossKey","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.3_10","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.4_10","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.Math_Min","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.Math_Max","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.Math_Clamp","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.ValueBasisPoints__","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.__ValueBasisPoints","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.ValueBasisPoints__","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.RequiredBasisPoints__","0","0","PASS"
"leak.evaluation.BuildCapabilitySnapshots.cs.__AvailableBasisPoints","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.using_UnityEngine","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.MonoBehaviour","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.ScriptableObject","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.GameObject","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.Transform","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.Addressables","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.SceneManager","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.ItemSystemSnapshot","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.Inventory","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.Equipment","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.Affix","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.Synergy","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.TalismanBag_BuildSandbox","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.TalismanBag_EnemySystem_Normalization","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.TalismanBag_EnemySystem_Composition","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.TalismanBag_EnemySystem_SkillPhase","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.TalismanBag_EnemySystem_PressureWindow","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.BattleContract","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.BattleBridge","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.UnifiedBattlePage","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.RunFlow","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.RewardConfig","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.SaveData","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.PlayerPrefs","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.V02FormationGridFrame","0","0","PASS"
"leak.dependency.ReadinessDiagnosticSnapshots.cs.DamageText","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.Evaluator","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.Evaluate_","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.MinimumCapabilityBasisPoints","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.RequirementMatchMode","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.PlayerHintProjection","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.DropBias","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.BossKey","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.3_10","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.4_10","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.Math_Min","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.Math_Max","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.Math_Clamp","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.ValueBasisPoints__","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.__ValueBasisPoints","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.ValueBasisPoints__","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.RequiredBasisPoints__","0","0","PASS"
"leak.evaluation.ReadinessDiagnosticSnapshots.cs.__AvailableBasisPoints","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.using_UnityEngine","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.MonoBehaviour","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.ScriptableObject","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.GameObject","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.Transform","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.Addressables","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.SceneManager","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.ItemSystemSnapshot","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.Inventory","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.Equipment","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.Affix","0","0","PASS"
"leak.dependency.BuildCapabilityReadValidation.cs.Synergy","0","0","PASS"
