baseItemId,nodeKind,candidateDefinitionId,awakeningNodeId,candidateUnlockLevel,awakeningUnlockLevel,requiredRarity,requiredRarityKey,displayName,description,candidatePayloadIdentity,candidateSourceIdentity,awakeningSourceIdentity,schemaId,authorityRevision
"I003","Core3","candidate_core_i003_03","I003_CORE_03","30","30","Blue","blue","震雷破壳印·合脉","同属zhenlei法门的已点亮道具达到Build2时，“破壳”追加协同数值。","candidate_core_i003_03#3932a5e387cb035302b7f85e6d455a01a849ba93df500f04ddcc36b1d98c57e2","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I003/candidate_core_i003_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I003/I003_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I003","Ultimate","candidate_core_i003_ultimate","I003_CORE_ULT","40","40","Orange","orange","震雷破壳印·成法","震雷破壳印完成成法后，将“破壳”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i003_ultimate#6f096506831408248b0e8bfe49da652d00778e47a743402396f59aa84df9e9e3","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I003/candidate_core_i003_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I003/I003_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I004","Core1","candidate_core_i004_01","I004_CORE_01","10","10","White","white","五雷急令·初识","五雷急令点亮后，“催雷”的基础候选效果获得第一层强化。","candidate_core_i004_01#61763dae5f2935a8b020ba18a70583ae8ac025d1d6c7b0e99a7ff0591f4920ab","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I004/candidate_core_i004_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I004/I004_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I004","Core2","candidate_core_i004_02","I004_CORE_02","20","20","Green","green","五雷急令·承式","触发“催雷”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i004_02#cdc1dd8ca8aa3c83f0a57e9a972e30c69a50debc95dc21d89d8489719563623e","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I004/candidate_core_i004_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I004/I004_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I004","Core3","candidate_core_i004_03","I004_CORE_03","30","30","Blue","blue","五雷急令·合脉","同属zhenlei法门的已点亮道具达到Build2时，“催雷”追加协同数值。","candidate_core_i004_03#657d44d0cb42d087abcf5d00a6ec2a4b3cb180fc74ac46143015d49679a0d13f","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I004/candidate_core_i004_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I004/I004_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I004","Ultimate","candidate_core_i004_ultimate","I004_CORE_ULT","40","40","Orange","orange","五雷急令·成法","五雷急令完成成法后，将“催雷”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i004_ultimate#41027b168723d63f67053bd7636a542b9415d35bd11d91221f6a976e9991c00a","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I004/candidate_core_i004_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I004/I004_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I005","Core1","candidate_core_i005_01","I005_CORE_01","10","10","White","white","照壳雷镜·初识","照壳雷镜点亮后，“照壳”的基础候选效果获得第一层强化。","candidate_core_i005_01#6a45926a338c9104ff4ddb1b0a9ebda612dbb010214ab15ecb1f1113acad19d0","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I005/candidate_core_i005_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I005/I005_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I005","Core2","candidate_core_i005_02","I005_CORE_02","20","20","Green","green","照壳雷镜·承式","触发“照壳”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i005_02#0e3e1dceeb1158e8aec3d2bb64555f288cf57bbbab8493bbe9cfb136fc7c6fc5","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I005/candidate_core_i005_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I005/I005_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I005","Core3","candidate_core_i005_03","I005_CORE_03","30","30","Blue","blue","照壳雷镜·合脉","同属zhenlei法门的已点亮道具达到Build2时，“照壳”追加协同数值。","candidate_core_i005_03#96f1c6d5a0d40bbf49d5bb4c54b715d01f89ac8dfcea6321032380a4597cd133","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I005/candidate_core_i005_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I005/I005_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I005","Ultimate","candidate_core_i005_ultimate","I005_CORE_ULT","40","40","Orange","orange","照壳雷镜·成法","照壳雷镜完成成法后，将“照壳”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i005_ultimate#0b1084166ebb163eeb6b2ac1bf8363cea9d7d49e5915a7c84f83541106bb37ba","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I005/candidate_core_i005_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I005/I005_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I006","Core1","candidate_core_i006_01","I006_CORE_01","10","10","White","white","天鼓槌·初识","天鼓槌点亮后，“天鼓”的基础候选效果获得第一层强化。","candidate_core_i006_01#455b937f26b51b1ab4a59f3ff53a95a82f68c6c1df972a75f424c5f1dd13f86c","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I006/candidate_core_i006_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I006/I006_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I006","Core2","candidate_core_i006_02","I006_CORE_02","20","20","Green","green","天鼓槌·承式","触发“天鼓”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i006_02#55359210ec186f10db563db82f1bcd504e49dc8a52efb1d909742007734a32bc","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I006/candidate_core_i006_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I006/I006_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I006","Core3","candidate_core_i006_03","I006_CORE_03","30","30","Blue","blue","天鼓槌·合脉","同属zhenlei法门的已点亮道具达到Build2时，“天鼓”追加协同数值。","candidate_core_i006_03#b91f25fd89323f3acb0eca65b2ce1c779e1528698cb17ee609984f266f9e7fb5","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I006/candidate_core_i006_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I006/I006_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I006","Ultimate","candidate_core_i006_ultimate","I006_CORE_ULT","40","40","Orange","orange","天鼓槌·成法","天鼓槌完成成法后，将“天鼓”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i006_ultimate#c4f9fc3f20c19510e5a4eaa03bd48c9ad23573ccfaafd059779ff29da08e7b06","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I006/candidate_core_i006_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I006/I006_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I007","Core1","candidate_core_i007_01","I007_CORE_01","10","10","White","white","离火符·初识","离火符点亮后，“燃符”的基础候选效果获得第一层强化。","candidate_core_i007_01#4a9bcf09e9fd4552629472c1abec48d8260f95b56fd4cfd041307da7fb6c4d36","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I007/candidate_core_i007_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I007/I007_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I007","Core2","candidate_core_i007_02","I007_CORE_02","20","20","Green","green","离火符·承式","触发“燃符”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i007_02#d127145f072f649c76cf5be4e7ad78684e4b5973a69784395d3bc53f5b78a19e","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I007/candidate_core_i007_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I007/I007_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I007","Core3","candidate_core_i007_03","I007_CORE_03","30","30","Blue","blue","离火符·合脉","同属lihuo法门的已点亮道具达到Build2时，“燃符”追加协同数值。","candidate_core_i007_03#f87b2236dea6aafd4742fe204afb656aa0b59863a2794a510ae3cb448fafc16a","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I007/candidate_core_i007_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I007/I007_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I007","Ultimate","candidate_core_i007_ultimate","I007_CORE_ULT","40","40","Orange","orange","离火符·成法","离火符完成成法后，将“燃符”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i007_ultimate#5060ae0f96b031348688fe633911b90d3abc89d068627c489c601b7f47ab5e4e","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I007/candidate_core_i007_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I007/I007_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I008","Core1","candidate_core_i008_01","I008_CORE_01","10","10","White","white","焚邪长符·初识","焚邪长符点亮后，“焚邪”的基础候选效果获得第一层强化。","candidate_core_i008_01#b3d94567f7694aa06bda3d72024f0d0416a7ca30bf2e697a779e863369dc2af2","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I008/candidate_core_i008_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I008/I008_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I008","Core2","candidate_core_i008_02","I008_CORE_02","20","20","Green","green","焚邪长符·承式","触发“焚邪”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i008_02#e2a607a44c77808cb2cb850d3df987b8e8c429e56282212c71892d7e5dc02cef","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I008/candidate_core_i008_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I008/I008_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I008","Core3","candidate_core_i008_03","I008_CORE_03","30","30","Blue","blue","焚邪长符·合脉","同属lihuo法门的已点亮道具达到Build2时，“焚邪”追加协同数值。","candidate_core_i008_03#92c31f07011604081ecb7b10efae1fb3a048c92c3443b5f47bb513898b194645","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I008/candidate_core_i008_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I008/I008_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I008","Ultimate","candidate_core_i008_ultimate","I008_CORE_ULT","40","40","Orange","orange","焚邪长符·成法","焚邪长符完成成法后，将“焚邪”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i008_ultimate#94ca3939d2ed4d4bc7e6460c410ad7095451c2eb5981499f84cac3b18454dec5","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I008/candidate_core_i008_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I008/I008_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I009","Core1","candidate_core_i009_01","I009_CORE_01","10","10","White","white","离火焚邪印·初识","离火焚邪印点亮后，“落火”的基础候选效果获得第一层强化。","candidate_core_i009_01#872a32bb988ae81bcd7f5c63de1757fbfb77474d577352ad06b9fd53349729fb","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I009/candidate_core_i009_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I009/I009_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I009","Core2","candidate_core_i009_02","I009_CORE_02","20","20","Green","green","离火焚邪印·承式","触发“落火”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i009_02#f6d81f9d58c262a9722805622f238de36fdb47f1aa56b5f83e5626a00d9b742b","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I009/candidate_core_i009_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I009/I009_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I009","Core3","candidate_core_i009_03","I009_CORE_03","30","30","Blue","blue","离火焚邪印·合脉","同属lihuo法门的已点亮道具达到Build2时，“落火”追加协同数值。","candidate_core_i009_03#5ea20e8efaf895662956aab8293554f663f49c7ea8e5bd2dd804969b5eaf0423","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I009/candidate_core_i009_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I009/I009_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I009","Ultimate","candidate_core_i009_ultimate","I009_CORE_ULT","40","40","Orange","orange","离火焚邪印·成法","离火焚邪印完成成法后，将“落火”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i009_ultimate#35d9fcd1f4c2cf14def0163dc2d6d1658ef6459392d7a0b59f3b83edacb4d189","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I009/candidate_core_i009_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I009/I009_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I010","Core1","candidate_core_i010_01","I010_CORE_01","10","10","White","white","风火令旗·初识","风火令旗点亮后，“风助”的基础候选效果获得第一层强化。","candidate_core_i010_01#b66a8f176b1aa8a83a67a212d90de9ecb8af25b4d31f55a18de0d62b15186f34","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I010/candidate_core_i010_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I010/I010_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I010","Core2","candidate_core_i010_02","I010_CORE_02","20","20","Green","green","风火令旗·承式","触发“风助”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i010_02#9b25aebc4dbb1683aaedf4be3880bec3c7fbedc00c722912c7e83e9e4553fb98","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I010/candidate_core_i010_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I010/I010_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I010","Core3","candidate_core_i010_03","I010_CORE_03","30","30","Blue","blue","风火令旗·合脉","同属lihuo法门的已点亮道具达到Build2时，“风助”追加协同数值。","candidate_core_i010_03#7391bfd7ee6fab03d24de935f5c129cc3d83c3d1c6143868ed96d3951ef553ae","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I010/candidate_core_i010_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I010/I010_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I010","Ultimate","candidate_core_i010_ultimate","I010_CORE_ULT","40","40","Orange","orange","风火令旗·成法","风火令旗完成成法后，将“风助”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i010_ultimate#0473c070749a37446a6ddcd19891947482d99f39d4ff9fe0c7e9bc8f00a38524","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I010/candidate_core_i010_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I010/I010_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I011","Core1","candidate_core_i011_01","I011_CORE_01","10","10","White","white","照焚铜镜·初识","照焚铜镜点亮后，“回光”的基础候选效果获得第一层强化。","candidate_core_i011_01#aa77a095581aa2650fcbcd48b6136f29a7185f5664ea7effb2c8c3b17f7a4a96","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I011/candidate_core_i011_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I011/I011_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
