checkId,status,detail
"affix-I002-orange",PASS,"fixed=1/1; random=1/1"
"debug-I002-orange",PASS,"technical facts retained"
"candidate-I003-white",PASS,"Success; errors="
"player-final-I003-white",PASS,"sections=15; leaks=None"
"affix-I003-white",PASS,"fixed=1/1; random=1/1"
"debug-I003-white",PASS,"technical facts retained"
"candidate-I003-green",PASS,"Success; errors="
"player-final-I003-green",PASS,"sections=15; leaks=None"
"affix-I003-green",PASS,"fixed=1/1; random=1/1"
"debug-I003-green",PASS,"technical facts retained"
"candidate-I003-blue",PASS,"Success; errors="
"player-final-I003-blue",PASS,"sections=15; leaks=None"
"affix-I003-blue",PASS,"fixed=1/1; random=1/1"
"debug-I003-blue",PASS,"technical facts retained"
"candidate-I003-purple",PASS,"Success; errors="
"player-final-I003-purple",PASS,"sections=15; leaks=None"
"affix-I003-purple",PASS,"fixed=1/1; random=1/1"
"debug-I003-purple",PASS,"technical facts retained"
"candidate-I003-orange",PASS,"Success; errors="
"player-final-I003-orange",PASS,"sections=15; leaks=None"
"affix-I003-orange",PASS,"fixed=1/1; random=1/1"
"debug-I003-orange",PASS,"technical facts retained"
"candidate-I004-white",PASS,"Success; errors="
"player-final-I004-white",PASS,"sections=15; leaks=None"
"affix-I004-white",PASS,"fixed=1/1; random=1/1"
"debug-I004-white",PASS,"technical facts retained"
"candidate-I004-green",PASS,"Success; errors="
"player-final-I004-green",PASS,"sections=15; leaks=None"
"affix-I004-green",PASS,"fixed=1/1; random=1/1"
"debug-I004-green",PASS,"technical facts retained"
"candidate-I004-blue",PASS,"Success; errors="
"player-final-I004-blue",PASS,"sections=15; leaks=None"
"affix-I004-blue",PASS,"fixed=1/1; random=1/1"
"debug-I004-blue",PASS,"technical facts retained"
"candidate-I004-purple",PASS,"Success; errors="
"player-final-I004-purple",PASS,"sections=15; leaks=None"
"affix-I004-purple",PASS,"fixed=1/1; random=1/1"
"debug-I004-purple",PASS,"technical facts retained"
"candidate-I004-orange",PASS,"Success; errors="
"player-final-I004-orange",PASS,"sections=15; leaks=None"
"affix-I004-orange",PASS,"fixed=1/1; random=1/1"
"debug-I004-orange",PASS,"technical facts retained"
"candidate-I005-white",PASS,"Success; errors="
"player-final-I005-white",PASS,"sections=15; leaks=None"
"affix-I005-white",PASS,"fixed=1/1; random=1/1"
"debug-I005-white",PASS,"technical facts retained"
"candidate-I005-green",PASS,"Success; errors="
"player-final-I005-green",PASS,"sections=15; leaks=None"
"affix-I005-green",PASS,"fixed=1/1; random=1/1"
"debug-I005-green",PASS,"technical facts retained"
"candidate-I005-blue",PASS,"Success; errors="
"player-final-I005-blue",PASS,"sections=15; leaks=None"
"affix-I005-blue",PASS,"fixed=1/1; random=1/1"
"debug-I005-blue",PASS,"technical facts retained"
"candidate-I005-purple",PASS,"Success; errors="
"player-final-I005-purple",PASS,"sections=15; leaks=None"
"affix-I005-purple",PASS,"fixed=1/1; random=1/1"
"debug-I005-purple",PASS,"technical facts retained"
"candidate-I005-orange",PASS,"Success; errors="
"player-final-I005-orange",PASS,"sections=15; leaks=None"
"affix-I005-orange",PASS,"fixed=1/1; random=1/1"
"debug-I005-orange",PASS,"technical facts retained"
"candidate-I006-white",PASS,"Success; errors="
"player-final-I006-white",PASS,"sections=15; leaks=None"
"affix-I006-white",PASS,"fixed=1/1; random=1/1"
"debug-I006-white",PASS,"technical facts retained"
"candidate-I006-green",PASS,"Success; errors="
"player-final-I006-green",PASS,"sections=15; leaks=None"
"affix-I006-green",PASS,"fixed=1/1; random=1/1"
"debug-I006-green",PASS,"technical facts retained"
"candidate-I006-blue",PASS,"Success; errors="
"player-final-I006-blue",PASS,"sections=15; leaks=None"
"affix-I006-blue",PASS,"fixed=1/1; random=1/1"
"debug-I006-blue",PASS,"technical facts retained"
"candidate-I006-purple",PASS,"Success; errors="
"player-final-I006-purple",PASS,"sections=15; leaks=None"
"affix-I006-purple",PASS,"fixed=1/1; random=1/1"
"debug-I006-purple",PASS,"technical facts retained"
"candidate-I006-orange",PASS,"Success; errors="
"player-final-I006-orange",PASS,"sections=15; leaks=None"
"affix-I006-orange",PASS,"fixed=1/1; random=1/1"
"debug-I006-orange",PASS,"technical facts retained"
"candidate-I007-white",PASS,"Success; errors="
"player-final-I007-white",PASS,"sections=15; leaks=None"
"affix-I007-white",PASS,"fixed=1/1; random=1/1"
"debug-I007-white",PASS,"technical facts retained"
"candidate-I007-green",PASS,"Success; errors="
"player-final-I007-green",PASS,"sections=15; leaks=None"
"affix-I007-green",PASS,"fixed=1/1; random=1/1"
"debug-I007-green",PASS,"technical facts retained"
"candidate-I007-blue",PASS,"Success; errors="
"player-final-I007-blue",PASS,"sections=15; leaks=None"
"affix-I007-blue",PASS,"fixed=1/1; random=1/1"
"debug-I007-blue",PASS,"technical facts retained"
"candidate-I007-purple",PASS,"Success; errors="
"player-final-I007-purple",PASS,"sections=15; leaks=None"
"affix-I007-purple",PASS,"fixed=1/1; random=1/1"
"debug-I007-purple",PASS,"technical facts retained"
"candidate-I007-orange",PASS,"Success; errors="
"player-final-I007-orange",PASS,"sections=15; leaks=None"
"affix-I007-orange",PASS,"fixed=1/1; random=1/1"
"debug-I007-orange",PASS,"technical facts retained"
"candidate-I008-white",PASS,"Success; errors="
"player-final-I008-white",PASS,"sections=15; leaks=None"
"affix-I008-white",PASS,"fixed=1/1; random=1/1"
"debug-I008-white",PASS,"technical facts retained"
"candidate-I008-green",PASS,"Success; errors="
"player-final-I008-green",PASS,"sections=15; leaks=None"
"affix-I008-green",PASS,"fixed=1/1; random=1/1"
"debug-I008-green",PASS,"technical facts retained"
"candidate-I008-blue",PASS,"Success; errors="
"player-final-I008-blue",PASS,"sections=15; leaks=None"
"affix-I008-blue",PASS,"fixed=1/1; random=1/1"
"debug-I008-blue",PASS,"technical facts retained"
"candidate-I008-purple",PASS,"Success; errors="
"player-final-I008-purple",PASS,"sections=15; leaks=None"
"affix-I008-purple",PASS,"fixed=1/1; random=1/1"
"debug-I008-purple",PASS,"technical facts retained"
"candidate-I008-orange",PASS,"Success; errors="
"player-final-I008-orange",PASS,"sections=15; leaks=None"
"affix-I008-orange",PASS,"fixed=1/1; random=1/1"
"debug-I008-orange",PASS,"technical facts retained"
"candidate-I009-white",PASS,"Success; errors="
"player-final-I009-white",PASS,"sections=15; leaks=None"
"affix-I009-white",PASS,"fixed=1/1; random=1/1"
"debug-I009-white",PASS,"technical facts retained"
"candidate-I009-green",PASS,"Success; errors="
"player-final-I009-green",PASS,"sections=15; leaks=None"
"affix-I009-green",PASS,"fixed=1/1; random=1/1"
"debug-I009-green",PASS,"technical facts retained"
"candidate-I009-blue",PASS,"Success; errors="
"player-final-I009-blue",PASS,"sections=15; leaks=None"
"affix-I009-blue",PASS,"fixed=1/1; random=1/1"
"debug-I009-blue",PASS,"technical facts retained"
"candidate-I009-purple",PASS,"Success; errors="
"player-final-I009-purple",PASS,"sections=15; leaks=None"
"affix-I009-purple",PASS,"fixed=1/1; random=1/1"
"debug-I009-purple",PASS,"technical facts retained"
"candidate-I009-orange",PASS,"Success; errors="
"player-final-I009-orange",PASS,"sections=15; leaks=None"
"affix-I009-orange",PASS,"fixed=1/1; random=1/1"
"debug-I009-orange",PASS,"technical facts retained"
"candidate-I010-white",PASS,"Success; errors="
"player-final-I010-white",PASS,"sections=15; leaks=None"
"affix-I010-white",PASS,"fixed=1/1; random=1/1"
"debug-I010-white",PASS,"technical facts retained"
"candidate-I010-green",PASS,"Success; errors="
"player-final-I010-green",PASS,"sections=15; leaks=None"
"affix-I010-green",PASS,"fixed=1/1; random=1/1"
"debug-I010-green",PASS,"technical facts retained"
"candidate-I010-blue",PASS,"Success; errors="
"player-final-I010-blue",PASS,"sections=15; leaks=None"
"affix-I010-blue",PASS,"fixed=1/1; random=1/1"
"debug-I010-blue",PASS,"technical facts retained"
"candidate-I010-purple",PASS,"Success; errors="
"player-final-I010-purple",PASS,"sections=15; leaks=None"
"affix-I010-purple",PASS,"fixed=1/1; random=1/1"
"debug-I010-purple",PASS,"technical facts retained"
"candidate-I010-orange",PASS,"Success; errors="
"player-final-I010-orange",PASS,"sections=15; leaks=None"
"affix-I010-orange",PASS,"fixed=1/1; random=1/1"
"debug-I010-orange",PASS,"technical facts retained"
"candidate-I011-white",PASS,"Success; errors="
"player-final-I011-white",PASS,"sections=15; leaks=None"
"affix-I011-white",PASS,"fixed=1/1; random=1/1"
"debug-I011-white",PASS,"technical facts retained"
"candidate-I011-green",PASS,"Success; errors="
"player-final-I011-green",PASS,"sections=15; leaks=None"
"affix-I011-green",PASS,"fixed=1/1; random=1/1"
"debug-I011-green",PASS,"technical facts retained"
"candidate-I011-blue",PASS,"Success; errors="
"player-final-I011-blue",PASS,"sections=15; leaks=None"
"affix-I011-blue",PASS,"fixed=1/1; random=1/1"
"debug-I011-blue",PASS,"technical facts retained"
"candidate-I011-purple",PASS,"Success; errors="
"player-final-I011-purple",PASS,"sections=15; leaks=None"
"affix-I011-purple",PASS,"fixed=1/1; random=1/1"
"debug-I011-purple",PASS,"technical facts retained"
"candidate-I011-orange",PASS,"Success; errors="
"player-final-I011-orange",PASS,"sections=15; leaks=None"
"affix-I011-orange",PASS,"fixed=1/1; random=1/1"
"debug-I011-orange",PASS,"technical facts retained"
"candidate-I012-white",PASS,"Success; errors="
"player-final-I012-white",PASS,"sections=15; leaks=None"
"affix-I012-white",PASS,"fixed=1/1; random=1/1"
"debug-I012-white",PASS,"technical facts retained"
"candidate-I012-green",PASS,"Success; errors="
"player-final-I012-green",PASS,"sections=15; leaks=None"
"affix-I012-green",PASS,"fixed=1/1; random=1/1"
"debug-I012-green",PASS,"technical facts retained"
"candidate-I012-blue",PASS,"Success; errors="
"player-final-I012-blue",PASS,"sections=15; leaks=None"
"affix-I012-blue",PASS,"fixed=1/1; random=1/1"
"debug-I012-blue",PASS,"technical facts retained"
"candidate-I012-purple",PASS,"Success; errors="
"player-final-I012-purple",PASS,"sections=15; leaks=None"
"affix-I012-purple",PASS,"fixed=1/1; random=1/1"
"debug-I012-purple",PASS,"technical facts retained"
"candidate-I012-orange",PASS,"Success; errors="
"player-final-I012-orange",PASS,"sections=15; leaks=None"
"affix-I012-orange",PASS,"fixed=1/1; random=1/1"
"debug-I012-orange",PASS,"technical facts retained"
"candidate-I013-white",PASS,"Success; errors="
"player-final-I013-white",PASS,"sections=15; leaks=None"
"affix-I013-white",PASS,"fixed=1/1; random=1/1"
"debug-I013-white",PASS,"technical facts retained"
"candidate-I013-green",PASS,"Success; errors="
"player-final-I013-green",PASS,"sections=15; leaks=None"
"affix-I013-green",PASS,"fixed=1/1; random=1/1"
"debug-I013-green",PASS,"technical facts retained"
"candidate-I013-blue",PASS,"Success; errors="
"player-final-I013-blue",PASS,"sections=15; leaks=None"
"affix-I013-blue",PASS,"fixed=1/1; random=1/1"
"debug-I013-blue",PASS,"technical facts retained"
"candidate-I013-purple",PASS,"Success; errors="
"player-final-I013-purple",PASS,"sections=15; leaks=None"
"affix-I013-purple",PASS,"fixed=1/1; random=1/1"
"debug-I013-purple",PASS,"technical facts retained"
"candidate-I013-orange",PASS,"Success; errors="
"player-final-I013-orange",PASS,"sections=15; leaks=None"
"affix-I013-orange",PASS,"fixed=1/1; random=1/1"
"debug-I013-orange",PASS,"technical facts retained"
"candidate-I014-white",PASS,"Success; errors="
"player-final-I014-white",PASS,"sections=15; leaks=None"
"affix-I014-white",PASS,"fixed=1/1; random=1/1"
"debug-I014-white",PASS,"technical facts retained"
"candidate-I014-green",PASS,"Success; errors="
"player-final-I014-green",PASS,"sections=15; leaks=None"
"affix-I014-green",PASS,"fixed=1/1; random=1/1"
"debug-I014-green",PASS,"technical facts retained"
"candidate-I014-blue",PASS,"Success; errors="
"player-final-I014-blue",PASS,"sections=15; leaks=None"
"affix-I014-blue",PASS,"fixed=1/1; random=1/1"
"debug-I014-blue",PASS,"technical facts retained"
"candidate-I014-purple",PASS,"Success; errors="
"player-final-I014-purple",PASS,"sections=15; leaks=None"
"affix-I014-purple",PASS,"fixed=1/1; random=1/1"
"debug-I014-purple",PASS,"technical facts retained"
"candidate-I014-orange",PASS,"Success; errors="
"player-final-I014-orange",PASS,"sections=15; leaks=None"
"affix-I014-orange",PASS,"fixed=1/1; random=1/1"
"debug-I014-orange",PASS,"technical facts retained"
"candidate-I015-white",PASS,"Success; errors="
"player-final-I015-white",PASS,"sections=15; leaks=None"
"affix-I015-white",PASS,"fixed=1/1; random=1/1"
"debug-I015-white",PASS,"technical facts retained"
"candidate-I015-green",PASS,"Success; errors="
"player-final-I015-green",PASS,"sections=15; leaks=None"
"affix-I015-green",PASS,"fixed=1/1; random=1/1"
"debug-I015-green",PASS,"technical facts retained"
"candidate-I015-blue",PASS,"Success; errors="
"player-final-I015-blue",PASS,"sections=15; leaks=None"
"affix-I015-blue",PASS,"fixed=1/1; random=1/1"
"debug-I015-blue",PASS,"technical facts retained"
"candidate-I015-purple",PASS,"Success; errors="
"player-final-I015-purple",PASS,"sections=15; leaks=None"
"affix-I015-purple",PASS,"fixed=1/1; random=1/1"
"debug-I015-purple",PASS,"technical facts retained"
"candidate-I015-orange",PASS,"Success; errors="
"player-final-I015-orange",PASS,"sections=15; leaks=None"
"affix-I015-orange",PASS,"fixed=1/1; random=1/1"
"debug-I015-orange",PASS,"technical facts retained"
"candidate-I016-white",PASS,"Success; errors="
"player-final-I016-white",PASS,"sections=15; leaks=None"
"affix-I016-white",PASS,"fixed=1/1; random=1/1"
"debug-I016-white",PASS,"technical facts retained"
"candidate-I016-green",PASS,"Success; errors="
"player-final-I016-green",PASS,"sections=15; leaks=None"
"affix-I016-green",PASS,"fixed=1/1; random=1/1"
"debug-I016-green",PASS,"technical facts retained"
"candidate-I016-blue",PASS,"Success; errors="
"player-final-I016-blue",PASS,"sections=15; leaks=None"
"affix-I016-blue",PASS,"fixed=1/1; random=1/1"
"debug-I016-blue",PASS,"technical facts retained"
"candidate-I016-purple",PASS,"Success; errors="
"player-final-I016-purple",PASS,"sections=15; leaks=None"
"affix-I016-purple",PASS,"fixed=1/1; random=1/1"
"debug-I016-purple",PASS,"technical facts retained"
"candidate-I016-orange",PASS,"Success; errors="
"player-final-I016-orange",PASS,"sections=15; leaks=None"
"affix-I016-orange",PASS,"fixed=1/1; random=1/1"
"debug-I016-orange",PASS,"technical facts retained"
"candidate-I017-white",PASS,"Success; errors="
"player-final-I017-white",PASS,"sections=15; leaks=None"
"affix-I017-white",PASS,"fixed=1/1; random=1/1"
"debug-I017-white",PASS,"technical facts retained"
"candidate-I017-green",PASS,"Success; errors="
"player-final-I017-green",PASS,"sections=15; leaks=None"
"affix-I017-green",PASS,"fixed=1/1; random=1/1"
"debug-I017-green",PASS,"technical facts retained"
"candidate-I017-blue",PASS,"Success; errors="
"player-final-I017-blue",PASS,"sections=15; leaks=None"
"affix-I017-blue",PASS,"fixed=1/1; random=1/1"
"debug-I017-blue",PASS,"technical facts retained"
"candidate-I017-purple",PASS,"Success; errors="
"player-final-I017-purple",PASS,"sections=15; leaks=None"
"affix-I017-purple",PASS,"fixed=1/1; random=1/1"
"debug-I017-purple",PASS,"technical facts retained"
"candidate-I017-orange",PASS,"Success; errors="
"player-final-I017-orange",PASS,"sections=15; leaks=None"
"affix-I017-orange",PASS,"fixed=1/1; random=1/1"
"debug-I017-orange",PASS,"technical facts retained"
"candidate-I018-white",PASS,"Success; errors="
"player-final-I018-white",PASS,"sections=15; leaks=None"
"affix-I018-white",PASS,"fixed=1/1; random=1/1"
"debug-I018-white",PASS,"technical facts retained"
"candidate-I018-green",PASS,"Success; errors="
"player-final-I018-green",PASS,"sections=15; leaks=None"
"affix-I018-green",PASS,"fixed=1/1; random=1/1"
"debug-I018-green",PASS,"technical facts retained"
"candidate-I018-blue",PASS,"Success; errors="
"player-final-I018-blue",PASS,"sections=15; leaks=None"
"affix-I018-blue",PASS,"fixed=1/1; random=1/1"
"debug-I018-blue",PASS,"technical facts retained"
"candidate-I018-purple",PASS,"Success; errors="
"player-final-I018-purple",PASS,"sections=15; leaks=None"
"affix-I018-purple",PASS,"fixed=1/1; random=1/1"
"debug-I018-purple",PASS,"technical facts retained"
"candidate-I018-orange",PASS,"Success; errors="
"player-final-I018-orange",PASS,"sections=15; leaks=None"
"affix-I018-orange",PASS,"fixed=1/1; random=1/1"
"debug-I018-orange",PASS,"technical facts retained"
"candidate-I019-white",PASS,"Success; errors="
"player-final-I019-white",PASS,"sections=15; leaks=None"
"affix-I019-white",PASS,"fixed=1/1; random=1/1"
"debug-I019-white",PASS,"technical facts retained"
"candidate-I019-green",PASS,"Success; errors="
"player-final-I019-green",PASS,"sections=15; leaks=None"
"affix-I019-green",PASS,"fixed=1/1; random=1/1"
"debug-I019-green",PASS,"technical facts retained"
"candidate-I019-blue",PASS,"Success; errors="
"player-final-I019-blue",PASS,"sections=15; leaks=None"
"affix-I019-blue",PASS,"fixed=1/1; random=1/1"
"debug-I019-blue",PASS,"technical facts retained"
"candidate-I019-purple",PASS,"Success; errors="
"player-final-I019-purple",PASS,"sections=15; leaks=None"
"affix-I019-purple",PASS,"fixed=1/1; random=1/1"
"debug-I019-purple",PASS,"technical facts retained"
"candidate-I019-orange",PASS,"Success; errors="
"player-final-I019-orange",PASS,"sections=15; leaks=None"
"affix-I019-orange",PASS,"fixed=1/1; random=1/1"
"debug-I019-orange",PASS,"technical facts retained"
"candidate-I020-white",PASS,"Success; errors="
"player-final-I020-white",PASS,"sections=15; leaks=None"
"affix-I020-white",PASS,"fixed=1/1; random=1/1"
"debug-I020-white",PASS,"technical facts retained"
"candidate-I020-green",PASS,"Success; errors="
"player-final-I020-green",PASS,"sections=15; leaks=None"
"affix-I020-green",PASS,"fixed=1/1; random=1/1"
"debug-I020-green",PASS,"technical facts retained"
"candidate-I020-blue",PASS,"Success; errors="
"player-final-I020-blue",PASS,"sections=15; leaks=None"
"affix-I020-blue",PASS,"fixed=1/1; random=1/1"
"debug-I020-blue",PASS,"technical facts retained"
"candidate-I020-purple",PASS,"Success; errors="
"player-final-I020-purple",PASS,"sections=15; leaks=None"
"affix-I020-purple",PASS,"fixed=1/1; random=1/1"
"debug-I020-purple",PASS,"technical facts retained"
"candidate-I020-orange",PASS,"Success; errors="
"player-final-I020-orange",PASS,"sections=15; leaks=None"
"affix-I020-orange",PASS,"fixed=1/1; random=1/1"
"debug-I020-orange",PASS,"technical facts retained"
"candidate-I021-white",PASS,"Success; errors="
"player-final-I021-white",PASS,"sections=15; leaks=None"
"affix-I021-white",PASS,"fixed=1/1; random=1/1"
"debug-I021-white",PASS,"technical facts retained"
"candidate-I021-green",PASS,"Success; errors="
"player-final-I021-green",PASS,"sections=15; leaks=None"
"affix-I021-green",PASS,"fixed=1/1; random=1/1"
"debug-I021-green",PASS,"technical facts retained"
"candidate-I021-blue",PASS,"Success; errors="
"player-final-I021-blue",PASS,"sections=15; leaks=None"
"affix-I021-blue",PASS,"fixed=1/1; random=1/1"
"debug-I021-blue",PASS,"technical facts retained"
"candidate-I021-purple",PASS,"Success; errors="
"player-final-I021-purple",PASS,"sections=15; leaks=None"
"affix-I021-purple",PASS,"fixed=1/1; random=1/1"
"debug-I021-purple",PASS,"technical facts retained"
"candidate-I021-orange",PASS,"Success; errors="
"player-final-I021-orange",PASS,"sections=15; leaks=None"
"affix-I021-orange",PASS,"fixed=1/1; random=1/1"
"debug-I021-orange",PASS,"technical facts retained"
"candidate-I022-white",PASS,"Success; errors="
"player-final-I022-white",PASS,"sections=15; leaks=None"
"affix-I022-white",PASS,"fixed=1/1; random=1/1"
"debug-I022-white",PASS,"technical facts retained"
"candidate-I022-green",PASS,"Success; errors="
"player-final-I022-green",PASS,"sections=15; leaks=None"
"affix-I022-green",PASS,"fixed=1/1; random=1/1"
"debug-I022-green",PASS,"technical facts retained"
"candidate-I022-blue",PASS,"Success; errors="
"player-final-I022-blue",PASS,"sections=15; leaks=None"
"affix-I022-blue",PASS,"fixed=1/1; random=1/1"
"debug-I022-blue",PASS,"technical facts retained"
"candidate-I022-purple",PASS,"Success; errors="
"player-final-I022-purple",PASS,"sections=15; leaks=None"
"affix-I022-purple",PASS,"fixed=1/1; random=1/1"
"debug-I022-purple",PASS,"technical facts retained"
"candidate-I022-orange",PASS,"Success; errors="
"player-final-I022-orange",PASS,"sections=15; leaks=None"
"affix-I022-orange",PASS,"fixed=1/1; random=1/1"
"debug-I022-orange",PASS,"technical facts retained"
"candidate-I023-white",PASS,"Success; errors="
"player-final-I023-white",PASS,"sections=15; leaks=None"
"affix-I023-white",PASS,"fixed=1/1; random=1/1"
"debug-I023-white",PASS,"technical facts retained"
"candidate-I023-green",PASS,"Success; errors="
"player-final-I023-green",PASS,"sections=15; leaks=None"
"affix-I023-green",PASS,"fixed=1/1; random=1/1"
"debug-I023-green",PASS,"technical facts retained"
"candidate-I023-blue",PASS,"Success; errors="
"player-final-I023-blue",PASS,"sections=15; leaks=None"
"affix-I023-blue",PASS,"fixed=1/1; random=1/1"
"debug-I023-blue",PASS,"technical facts retained"
"candidate-I023-purple",PASS,"Success; errors="
"player-final-I023-purple",PASS,"sections=15; leaks=None"
"affix-I023-purple",PASS,"fixed=1/1; random=1/1"
"debug-I023-purple",PASS,"technical facts retained"
"candidate-I023-orange",PASS,"Success; errors="
"player-final-I023-orange",PASS,"sections=15; leaks=None"
"affix-I023-orange",PASS,"fixed=1/1; random=1/1"
"debug-I023-orange",PASS,"technical facts retained"
"candidate-I024-white",PASS,"Success; errors="
"player-final-I024-white",PASS,"sections=15; leaks=None"
"affix-I024-white",PASS,"fixed=1/1; random=1/1"
"debug-I024-white",PASS,"technical facts retained"
"candidate-I024-green",PASS,"Success; errors="
"player-final-I024-green",PASS,"sections=15; leaks=None"
"affix-I024-green",PASS,"fixed=1/1; random=1/1"
"debug-I024-green",PASS,"technical facts retained"
"candidate-I024-blue",PASS,"Success; errors="
"player-final-I024-blue",PASS,"sections=15; leaks=None"
"affix-I024-blue",PASS,"fixed=1/1; random=1/1"
"debug-I024-blue",PASS,"technical facts retained"
"candidate-I024-purple",PASS,"Success; errors="
"player-final-I024-purple",PASS,"sections=15; leaks=None"
"affix-I024-purple",PASS,"fixed=1/1; random=1/1"
"debug-I024-purple",PASS,"technical facts retained"
"candidate-I024-orange",PASS,"Success; errors="
"player-final-I024-orange",PASS,"sections=15; leaks=None"
"affix-I024-orange",PASS,"fixed=1/1; random=1/1"
"debug-I024-orange",PASS,"technical facts retained"
"candidate-I025-white",PASS,"Success; errors="
"player-final-I025-white",PASS,"sections=15; leaks=None"
"affix-I025-white",PASS,"fixed=1/1; random=1/1"
"debug-I025-white",PASS,"technical facts retained"
"candidate-I025-green",PASS,"Success; errors="
"player-final-I025-green",PASS,"sections=15; leaks=None"
"affix-I025-green",PASS,"fixed=1/1; random=1/1"
"debug-I025-green",PASS,"technical facts retained"
"candidate-I025-blue",PASS,"Success; errors="
"player-final-I025-blue",PASS,"sections=15; leaks=None"
"affix-I025-blue",PASS,"fixed=1/1; random=1/1"
"debug-I025-blue",PASS,"technical facts retained"
"candidate-I025-purple",PASS,"Success; errors="
"player-final-I025-purple",PASS,"sections=15; leaks=None"
"affix-I025-purple",PASS,"fixed=1/1; random=1/1"
"debug-I025-purple",PASS,"technical facts retained"
"candidate-I025-orange",PASS,"Success; errors="
"player-final-I025-orange",PASS,"sections=15; leaks=None"
"affix-I025-orange",PASS,"fixed=1/1; random=1/1"
"debug-I025-orange",PASS,"technical facts retained"
"candidate-I026-white",PASS,"Success; errors="
"player-final-I026-white",PASS,"sections=15; leaks=None"
"affix-I026-white",PASS,"fixed=1/1; random=1/1"
"debug-I026-white",PASS,"technical facts retained"
"candidate-I026-green",PASS,"Success; errors="
"player-final-I026-green",PASS,"sections=15; leaks=None"
"affix-I026-green",PASS,"fixed=1/1; random=1/1"
"debug-I026-green",PASS,"technical facts retained"
"candidate-I026-blue",PASS,"Success; errors="
"player-final-I026-blue",PASS,"sections=15; leaks=None"
"affix-I026-blue",PASS,"fixed=1/1; random=1/1"
"debug-I026-blue",PASS,"technical facts retained"
"candidate-I026-purple",PASS,"Success; errors="
"player-final-I026-purple",PASS,"sections=15; leaks=None"
"affix-I026-purple",PASS,"fixed=1/1; random=1/1"
"debug-I026-purple",PASS,"technical facts retained"
"candidate-I026-orange",PASS,"Success; errors="
"player-final-I026-orange",PASS,"sections=15; leaks=None"
"affix-I026-orange",PASS,"fixed=1/1; random=1/1"
"debug-I026-orange",PASS,"technical facts retained"
"candidate-I027-white",PASS,"Success; errors="
"player-final-I027-white",PASS,"sections=15; leaks=None"
"affix-I027-white",PASS,"fixed=1/1; random=1/1"
"debug-I027-white",PASS,"technical facts retained"
"candidate-I027-green",PASS,"Success; errors="
"player-final-I027-green",PASS,"sections=15; leaks=None"
"affix-I027-green",PASS,"fixed=1/1; random=1/1"
"debug-I027-green",PASS,"technical facts retained"
"candidate-I027-blue",PASS,"Success; errors="
"player-final-I027-blue",PASS,"sections=15; leaks=None"
"affix-I027-blue",PASS,"fixed=1/1; random=1/1"
"debug-I027-blue",PASS,"technical facts retained"
"candidate-I027-purple",PASS,"Success; errors="
"player-final-I027-purple",PASS,"sections=15; leaks=None"
"affix-I027-purple",PASS,"fixed=1/1; random=1/1"
"debug-I027-purple",PASS,"technical facts retained"
"candidate-I027-orange",PASS,"Success; errors="
"player-final-I027-orange",PASS,"sections=15; leaks=None"
"affix-I027-orange",PASS,"fixed=1/1; random=1/1"
"debug-I027-orange",PASS,"technical facts retained"
"candidate-I028-white",PASS,"Success; errors="
"player-final-I028-white",PASS,"sections=15; leaks=None"
"affix-I028-white",PASS,"fixed=1/1; random=1/1"
