legacySourceKind,legacyKey,canonicalCategory,canonicalKey,mappingMode,status,reason
"BuildProblemSeedData.MapRuleSeed.debuffTags","AnchorShift","Mechanic|PressureChannel","mechanic.formation_eye_disruption|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","BlindInterval","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Visibility interval is outside the first stable pressure-channel set."
"BuildProblemSeedData.MapRuleSeed.debuffTags","BurstTax","Mechanic|PressureChannel","mechanic.burst_spike|pressure.burst_survival","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","CastNoise","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Player-side cast-noise effect is not the enemy long-cast/interrupt pressure primitive."
"BuildProblemSeedData.MapRuleSeed.debuffTags","CooldownSlow","BuildCapability|PressureChannel","capability.cooldown_recovery|pressure.sustained_output","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","EnergyCut","Mechanic|PressureChannel","mechanic.energy_drain|pressure.resource_disruption","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","EnergyLeak","Mechanic|PressureChannel","mechanic.energy_drain|pressure.resource_disruption","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","GuardDrain","PressureChannel","pressure.burst_survival","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","GuardPressure","PressureChannel","pressure.burst_survival","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","PaperDamp","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map flavor status needs E03 normalization before assigning an atomic mechanic."
"BuildProblemSeedData.MapRuleSeed.debuffTags","ShapePenalty","Mechanic|PressureChannel","mechanic.formation_eye_disruption|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","ShapeSplit","Mechanic|PressureChannel","mechanic.formation_eye_disruption|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","ShieldLayered","Mechanic|PressureChannel","mechanic.layered_shield|pressure.shield","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","SightReduced","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Visibility effect is outside the first stable pressure-channel set."
"BuildProblemSeedData.MapRuleSeed.debuffTags","SummonEcho","Mechanic|PressureChannel","mechanic.swarm_summon|pressure.multi_target","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","TalismanDamp","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map flavor status needs E03 normalization before assigning an atomic mechanic."
"BuildProblemSeedData.MapRuleSeed.debuffTags","TilePollution","Mechanic|PressureChannel","mechanic.polluted_tile|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.debuffTags","WindowShort","PressureChannel","pressure.burst_survival","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.WeaknessWindowSeed.triggerCondition","charge_interrupt","CounterWindowType","counter_window.interrupt_stagger","ONE_TO_ONE",MAPPED,"Legacy weakness semantic becomes the interrupt-stagger counter-window type."
"BuildProblemSeedData.WeaknessWindowSeed.triggerCondition","cleanse_reveal","CounterWindowType","counter_window.cleanse_reveal","ONE_TO_ONE",MAPPED,"Legacy weakness semantic becomes the cleanse-reveal counter-window type."
"BuildProblemSeedData.WeaknessWindowSeed.triggerCondition","full_loop_counter","CounterWindowType","counter_window.energy_counter_full_array","ONE_TO_ONE",MAPPED,"Legacy weakness semantic becomes the energy-counter full-array window type."
"BuildProblemSeedData.WeaknessWindowSeed.triggerCondition","guard_counter","CounterWindowType","counter_window.guard_rebound","ONE_TO_ONE",MAPPED,"Legacy weakness semantic becomes the guard-rebound counter-window type."
"BuildProblemSeedData.WeaknessWindowSeed.triggerCondition","layered_shell_break","CounterWindowType","counter_window.shell_break","ONE_TO_ONE",MAPPED,"Legacy weakness semantic becomes the shell-break counter-window type."
"BuildProblemSeedData.WeaknessWindowSeed.triggerCondition","summon_clear_reveal","CounterWindowType","counter_window.clear_core_exposure","ONE_TO_ONE",MAPPED,"Legacy weakness semantic becomes the clear-core-exposure counter-window type."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","BreakPower","BuildCapability","capability.break_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","ChainReaction","BuildCapability","capability.chain_reaction","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","CleansePower","BuildCapability","capability.cleanse_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","ClearPower","BuildCapability","capability.clear_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","ControlPower","BuildCapability","capability.control_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","DebuffCounter","BuildCapability","capability.debuff_counter","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","EnergyStability","BuildCapability","capability.energy_stability","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","GuardPower","BuildCapability","capability.guard_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","InterruptTiming","BuildCapability","capability.interrupt_timing","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","PlacementShape","BuildCapability","capability.placement_shape","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","SpiritLock","BuildCapability","capability.spirit_lock","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","SustainedDamage","BuildCapability","capability.sustained_damage","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.hardSolutionTags (requiredCapabilityTags semantic)","ThunderChain","BuildCapability","capability.thunder_chain","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.pressureType (mechanicType semantic)","burst_spike","Mechanic|PressureChannel","mechanic.burst_spike|pressure.burst_survival","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","dot_and_debuff","Mechanic|Mechanic|PressureChannel","mechanic.poison|mechanic.burning|pressure.status_damage","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","energy_drain","Mechanic|PressureChannel","mechanic.energy_drain|pressure.resource_disruption","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","formation_eye_jam","Mechanic|PressureChannel","mechanic.formation_eye_disruption|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","high_health","Mechanic|PressureChannel","mechanic.high_health_endurance|pressure.sustained_output","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","layered_shield","Mechanic|PressureChannel","mechanic.layered_shield|pressure.shield","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","long_cast","Mechanic|PressureChannel","mechanic.long_cast|pressure.cast_interrupt","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","polluted_tile","Mechanic|PressureChannel","mechanic.polluted_tile|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","seal_lock","Mechanic|PressureChannel","mechanic.talisman_seal|pressure.seal_control","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.pressureType (mechanicType semantic)","swarm_pressure","Mechanic|PressureChannel","mechanic.swarm_summon|pressure.multi_target","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","AffixBreakBoost","BuildCapability","capability.break_power","ONE_TO_ONE",MAPPED,"Concrete affix-era label collapses to its abstract break capability."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","BurstWindow","BuildCapability","capability.burst_window","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","CleansePower","BuildCapability","capability.cleanse_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","ClearPower","BuildCapability","capability.clear_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","ControlPower","BuildCapability","capability.control_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","EnergyStability","BuildCapability","capability.energy_stability","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","GuardPower","BuildCapability","capability.guard_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","GuardStall","BuildCapability","capability.guard_power","ONE_TO_ONE",MAPPED,"Legacy stall label collapses to abstract guard capability."
"BuildProblemSeedData.softSolutionTags (optionalCapabilityTags semantic)","PlacementShape","BuildCapability","capability.placement_shape","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"EnemyBossValidationPool.bossMechanic","burst_boss","Mechanic|PressureChannel","mechanic.burst_spike|pressure.burst_survival","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.bossMechanic","caster_boss","Mechanic|PressureChannel","mechanic.long_cast|pressure.cast_interrupt","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.bossMechanic","debuff_boss","PressureChannel","pressure.status_damage","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.bossMechanic","energy_jammer_boss","Mechanic|PressureChannel","mechanic.energy_drain|pressure.resource_disruption","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.bossMechanic","hybrid_combo_boss","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Composite Boss marker has no atomic mechanic meaning; E03 must decompose it by explicit profile references."
"EnemyBossValidationPool.bossMechanic","shield_boss","Mechanic|PressureChannel","mechanic.layered_shield|pressure.shield","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.bossMechanic","swarm_boss","Mechanic|PressureChannel","mechanic.swarm_summon|pressure.multi_target","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","basic","Mechanic","mechanic.basic_pressure","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","burning","Mechanic|PressureChannel","mechanic.burning|pressure.status_damage","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","burst","Mechanic|PressureChannel","mechanic.burst_spike|pressure.burst_survival","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","caster","Mechanic|PressureChannel","mechanic.long_cast|pressure.cast_interrupt","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","formation_eye_disrupt","Mechanic|PressureChannel","mechanic.formation_eye_disruption|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","high_hp","Mechanic|PressureChannel","mechanic.high_health_endurance|pressure.sustained_output","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","poison","Mechanic|PressureChannel","mechanic.poison|pressure.status_damage","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","seal_lock","Mechanic|PressureChannel","mechanic.talisman_seal|pressure.seal_control","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","shield_guard","Mechanic|PressureChannel","mechanic.layered_shield|pressure.shield","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","spirit_thief","Mechanic|PressureChannel","mechanic.energy_drain|pressure.resource_disruption","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.enemyType","swarm","Mechanic|PressureChannel","mechanic.swarm_summon|pressure.multi_target","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","baseline","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Benchmark metadata marker, not an Enemy mechanic, capability, pressure, counter window, hint, or diagnostic category."
"EnemyBossValidationPool.validationTags","basic","Mechanic","mechanic.basic_pressure","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","boss","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Archetype marker, not a mechanic primitive."
"EnemyBossValidationPool.validationTags","break_test","BuildCapability","capability.break_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"EnemyBossValidationPool.validationTags","burning","Mechanic|PressureChannel","mechanic.burning|pressure.status_damage","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","burst","Mechanic|PressureChannel","mechanic.burst_spike|pressure.burst_survival","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","caster","Mechanic|PressureChannel","mechanic.long_cast|pressure.cast_interrupt","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","cleanse","BuildCapability","capability.cleanse_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"EnemyBossValidationPool.validationTags","combo","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Composition marker requires explicit mechanic references in E03."
"EnemyBossValidationPool.validationTags","control","PressureChannel","pressure.seal_control","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","dot_pressure","PressureChannel","pressure.status_damage","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","energy_drain","Mechanic|PressureChannel","mechanic.energy_drain|pressure.resource_disruption","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","formation_eye","Mechanic|PressureChannel","mechanic.formation_eye_disruption|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","high_hp","Mechanic|PressureChannel","mechanic.high_health_endurance|pressure.sustained_output","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","hybrid","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Composite marker requires explicit mechanic references in E03."
"EnemyBossValidationPool.validationTags","long_fight","PressureChannel","pressure.sustained_output","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","low_hp_pressure","PressureChannel","pressure.burst_survival","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","multi_target","PressureChannel","pressure.multi_target","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","negative_status","PressureChannel","pressure.status_damage","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","placement_disrupt","PressureChannel","pressure.placement_formation","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","poison","Mechanic|PressureChannel","mechanic.poison|pressure.status_damage","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","resource_disrupt","PressureChannel","pressure.resource_disruption","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","seal_lock","Mechanic|PressureChannel","mechanic.talisman_seal|pressure.seal_control","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","shield","Mechanic|PressureChannel","mechanic.layered_shield|pressure.shield","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","skill_cast","PressureChannel","pressure.cast_interrupt","ONE_TO_ONE",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"EnemyBossValidationPool.validationTags","swarm","Mechanic|PressureChannel","mechanic.swarm_summon|pressure.multi_target","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
