baseItemId,itemName,coreEffectId,nodeKind,displayName,description,effectType,unlockLevel,requiredRarity,effectId,category,operation,valueUnitKey,valueUnits,stateDescription,dataMaturity,designNote
"I004","五雷急令","candidate_core_i004_02","Core2","五雷急令·承式","触发“催雷”后返还一部分节奏资源，并保留下一次触发条件。","TriggeredEffect","20","green","candidate_core_i004_02","TriggeredEffect","ExtraTarget","count","2","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I004","五雷急令","candidate_core_i004_03","Core3","五雷急令·合脉","同属zhenlei法门的已点亮道具达到Build2时，“催雷”追加协同数值。","CoreEffect","30","blue","candidate_core_i004_03","CoreEffect","AddPercent","count","3","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I004","五雷急令","candidate_core_i004_04","Core4","五雷急令·转机","“催雷”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i004_04","CoreEffect","ExtraTrigger","count","4","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I004","五雷急令","candidate_core_i004_ultimate","Ultimate","五雷急令·成法","五雷急令完成成法后，将“催雷”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i004_ultimate","MechanicConversion","Convert","count","5","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I005","照壳雷镜","candidate_core_i005_01","Core1","照壳雷镜·初识","照壳雷镜点亮后，“照壳”的基础候选效果获得第一层强化。","MechanicConversion","10","white","candidate_core_i005_01","MechanicConversion","Convert","basisPoint","3000","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I005","照壳雷镜","candidate_core_i005_02","Core2","照壳雷镜·承式","触发“照壳”后返还一部分节奏资源，并保留下一次触发条件。","MechanicConversion","20","green","candidate_core_i005_02","MechanicConversion","Convert","basisPoint","4000","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I005","照壳雷镜","candidate_core_i005_03","Core3","照壳雷镜·合脉","同属zhenlei法门的已点亮道具达到Build2时，“照壳”追加协同数值。","CoreEffect","30","blue","candidate_core_i005_03","CoreEffect","AddPercent","basisPoint","5000","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I005","照壳雷镜","candidate_core_i005_04","Core4","照壳雷镜·转机","“照壳”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i005_04","CoreEffect","ExtraTrigger","basisPoint","6000","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I005","照壳雷镜","candidate_core_i005_ultimate","Ultimate","照壳雷镜·成法","照壳雷镜完成成法后，将“照壳”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i005_ultimate","MechanicConversion","Convert","basisPoint","7000","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I006","天鼓槌","candidate_core_i006_01","Core1","天鼓槌·初识","天鼓槌点亮后，“天鼓”的基础候选效果获得第一层强化。","TriggeredEffect","10","white","candidate_core_i006_01","TriggeredEffect","ExtraTrigger","basisPoint","4000","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I006","天鼓槌","candidate_core_i006_02","Core2","天鼓槌·承式","触发“天鼓”后返还一部分节奏资源，并保留下一次触发条件。","TriggeredEffect","20","green","candidate_core_i006_02","TriggeredEffect","ExtraTrigger","basisPoint","5333","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I006","天鼓槌","candidate_core_i006_03","Core3","天鼓槌·合脉","同属zhenlei法门的已点亮道具达到Build2时，“天鼓”追加协同数值。","CoreEffect","30","blue","candidate_core_i006_03","CoreEffect","AddPercent","basisPoint","6666","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I006","天鼓槌","candidate_core_i006_04","Core4","天鼓槌·转机","“天鼓”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i006_04","CoreEffect","ExtraTrigger","basisPoint","7999","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I006","天鼓槌","candidate_core_i006_ultimate","Ultimate","天鼓槌·成法","天鼓槌完成成法后，将“天鼓”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i006_ultimate","MechanicConversion","Convert","basisPoint","9332","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I007","离火符","candidate_core_i007_01","Core1","离火符·初识","离火符点亮后，“燃符”的基础候选效果获得第一层强化。","TriggeredEffect","10","white","candidate_core_i007_01","TriggeredEffect","AddFlat","stack","1","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I007","离火符","candidate_core_i007_02","Core2","离火符·承式","触发“燃符”后返还一部分节奏资源，并保留下一次触发条件。","TriggeredEffect","20","green","candidate_core_i007_02","TriggeredEffect","AddFlat","stack","2","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I007","离火符","candidate_core_i007_03","Core3","离火符·合脉","同属lihuo法门的已点亮道具达到Build2时，“燃符”追加协同数值。","CoreEffect","30","blue","candidate_core_i007_03","CoreEffect","AddPercent","stack","3","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I007","离火符","candidate_core_i007_04","Core4","离火符·转机","“燃符”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i007_04","CoreEffect","ExtraTrigger","stack","4","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I007","离火符","candidate_core_i007_ultimate","Ultimate","离火符·成法","离火符完成成法后，将“燃符”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i007_ultimate","MechanicConversion","Convert","stack","5","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I008","焚邪长符","candidate_core_i008_01","Core1","焚邪长符·初识","焚邪长符点亮后，“焚邪”的基础候选效果获得第一层强化。","ConditionalModifier","10","white","candidate_core_i008_01","ConditionalModifier","AddPercent","basisPoint","350","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I008","焚邪长符","candidate_core_i008_02","Core2","焚邪长符·承式","触发“焚邪”后返还一部分节奏资源，并保留下一次触发条件。","ConditionalModifier","20","green","candidate_core_i008_02","ConditionalModifier","AddPercent","basisPoint","466","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I008","焚邪长符","candidate_core_i008_03","Core3","焚邪长符·合脉","同属lihuo法门的已点亮道具达到Build2时，“焚邪”追加协同数值。","CoreEffect","30","blue","candidate_core_i008_03","CoreEffect","AddPercent","basisPoint","582","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I008","焚邪长符","candidate_core_i008_04","Core4","焚邪长符·转机","“焚邪”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i008_04","CoreEffect","ExtraTrigger","basisPoint","698","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I008","焚邪长符","candidate_core_i008_ultimate","Ultimate","焚邪长符·成法","焚邪长符完成成法后，将“焚邪”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i008_ultimate","MechanicConversion","Convert","basisPoint","814","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I009","离火焚邪印","candidate_core_i009_01","Core1","离火焚邪印·初识","离火焚邪印点亮后，“落火”的基础候选效果获得第一层强化。","TriggeredEffect","10","white","candidate_core_i009_01","TriggeredEffect","ExtraTrigger","turn","1","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I009","离火焚邪印","candidate_core_i009_02","Core2","离火焚邪印·承式","触发“落火”后返还一部分节奏资源，并保留下一次触发条件。","TriggeredEffect","20","green","candidate_core_i009_02","TriggeredEffect","ExtraTrigger","turn","2","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I009","离火焚邪印","candidate_core_i009_03","Core3","离火焚邪印·合脉","同属lihuo法门的已点亮道具达到Build2时，“落火”追加协同数值。","CoreEffect","30","blue","candidate_core_i009_03","CoreEffect","AddPercent","turn","3","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I009","离火焚邪印","candidate_core_i009_04","Core4","离火焚邪印·转机","“落火”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i009_04","CoreEffect","ExtraTrigger","turn","4","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I009","离火焚邪印","candidate_core_i009_ultimate","Ultimate","离火焚邪印·成法","离火焚邪印完成成法后，将“落火”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i009_ultimate","MechanicConversion","Convert","turn","5","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I010","风火令旗","candidate_core_i010_01","Core1","风火令旗·初识","风火令旗点亮后，“风助”的基础候选效果获得第一层强化。","SpatialEffect","10","white","candidate_core_i010_01","SpatialEffect","ReduceFlat","point","1","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I010","风火令旗","candidate_core_i010_02","Core2","风火令旗·承式","触发“风助”后返还一部分节奏资源，并保留下一次触发条件。","SpatialEffect","20","green","candidate_core_i010_02","SpatialEffect","ReduceFlat","point","2","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I010","风火令旗","candidate_core_i010_03","Core3","风火令旗·合脉","同属lihuo法门的已点亮道具达到Build2时，“风助”追加协同数值。","CoreEffect","30","blue","candidate_core_i010_03","CoreEffect","AddPercent","point","3","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I010","风火令旗","candidate_core_i010_04","Core4","风火令旗·转机","“风助”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i010_04","CoreEffect","ExtraTrigger","point","4","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I010","风火令旗","candidate_core_i010_ultimate","Ultimate","风火令旗·成法","风火令旗完成成法后，将“风助”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i010_ultimate","MechanicConversion","Convert","point","5","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I011","照焚铜镜","candidate_core_i011_01","Core1","照焚铜镜·初识","照焚铜镜点亮后，“回光”的基础候选效果获得第一层强化。","MechanicConversion","10","white","candidate_core_i011_01","MechanicConversion","Convert","stack","1","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I011","照焚铜镜","candidate_core_i011_02","Core2","照焚铜镜·承式","触发“回光”后返还一部分节奏资源，并保留下一次触发条件。","MechanicConversion","20","green","candidate_core_i011_02","MechanicConversion","Convert","stack","2","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I011","照焚铜镜","candidate_core_i011_03","Core3","照焚铜镜·合脉","同属lihuo法门的已点亮道具达到Build2时，“回光”追加协同数值。","CoreEffect","30","blue","candidate_core_i011_03","CoreEffect","AddPercent","stack","3","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I011","照焚铜镜","candidate_core_i011_04","Core4","照焚铜镜·转机","“回光”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i011_04","CoreEffect","ExtraTrigger","stack","4","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I011","照焚铜镜","candidate_core_i011_ultimate","Ultimate","照焚铜镜·成法","照焚铜镜完成成法后，将“回光”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i011_ultimate","MechanicConversion","Convert","stack","5","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I012","长明灯","candidate_core_i012_01","Core1","长明灯·初识","长明灯点亮后，“长明”的基础候选效果获得第一层强化。","ResourceEffect","10","white","candidate_core_i012_01","ResourceEffect","ExtraTrigger","count","1","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I012","长明灯","candidate_core_i012_02","Core2","长明灯·承式","触发“长明”后返还一部分节奏资源，并保留下一次触发条件。","ResourceEffect","20","green","candidate_core_i012_02","ResourceEffect","ExtraTrigger","count","2","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I012","长明灯","candidate_core_i012_03","Core3","长明灯·合脉","同属lihuo法门的已点亮道具达到Build2时，“长明”追加协同数值。","CoreEffect","30","blue","candidate_core_i012_03","CoreEffect","AddPercent","count","3","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I012","长明灯","candidate_core_i012_04","Core4","长明灯·转机","“长明”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i012_04","CoreEffect","ExtraTrigger","count","4","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I012","长明灯","candidate_core_i012_ultimate","Ultimate","长明灯·成法","长明灯完成成法后，将“长明”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i012_ultimate","MechanicConversion","Convert","count","5","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I013","护身符","candidate_core_i013_01","Core1","护身符·初识","护身符点亮后，“护身”的基础候选效果获得第一层强化。","ConditionalModifier","10","white","candidate_core_i013_01","ConditionalModifier","AddFlat","flat","4","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I013","护身符","candidate_core_i013_02","Core2","护身符·承式","触发“护身”后返还一部分节奏资源，并保留下一次触发条件。","ConditionalModifier","20","green","candidate_core_i013_02","ConditionalModifier","AddFlat","flat","5","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I013","护身符","candidate_core_i013_03","Core3","护身符·合脉","同属zhongyue法门的已点亮道具达到Build2时，“护身”追加协同数值。","CoreEffect","30","blue","candidate_core_i013_03","CoreEffect","AddPercent","flat","6","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I013","护身符","candidate_core_i013_04","Core4","护身符·转机","“护身”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i013_04","CoreEffect","ExtraTrigger","flat","7","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I013","护身符","candidate_core_i013_ultimate","Ultimate","护身符·成法","护身符完成成法后，将“护身”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i013_ultimate","MechanicConversion","Convert","flat","8","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I014","镇宅长符","candidate_core_i014_01","Core1","镇宅长符·初识","镇宅长符点亮后，“镇宅”的基础候选效果获得第一层强化。","SpatialEffect","10","white","candidate_core_i014_01","SpatialEffect","AddPercent","basisPoint","400","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I014","镇宅长符","candidate_core_i014_02","Core2","镇宅长符·承式","触发“镇宅”后返还一部分节奏资源，并保留下一次触发条件。","SpatialEffect","20","green","candidate_core_i014_02","SpatialEffect","AddPercent","basisPoint","533","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I014","镇宅长符","candidate_core_i014_03","Core3","镇宅长符·合脉","同属zhongyue法门的已点亮道具达到Build2时，“镇宅”追加协同数值。","CoreEffect","30","blue","candidate_core_i014_03","CoreEffect","AddPercent","basisPoint","666","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I014","镇宅长符","candidate_core_i014_04","Core4","镇宅长符·转机","“镇宅”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i014_04","CoreEffect","ExtraTrigger","basisPoint","799","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I014","镇宅长符","candidate_core_i014_ultimate","Ultimate","镇宅长符·成法","镇宅长符完成成法后，将“镇宅”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i014_ultimate","MechanicConversion","Convert","basisPoint","932","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I015","中岳镇守章","candidate_core_i015_01","Core1","中岳镇守章·初识","中岳镇守章点亮后，“镇守”的基础候选效果获得第一层强化。","ResourceEffect","10","white","candidate_core_i015_01","ResourceEffect","AddFlat","flat","8","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I015","中岳镇守章","candidate_core_i015_02","Core2","中岳镇守章·承式","触发“镇守”后返还一部分节奏资源，并保留下一次触发条件。","ResourceEffect","20","green","candidate_core_i015_02","ResourceEffect","AddFlat","flat","10","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I015","中岳镇守章","candidate_core_i015_03","Core3","中岳镇守章·合脉","同属zhongyue法门的已点亮道具达到Build2时，“镇守”追加协同数值。","CoreEffect","30","blue","candidate_core_i015_03","CoreEffect","AddPercent","flat","12","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I015","中岳镇守章","candidate_core_i015_04","Core4","中岳镇守章·转机","“镇守”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i015_04","CoreEffect","ExtraTrigger","flat","14","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I015","中岳镇守章","candidate_core_i015_ultimate","Ultimate","中岳镇守章·成法","中岳镇守章完成成法后，将“镇守”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i015_ultimate","MechanicConversion","Convert","flat","16","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I016","护坛令旗","candidate_core_i016_01","Core1","护坛令旗·初识","护坛令旗点亮后，“护坛”的基础候选效果获得第一层强化。","TradeoffEffect","10","white","candidate_core_i016_01","TradeoffEffect","Convert","basisPoint","2000","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I016","护坛令旗","candidate_core_i016_02","Core2","护坛令旗·承式","触发“护坛”后返还一部分节奏资源，并保留下一次触发条件。","TradeoffEffect","20","green","candidate_core_i016_02","TradeoffEffect","Convert","basisPoint","2666","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I016","护坛令旗","candidate_core_i016_03","Core3","护坛令旗·合脉","同属zhongyue法门的已点亮道具达到Build2时，“护坛”追加协同数值。","CoreEffect","30","blue","candidate_core_i016_03","CoreEffect","AddPercent","basisPoint","3332","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I016","护坛令旗","candidate_core_i016_04","Core4","护坛令旗·转机","“护坛”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i016_04","CoreEffect","ExtraTrigger","basisPoint","3998","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I016","护坛令旗","candidate_core_i016_ultimate","Ultimate","护坛令旗·成法","护坛令旗完成成法后，将“护坛”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i016_ultimate","MechanicConversion","Convert","basisPoint","4664","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
