"evidenceRowId","surveyRowId","sourceCarrierId","sourceKind","sourceTextExact","sourceCommitmentExact","primaryClassification","matchedE02Category","matchedE02StableKeys","bindingStatus","runtimeImplemented","semanticComparison","evidenceSource","evidenceConfidence","notesDeveloperOnly"
"E02-EVID-011","REUSE-011","bone_aspect_enemy_c1_01_shattered_host","P1_E02_CANDIDATE_REFERENCE","mechanic.polluted_tile","基础攻击、附身状态、死亡后短暂骨粉区域","EXACT_E02_REUSE","Mechanic","mechanic.polluted_tile","CandidateReuseOnly","false","已验收 E02「污染格」定义为「敌方或环境污染可摆放格并限制阵盘空间。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=11","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-012","REUSE-012","bone_aspect_enemy_c1_02_porcelain_hound","P1_E02_CANDIDATE_REFERENCE","mechanic.layered_shield","骨瓷护壳、冲撞、破壳后短暂虚弱","EXACT_E02_REUSE","Mechanic","mechanic.layered_shield","CandidateReuseOnly","false","已验收 E02「层叠护盾」定义为「敌方以可重复叠加或恢复的护盾层制造压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=12","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-013","REUSE-013","bone_aspect_enemy_c1_02_porcelain_hound","P1_E02_CANDIDATE_REFERENCE","counter_window.shell_break","骨瓷护壳、冲撞、破壳后短暂虚弱","EXACT_E02_REUSE","CounterWindowType","counter_window.shell_break","CandidateReuseOnly","false","已验收 E02「破壳后虚弱」定义为「成功破除护壳后出现的虚弱窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=13","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-014","REUSE-014","bone_aspect_enemy_c1_03_bone_swap_remnant","P1_E02_CANDIDATE_REFERENCE","mechanic.basic_pressure","状态叠加、低血量分裂、复制一种简单能力","EXACT_E02_REUSE","Mechanic","mechanic.basic_pressure","CandidateReuseOnly","false","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=14","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-015","REUSE-015","bone_aspect_enemy_c1_03_bone_swap_remnant","P1_E02_CANDIDATE_REFERENCE","mechanic.swarm_summon","状态叠加、低血量分裂、复制一种简单能力","EXACT_E02_REUSE","Mechanic","mechanic.swarm_summon","CandidateReuseOnly","false","已验收 E02「群怪与召唤」定义为「敌方通过多目标、增援或召唤物扩大场面压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=15","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-016","REUSE-016","bone_aspect_enemy_c2_01_false_identity_bone","P1_E02_CANDIDATE_REFERENCE","mechanic.basic_pressure","制造错误目标、交换真假位置、识破后快速失去防御","EXACT_E02_REUSE","Mechanic","mechanic.basic_pressure","CandidateReuseOnly","false","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=16","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-017","REUSE-017","bone_aspect_enemy_c2_01_false_identity_bone","P1_E02_CANDIDATE_REFERENCE","counter_window.cleanse_reveal","制造错误目标、交换真假位置、识破后快速失去防御","EXACT_E02_REUSE","CounterWindowType","counter_window.cleanse_reveal","CandidateReuseOnly","false","已验收 E02「净化后显形」定义为「完成净化反制后出现的显形窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=17","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-018","REUSE-018","bone_aspect_enemy_c2_02_contract_clerk","P1_E02_CANDIDATE_REFERENCE","mechanic.long_cast","封招、读条、打断玩家一个效果","EXACT_E02_REUSE","Mechanic","mechanic.long_cast","CandidateReuseOnly","false","已验收 E02「长读条施法」定义为「敌方通过可观察的长读条准备关键技能。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=18","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-019","REUSE-019","bone_aspect_enemy_c2_02_contract_clerk","P1_E02_CANDIDATE_REFERENCE","mechanic.talisman_seal","封招、读条、打断玩家一个效果","EXACT_E02_REUSE","Mechanic","mechanic.talisman_seal","CandidateReuseOnly","false","已验收 E02「封符」定义为「敌方压制或暂时封锁符箓触发。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=19","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-020","REUSE-020","bone_aspect_enemy_c2_02_contract_clerk","P1_E02_CANDIDATE_REFERENCE","counter_window.interrupt_stagger","封招、读条、打断玩家一个效果","EXACT_E02_REUSE","CounterWindowType","counter_window.interrupt_stagger","CandidateReuseOnly","false","已验收 E02「打断后僵直」定义为「成功打断施法后出现的僵直窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=20","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-021","REUSE-021","bone_aspect_enemy_c2_03_bone_bidder","P1_E02_CANDIDATE_REFERENCE","pressure.multi_target","多目标竞争、抢夺增益、争抢出价标记","EXACT_E02_REUSE","PressureChannel","pressure.multi_target","CandidateReuseOnly","false","已验收 E02「多目标压力」定义为「战斗压力主要来自多目标、增援或召唤物。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=21","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-022","REUSE-022","bone_aspect_enemy_c3_01_array_stone_puppet","P1_E02_CANDIDATE_REFERENCE","mechanic.layered_shield","高护盾、减伤、破盾后核心暴露","EXACT_E02_REUSE","Mechanic","mechanic.layered_shield","CandidateReuseOnly","false","已验收 E02「层叠护盾」定义为「敌方以可重复叠加或恢复的护盾层制造压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=22","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-023","REUSE-023","bone_aspect_enemy_c3_01_array_stone_puppet","P1_E02_CANDIDATE_REFERENCE","counter_window.shell_break","高护盾、减伤、破盾后核心暴露","EXACT_E02_REUSE","CounterWindowType","counter_window.shell_break","CandidateReuseOnly","false","已验收 E02「破壳后虚弱」定义为「成功破除护壳后出现的虚弱窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=23","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-024","REUSE-024","bone_aspect_enemy_c3_02_old_edict_shadow","P1_E02_CANDIDATE_REFERENCE","mechanic.long_cast","打断、压制、限制技能触发","EXACT_E02_REUSE","Mechanic","mechanic.long_cast","CandidateReuseOnly","false","已验收 E02「长读条施法」定义为「敌方通过可观察的长读条准备关键技能。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=24","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-025","REUSE-025","bone_aspect_enemy_c3_02_old_edict_shadow","P1_E02_CANDIDATE_REFERENCE","mechanic.talisman_seal","打断、压制、限制技能触发","EXACT_E02_REUSE","Mechanic","mechanic.talisman_seal","CandidateReuseOnly","false","已验收 E02「封符」定义为「敌方压制或暂时封锁符箓触发。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=25","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-026","REUSE-026","bone_aspect_enemy_c3_02_old_edict_shadow","P1_E02_CANDIDATE_REFERENCE","counter_window.interrupt_stagger","打断、压制、限制技能触发","EXACT_E02_REUSE","CounterWindowType","counter_window.interrupt_stagger","CandidateReuseOnly","false","已验收 E02「打断后僵直」定义为「成功打断施法后出现的僵直窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=26","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-027","REUSE-027","bone_aspect_enemy_c3_03_bone_dust_effigy","P1_E02_CANDIDATE_REFERENCE","mechanic.basic_pressure","偷念、复制、短暂模仿玩家一个效果","EXACT_E02_REUSE","Mechanic","mechanic.basic_pressure","CandidateReuseOnly","false","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=27","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-028","REUSE-028","bone_aspect_enemy_c4_01_faceless_bone_figure","P1_E02_CANDIDATE_REFERENCE","mechanic.polluted_tile","成群压迫、数量优势、死亡后短暂骨纹区域","EXACT_E02_REUSE","Mechanic","mechanic.polluted_tile","CandidateReuseOnly","false","已验收 E02「污染格」定义为「敌方或环境污染可摆放格并限制阵盘空间。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=28","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-029","REUSE-029","bone_aspect_enemy_c4_01_faceless_bone_figure","P1_E02_CANDIDATE_REFERENCE","mechanic.swarm_summon","成群压迫、数量优势、死亡后短暂骨纹区域","EXACT_E02_REUSE","Mechanic","mechanic.swarm_summon","CandidateReuseOnly","false","已验收 E02「群怪与召唤」定义为「敌方通过多目标、增援或召唤物扩大场面压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=29","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-030","REUSE-030","bone_aspect_enemy_c4_02_contract_attendant","P1_E02_CANDIDATE_REFERENCE","mechanic.long_cast","封存道具效果、锁定一个器类、持续读契","EXACT_E02_REUSE","Mechanic","mechanic.long_cast","CandidateReuseOnly","false","已验收 E02「长读条施法」定义为「敌方通过可观察的长读条准备关键技能。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=30","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-031","REUSE-031","bone_aspect_enemy_c4_02_contract_attendant","P1_E02_CANDIDATE_REFERENCE","mechanic.talisman_seal","封存道具效果、锁定一个器类、持续读契","EXACT_E02_REUSE","Mechanic","mechanic.talisman_seal","CandidateReuseOnly","false","已验收 E02「封符」定义为「敌方压制或暂时封锁符箓触发。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=31","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-032","REUSE-032","bone_aspect_enemy_c4_02_contract_attendant","P1_E02_CANDIDATE_REFERENCE","counter_window.interrupt_stagger","封存道具效果、锁定一个器类、持续读契","EXACT_E02_REUSE","CounterWindowType","counter_window.interrupt_stagger","CandidateReuseOnly","false","已验收 E02「打断后僵直」定义为「成功打断施法后出现的僵直窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=32","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-033","REUSE-033","bone_aspect_enemy_c4_03_false_celestial_form","P1_E02_CANDIDATE_REFERENCE","mechanic.basic_pressure","复合法门攻击、切换两种属性、预演最终 Boss 机制","EXACT_E02_REUSE","Mechanic","mechanic.basic_pressure","CandidateReuseOnly","false","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=33","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-034","REUSE-034","bone_aspect_enemy_c4_03_false_celestial_form","P1_E02_CANDIDATE_REFERENCE","mechanic.burst_spike","复合法门攻击、切换两种属性、预演最终 Boss 机制","EXACT_E02_REUSE","Mechanic","mechanic.burst_spike","CandidateReuseOnly","false","已验收 E02「高爆发」定义为「敌方在短时间内制造显著承伤峰值。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=34","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-035","GAP-004","bone_aspect_enemy_c1_02_porcelain_hound","P0_NEW_MECHANIC_GAP_OCCURRENCE","破壳后短暂虚弱","骨瓷护壳、冲撞、破壳后短暂虚弱","EXACT_E02_REUSE","CounterWindowType","counter_window.shell_break","SurveyMatchOnly","false","counter_window.shell_break 的已验收语义就是破壳后出现短暂虚弱窗口。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c1_02_porcelain_hound;atomic-ordinal=2","HIGH","Additional GAP match only; P1 source file unchanged."
"E02-EVID-036","GAP-011","bone_aspect_enemy_c2_02_contract_clerk","P0_NEW_MECHANIC_GAP_OCCURRENCE","封招","封招、读条、打断玩家一个效果","EXACT_E02_REUSE","Mechanic","mechanic.talisman_seal","SurveyMatchOnly","false","mechanic.talisman_seal 已定义暂时封锁符箓触发，精确覆盖“封招”的抽象现象。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c2_02_contract_clerk;atomic-ordinal=1","HIGH","Additional GAP match only; P1 source file unchanged."
"E02-EVID-037","GAP-013","bone_aspect_enemy_c2_03_bone_bidder","P0_NEW_MECHANIC_GAP_OCCURRENCE","多目标竞争","多目标竞争、抢夺增益、争抢出价标记","EXACT_E02_REUSE","PressureChannel","pressure.multi_target","SurveyMatchOnly","false","pressure.multi_target 的已验收语义直接覆盖多目标竞争压力。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c2_03_bone_bidder;atomic-ordinal=1","HIGH","Additional GAP match only; P1 source file unchanged."
"E02-EVID-038","GAP-017","bone_aspect_enemy_c3_01_array_stone_puppet","P0_NEW_MECHANIC_GAP_OCCURRENCE","破盾后核心暴露","高护盾、减伤、破盾后核心暴露","EXACT_E02_REUSE","CounterWindowType","counter_window.shell_break","SurveyMatchOnly","false","counter_window.shell_break 精确覆盖破盾后核心暴露/虚弱窗口。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c3_01_array_stone_puppet;atomic-ordinal=2","HIGH","Additional GAP match only; P1 source file unchanged."
"E02-EVID-039","GAP-019","bone_aspect_enemy_c3_02_old_edict_shadow","P0_NEW_MECHANIC_GAP_OCCURRENCE","压制","打断、压制、限制技能触发","COMPOSED_FROM_EXISTING_E02","Mechanic;PressureChannel","mechanic.talisman_seal;pressure.seal_control","SurveyMatchOnly","false","mechanic.talisman_seal 表达封锁触发，pressure.seal_control 表达控制压力；组合即可覆盖一般“压制”，无需新增原子 key。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c3_02_old_edict_shadow;atomic-ordinal=2","HIGH","Additional GAP match only; P1 source file unchanged."
"E02-EVID-040","GAP-020","bone_aspect_enemy_c3_02_old_edict_shadow","P0_NEW_MECHANIC_GAP_OCCURRENCE","限制技能触发","打断、压制、限制技能触发","EXACT_E02_REUSE","Mechanic","mechanic.talisman_seal","SurveyMatchOnly","false","mechanic.talisman_seal 精确描述符箓/技能触发暂时受限。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c3_02_old_edict_shadow;atomic-ordinal=3","HIGH","Additional GAP match only; P1 source file unchanged."
"E02-EVID-041","GAP-021","bone_aspect_enemy_c3_03_bone_dust_effigy","P0_NEW_MECHANIC_GAP_OCCURRENCE","偷念","偷念、复制、短暂模仿玩家一个效果","EXACT_E02_REUSE","Mechanic","mechanic.energy_drain","SurveyMatchOnly","false","已验收 E02 mechanic.energy_drain 精确表达“偷念”作为资源削减、窃取或切断的机制意图；它不回答 BA-D3 的 Copy 范围，也不执行任何资源变更。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c3_03_bone_dust_effigy;atomic-ordinal=1","HIGH","sourceDecisionIds=BA-D3 仅约束同 Carrier 的“复制”“短暂模仿玩家一个效果”等 Copy/模仿原子项；资源身份与实际增减仍由既有 Player/Battle Resource Owner 执行。"
"E02-EVID-042","GAP-024","bone_aspect_enemy_c4_01_faceless_bone_figure","P0_NEW_MECHANIC_GAP_OCCURRENCE","数量优势","成群压迫、数量优势、死亡后短暂骨纹区域","EXACT_E02_REUSE","PressureChannel","pressure.multi_target","SurveyMatchOnly","false","pressure.multi_target 精确表达由数量优势产生的多目标压力。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c4_01_faceless_bone_figure;atomic-ordinal=1","HIGH","Additional GAP match only; P1 source file unchanged."
"E02-EVID-043","GAP-028","bone_aspect_enemy_c4_02_contract_attendant","P0_NEW_MECHANIC_GAP_OCCURRENCE","持续读契","封存道具效果、锁定一个器类、持续读契","EXACT_E02_REUSE","Mechanic","mechanic.long_cast","SurveyMatchOnly","false","mechanic.long_cast 精确覆盖可观察的持续读契/长读条现象。","Docs/V0.4/Reports/BoneAspectMechanicCommitmentMatrix.csv#contentId=bone_aspect_enemy_c4_02_contract_attendant;atomic-ordinal=3","HIGH","Additional GAP match only; P1 source file unchanged."
