caseId,category,expected,actual,validationCode,result
"early-stage-profile-injection","early-stage","EARLY_STAGE_RARITY_PROFILE_FORBIDDEN","EARLY_STAGE_RARITY_PROFILE_FORBIDDEN","EARLY_STAGE_RARITY_PROFILE_FORBIDDEN","PASS"
"stage11-no-profile","rarity","RARITY_POLICY_UNRESOLVED","RARITY_POLICY_UNRESOLVED","RARITY_POLICY_UNRESOLVED","PASS"
"stage11-output-from-profile","rarity","true","true","NONE","PASS"
"stage11-higher-build-profile-matched","build","true","true","NONE","PASS"
"stage11-green-uses-green-build-profile","build","true","true","NONE","PASS"
"stage11-green-build-profile-missing","build","BUILD_ROLL_PROFILE_MISSING","BUILD_ROLL_PROFILE_MISSING","BUILD_ROLL_PROFILE_MISSING","PASS"
"stage11-green-build-profile-duplicate","build","BUILD_ROLL_PROFILE_DUPLICATE","BUILD_ROLL_PROFILE_DUPLICATE","BUILD_ROLL_PROFILE_DUPLICATE","PASS"
"request-null","request","REQUEST_NULL","REQUEST_NULL","REQUEST_NULL","PASS"
"drop-request-id-empty","request","DROP_REQUEST_ID_EMPTY","DROP_REQUEST_ID_EMPTY","DROP_REQUEST_ID_EMPTY","PASS"
"item-instance-id-empty","request","ITEM_INSTANCE_ID_EMPTY","ITEM_INSTANCE_ID_EMPTY","ITEM_INSTANCE_ID_EMPTY","PASS"
"generation-version-unsupported","request","GENERATION_VERSION_UNSUPPORTED","GENERATION_VERSION_UNSUPPORTED","GENERATION_VERSION_UNSUPPORTED","PASS"
"generation-status-invalid","isolation","GENERATION_DATA_STATUS_INVALID","GENERATION_DATA_STATUS_INVALID","GENERATION_DATA_STATUS_INVALID","PASS"
"foundation-null","foundation","FOUNDATION_NULL","FOUNDATION_NULL","FOUNDATION_NULL","PASS"
"foundation-invalid","foundation","FOUNDATION_INVALID","FOUNDATION_INVALID","FOUNDATION_INVALID","PASS"
"source-null","source","SOURCE_CONTEXT_NULL","SOURCE_CONTEXT_NULL","SOURCE_CONTEXT_NULL","PASS"
"source-context-id-empty","source","SOURCE_CONTEXT_ID_EMPTY","SOURCE_CONTEXT_ID_EMPTY","SOURCE_CONTEXT_ID_EMPTY","PASS"
"source-key-empty","source","SOURCE_KEY_EMPTY","SOURCE_KEY_EMPTY","SOURCE_KEY_EMPTY","PASS"
"stage-number-invalid","source","STAGE_NUMBER_INVALID","STAGE_NUMBER_INVALID","STAGE_NUMBER_INVALID","PASS"
"source-status-invalid","source","SOURCE_CONTEXT_DATA_STATUS_INVALID","SOURCE_CONTEXT_DATA_STATUS_INVALID","SOURCE_CONTEXT_DATA_STATUS_INVALID","PASS"
"candidate-pool-null","candidate","CANDIDATE_POOL_NULL","CANDIDATE_POOL_NULL","CANDIDATE_POOL_NULL","PASS"
"candidate-pool-id-mismatch","candidate","CANDIDATE_POOL_ID_MISMATCH","CANDIDATE_POOL_ID_MISMATCH","CANDIDATE_POOL_ID_MISMATCH","PASS"
"candidate-pool-status-invalid","candidate","CANDIDATE_POOL_DATA_STATUS_INVALID","CANDIDATE_POOL_DATA_STATUS_INVALID","CANDIDATE_POOL_DATA_STATUS_INVALID","PASS"
"candidate-pool-empty","candidate","CANDIDATE_POOL_EMPTY","CANDIDATE_POOL_EMPTY","CANDIDATE_POOL_EMPTY","PASS"
"candidate-null-entry","candidate","CANDIDATE_BASE_ITEM_EMPTY","CANDIDATE_BASE_ITEM_EMPTY","CANDIDATE_BASE_ITEM_EMPTY","PASS"
"candidate-empty-id","candidate","CANDIDATE_BASE_ITEM_EMPTY","CANDIDATE_BASE_ITEM_EMPTY","CANDIDATE_BASE_ITEM_EMPTY","PASS"
"candidate-i031","candidate","I031_FORBIDDEN","I031_FORBIDDEN","I031_FORBIDDEN","PASS"
"candidate-i999","candidate","CANDIDATE_BASE_ITEM_UNKNOWN","CANDIDATE_BASE_ITEM_UNKNOWN","CANDIDATE_BASE_ITEM_UNKNOWN","PASS"
"candidate-duplicate","candidate","CANDIDATE_DUPLICATE","CANDIDATE_DUPLICATE","CANDIDATE_DUPLICATE","PASS"
"candidate-zero-weight","candidate","CANDIDATE_WEIGHT_INVALID","CANDIDATE_WEIGHT_INVALID","CANDIDATE_WEIGHT_INVALID","PASS"
"candidate-negative-weight","candidate","CANDIDATE_WEIGHT_INVALID","CANDIDATE_WEIGHT_INVALID","CANDIDATE_WEIGHT_INVALID","PASS"
"candidate-weight-overflow","candidate","CANDIDATE_WEIGHT_SUM_OVERFLOW","CANDIDATE_WEIGHT_SUM_OVERFLOW","CANDIDATE_WEIGHT_SUM_OVERFLOW","PASS"
"rarity-profile-id-mismatch","rarity","RARITY_PROFILE_ID_MISMATCH","RARITY_PROFILE_ID_MISMATCH","RARITY_PROFILE_ID_MISMATCH","PASS"
"rarity-profile-status-invalid","rarity","RARITY_PROFILE_DATA_STATUS_INVALID","RARITY_PROFILE_DATA_STATUS_INVALID","RARITY_PROFILE_DATA_STATUS_INVALID","PASS"
"rarity-profile-empty","rarity","RARITY_ENTRY_INVALID","RARITY_ENTRY_INVALID","RARITY_ENTRY_INVALID","PASS"
"rarity-null-entry","rarity","RARITY_ENTRY_INVALID","RARITY_ENTRY_INVALID","RARITY_ENTRY_INVALID","PASS"
"rarity-duplicate","rarity","RARITY_ENTRY_DUPLICATE","RARITY_ENTRY_DUPLICATE","RARITY_ENTRY_DUPLICATE","PASS"
"rarity-illegal-enum","rarity","RARITY_ENTRY_INVALID","RARITY_ENTRY_INVALID","RARITY_ENTRY_INVALID","PASS"
"rarity-zero-weight","rarity","RARITY_WEIGHT_INVALID","RARITY_WEIGHT_INVALID","RARITY_WEIGHT_INVALID","PASS"
"rarity-negative-weight","rarity","RARITY_WEIGHT_INVALID","RARITY_WEIGHT_INVALID","RARITY_WEIGHT_INVALID","PASS"
"rarity-weight-overflow","rarity","RARITY_WEIGHT_SUM_OVERFLOW","RARITY_WEIGHT_SUM_OVERFLOW","RARITY_WEIGHT_SUM_OVERFLOW","PASS"
"default-formal-empty-data-cannot-generate","isolation","CORE_PROFILE_MISSING","CORE_PROFILE_MISSING","CORE_PROFILE_MISSING","PASS"
"instance-roll-failure","failure","INSTANCE_ROLL_FAILED","INSTANCE_ROLL_FAILED","INSTANCE_ROLL_FAILED","PASS"
"failure-never-returns-partial-snapshot","failure","true","true","NONE","PASS"
"same-input-repeat-1000","determinism","true","true","NONE","PASS"
"candidate-input-reversal-stable","determinism","true","true","NONE","PASS"
"rarity-input-reversal-stable","determinism","true","true","NONE","PASS"
"build-profile-input-reversal-stable","determinism","true","true","NONE","PASS"
"instance-id-separates-instance-domain","determinism","true","true","NONE","PASS"
"drop-request-id-separates-drop-domain","determinism","true","true","NONE","PASS"
"root-seed-edge--9223372036854775808","determinism","true","true","NONE","PASS"
"root-seed-edge-0","determinism","true","true","NONE","PASS"
"root-seed-edge-9223372036854775807","determinism","true","true","NONE","PASS"
"candidate-collection-readonly","readonly","true","true","NONE","PASS"
"rarity-collection-readonly","readonly","true","true","NONE","PASS"
"build-profile-collection-readonly","readonly","true","true","NONE","PASS"
"validation-errors-readonly","readonly","true","true","NONE","PASS"
"snapshot-properties-get-only","readonly","true","true","NONE","PASS"
"source-mutation-does-not-change-request","readonly","true","true","NONE","PASS"
"forbidden-output-fields-absent","contract","true","true","NONE","PASS"
