checkId,area,expected,actual,status,notes
"canonical-format","canonical","sha256: + 64 lowercase hex","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833",PASS,"Signature exposes its deterministic algorithm."
"canonical-repeat","canonical","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833",PASS,"Repeated evaluation is stable."
"canonical-input-order-independent","canonical","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833",PASS,"Entry, mapping, and target input order does not affect the signature."
"canonical-content-sensitive","canonical","Different content changes signature","sha256:9f1bf6c64bbaf20c22896f076b5cbafac60d510df4ed85bf338d75f5c08e75a2",PASS,"Vocabulary content changes remain detectable."
"legacy-inventory-count","legacy","124","124",PASS,"Every inventoried old source key has one mapping or explicit OUT_OF_SCOPE record."
"legacy-inventory-resolved-status","legacy","mapped + out-of-scope = total","102+22",PASS,"No unresolved status exists in the delivered inventory."
"legacy-targets-resolve","legacy","All canonical targets resolve ordinally","all resolved",PASS,"Legacy mappings never rely on case-insensitive or trimmed lookup."
"legacy-one-to-many-preserved","legacy","> 0","46",PASS,"Composite legacy labels can decompose into multiple stable primitives."
"legacy-source-token-traceability","legacy","Every legacy key appears in its declared read-only source","all traced",PASS,"The mapping inventory is traceable to the three inspected legacy source files."
"legacy-field-aliases-documented","legacy","Actual fields pressureType/hardSolutionTags/softSolutionTags retained","documented",PASS,"Assignment semantic aliases do not rewrite or misname existing source fields."
"uppercase-key-detected","validation","STABLE_KEY_FORMAT_INVALID","STABLE_KEY_FORMAT_INVALID",PASS,"Validator and provider both reject the invalid fixture."
"prefix-mismatch-detected","validation","STABLE_KEY_PREFIX_MISMATCH","STABLE_KEY_PREFIX_MISMATCH",PASS,"Validator and provider both reject the invalid fixture."
"duplicate-stable-key-detected","validation","STABLE_KEY_DUPLICATE","STABLE_KEY_DUPLICATE",PASS,"Validator and provider both reject the invalid fixture."
"cross-category-key-collision-detected","validation","STABLE_KEY_CATEGORY_COLLISION","STABLE_KEY_CATEGORY_COLLISION|STABLE_KEY_PREFIX_MISMATCH",PASS,"Validator and provider both reject the invalid fixture."
"duplicate-legacy-source-detected","validation","LEGACY_SOURCE_DUPLICATE","LEGACY_SOURCE_DUPLICATE",PASS,"Validator and provider both reject the invalid fixture."
"unresolved-legacy-target-detected","validation","LEGACY_TARGET_UNRESOLVED","LEGACY_TARGET_UNRESOLVED",PASS,"Validator and provider both reject the invalid fixture."
"mapped-without-target-detected","validation","LEGACY_MAPPED_WITHOUT_TARGET","LEGACY_MAPPED_WITHOUT_TARGET",PASS,"Validator and provider both reject the invalid fixture."
"out-of-scope-target-detected","validation","LEGACY_OUT_OF_SCOPE_WITH_TARGET","LEGACY_OUT_OF_SCOPE_WITH_TARGET",PASS,"Validator and provider both reject the invalid fixture."
"player-answer-leak-detected","validation","PLAYER_HINT_ANSWER_LEAK","PLAYER_HINT_ANSWER_LEAK",PASS,"Validator and provider both reject the invalid fixture."
"pure-csharp-runtime-sources","leak","No UnityEngine/MonoBehaviour/ScriptableObject","0 matches",PASS,"Vocabulary runtime sources are plain C# data code."
"forbidden-system-dependencies","leak","No BuildSandbox/Battle/Board/Item/RunFlow/Reward/Save dependency","0 matches",PASS,"Enemy vocabulary does not consume runtime implementations from protected systems."
"no-chapter-hardcoding","leak","No chapter IDs","0 matches",PASS,"Vocabulary is not bound to specific content entries or chapters."
"player-category-no-answer-fields","leak","0 answer-bearing public fields","0",PASS,"Player hints expose categories and descriptive metadata only."
"e01-protected-hashes","scope","6/6 byte-identical","6/6 unchanged",PASS,"E01 Domain/Contracts/verifier files remain byte-identical to the recorded pre-development baseline."
"package-path-whitelist","scope","Every package file is assignment-whitelisted","all allowed",PASS,"Package owns only new Vocabulary, verifier, meta, and named report files."
"package-assets-and-meta-exist","scope","All new source and corresponding meta files exist","all present",PASS,"Unity assets have explicit stable meta files."
"scene-prefab-config-manifest","scope","Scene=0; Prefab=0; Config=0","0/0/0",PASS,"No scene, prefab, or config is part of E02."
"battle-board-item-manifest","scope","Battle=0; Board=0; Item=0","0/0/0",PASS,"Only Enemy vocabulary data and verification outputs are declared."
