englishStableKey,chineseDisplayName,category,reuseChannel,reuseSurface,playerChineseText,atmosphereChinese,sourceDataPath,developerDataPanelFieldKey,playerVisible,maskedFromPlayer,developerPanelVisible,canWriteFormalUi,createsDedicatedPanel,exposesFullAnswerToPlayer
failureFeedback.hint_boss_black_shell,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【黑炉护壳未破】先补 破盾能力，再补短窗爆发和供能稳定。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_boss_dirty_mother,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【净厄反制不足】补 净厄能力，并用控制或护阵拖过污染扩散。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_boss_spirit_core,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【供能链被偷灵切断】补 供能稳定，再用镇魂打断蓄力窗口。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_boss_bronze_general,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【护阵挡不住敲阵】补 护阵承伤，并把核心符箓摆回阵眼保护位。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_boss_paper_faces,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【召唤物清不完】补 清场能力 和连锁词条，再用控制压住复制节奏。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_boss_complex_eye,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【综合钥匙缺口】毕业检查需要同时覆盖破盾、净化、控制、护阵、供能、清场和爆发。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_boss_complex_eye_energy,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【毕业供能不稳】先补完整供能回路，再补其他短板。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
weaknessWindow.weak_black_shell_break_3,弱点窗口反馈,weaknessWindow,DamageFeedback,Damage feedback / floating combat text rhythm,【黑炉护壳师】露出破绽时，战斗反馈只提示窗口已开和该抓时机，不显示触发公式。,弱点窗口用伤害反馈的短促节奏表现。,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,True,False,True,False,False,False
weaknessWindow.weak_dirty_mother_cleanse_3,弱点窗口反馈,weaknessWindow,DamageFeedback,Damage feedback / floating combat text rhythm,【秽签梦母】露出破绽时，战斗反馈只提示窗口已开和该抓时机，不显示触发公式。,弱点窗口用伤害反馈的短促节奏表现。,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,True,False,True,False,False,False
weaknessWindow.weak_spirit_core_interrupt,弱点窗口反馈,weaknessWindow,DamageFeedback,Damage feedback / floating combat text rhythm,【偷灵炉心】露出破绽时，战斗反馈只提示窗口已开和该抓时机，不显示触发公式。,弱点窗口用伤害反馈的短促节奏表现。,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,True,False,True,False,False,False
weaknessWindow.weak_bronze_general_counter,弱点窗口反馈,weaknessWindow,DamageFeedback,Damage feedback / floating combat text rhythm,【叩阵铜将】露出破绽时，战斗反馈只提示窗口已开和该抓时机，不显示触发公式。,弱点窗口用伤害反馈的短促节奏表现。,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,True,False,True,False,False,False
weaknessWindow.weak_paper_faces_clear_all,弱点窗口反馈,weaknessWindow,DamageFeedback,Damage feedback / floating combat text rhythm,【纸人千面阵】露出破绽时，战斗反馈只提示窗口已开和该抓时机，不显示触发公式。,弱点窗口用伤害反馈的短促节奏表现。,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,True,False,True,False,False,False
weaknessWindow.weak_complex_eye_counter_loop,弱点窗口反馈,weaknessWindow,DamageFeedback,Damage feedback / floating combat text rhythm,【黑炉复合阵眼】露出破绽时，战斗反馈只提示窗口已开和该抓时机，不显示触发公式。,弱点窗口用伤害反馈的短促节奏表现。,BuildProblemSeedDataset.bossProblems.weaknessWindows,bossSixKeyFullAnswer,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_black_furnace_shell_01,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【黑炉破壳倾向一】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_black_furnace_shell_02,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【黑炉破壳倾向二】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_black_furnace_shell_03,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【黑炉破壳倾向三】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_dirty_dream_mother_01,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【秽签净化倾向一】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_dirty_dream_mother_02,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【秽签反制倾向二】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_dirty_dream_mother_03,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【秽签护阵倾向三】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_spirit_core_01,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【偷灵供能倾向一】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_spirit_core_02,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【偷灵镇魂倾向二】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_spirit_core_03,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【偷灵爆发倾向三】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_bronze_general_01,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【铜将护阵倾向一】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_bronze_general_02,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【铜将形态倾向二】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_bronze_general_03,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【铜将供能倾向三】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_paper_faces_01,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【纸人清场倾向一】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_paper_faces_02,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【纸人连锁倾向二】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_paper_faces_03,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【纸人控制倾向三】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_complex_eye_01,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【复合阵眼毕业倾向一】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_complex_eye_02,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【复合阵眼毕业倾向二】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False
dropBiasAtmosphere.drop_bias_complex_eye_03,掉落氛围提示,dropBiasAtmosphere,Tooltip,Reward / Tooltip atmosphere language,【复合阵眼毕业倾向三】战后物件的气息会偏向当前短板，玩家只看到氛围提示。,掉落倾向只表现为氛围，不显示权重、道具清单或词条清单。,BuildProblemSeedDataset.dropBiases,dropBiasWeights,True,False,True,False,False,False

developerKey,chineseDisplayName,dataPanelSlot,sourceDataPath,developerVisible,playerVisible,maskedFromPlayer
hardSolutionTags,硬解标签,ProblemReadinessPanelSlot,BuildProblemSeedDataset.enemyProblems.hardSolutionTags,True,False,True
requiredSynergy,必需协同,ProblemReadinessPanelSlot,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
requiredAffix,必需词缀,ProblemReadinessPanelSlot,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
requiredStats,必需属性,ProblemReadinessPanelSlot,BuildProblemSeedDataset.bossProblems.requiredProblemAttributes,True,False,True
dropBiasWeights,定向倾向权重,ProblemReadinessPanelSlot,BuildProblemSeedDataset.dropBiases.previewWeight,True,False,True
bossSixKeyFullAnswer,Boss六钥匙完整答案,ProblemReadinessPanelSlot,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
