checkId,area,expected,actual,status,notes
"canonical-repeat-reverse","canonical","Repeat and reverse stable","sha256:56c245b02fc6dfeee0e47d37aeab969c34c61ec2e3ac13f1c66abf97b7567f70 / sha256:56c245b02fc6dfeee0e47d37aeab969c34c61ec2e3ac13f1c66abf97b7567f70 / sha256:56c245b02fc6dfeee0e47d37aeab969c34c61ec2e3ac13f1c66abf97b7567f70",PASS,"Full canonical uses ordinal collection ordering."
"canonical-culture","canonical","Invariant across tr-TR","sha256:56c245b02fc6dfeee0e47d37aeab969c34c61ec2e3ac13f1c66abf97b7567f70",PASS,"Canonical formatting is culture invariant."
"canonical-format-sensitivity","canonical","sha256 format and sensitivity checks pass","PASS",PASS,"Validator executes Full-only and Player-safe mutation sensitivity fixtures."
"player-safe-closure","leak","Exact allowlist; 88 base slots; 0 blocked slots","exact; slots=88; deferred=0",PASS,"Mechanic, gap, decision, owner, diagnostics, survey, and blocked slots are absent."
"player-safe-answer-leak","leak","0","0",PASS,"Player-safe shape contains no complete mechanic or Build answer fields."
"negative-duplicate-content-id","negative","CONTENT_ID_DUPLICATE","CONTENT_ID_DUPLICATE|LOCALIZATION_KEY_DUPLICATE|MECHANIC_COMMITMENT_ID_DUPLICATE|P0_CARRIER_MISSING|PRESENTATION_KEY_DUPLICATE",PASS,"Validator and Provider both reject the invalid fixture."
"negative-wrong-kind","negative","P0_CARRIER_MISMATCH","CARRIER_KIND_COUNTS_INVALID|P0_CARRIER_MISMATCH",PASS,"Validator and Provider both reject the invalid fixture."
"negative-wrong-chapter","negative","P0_CARRIER_MISMATCH","P0_CARRIER_MISMATCH",PASS,"Validator and Provider both reject the invalid fixture."
"negative-wrong-family","negative","P0_CARRIER_MISMATCH","P0_CARRIER_MISMATCH",PASS,"Validator and Provider both reject the invalid fixture."
"negative-missing-base-slot","negative","ART_SLOT_MISSING","ART_SLOT_BASE_COUNTS_INVALID|ART_SLOT_COUNT_INVALID|ART_SLOT_MISSING|ART_SLOT_STATUS_COUNTS_INVALID",PASS,"Validator and Provider both reject the invalid fixture."
"negative-wrong-decision","negative","ART_SLOT_MAPPING_INVALID","ART_SLOT_MAPPING_INVALID",PASS,"Validator and Provider both reject the invalid fixture."
"negative-blocked-marked-ready","negative","ART_SLOT_MAPPING_INVALID","ART_SLOT_BASE_COUNTS_INVALID|ART_SLOT_MAPPING_INVALID|ART_SLOT_STATUS_COUNTS_INVALID",PASS,"Validator and Provider both reject the invalid fixture."
"negative-unknown-e02","negative","E02_REFERENCE_UNRESOLVED","E02_REFERENCE_UNRESOLVED|MECHANIC_REFERENCE_DISTINCT_KEY_COUNT_INVALID|MECHANIC_REFERENCE_MAPPING_INVALID|MECHANIC_REFERENCE_MISSING",PASS,"Validator and Provider both reject the invalid fixture."
"negative-e02-category-collision","negative","E02_CATEGORY_COLLISION","E02_CATEGORY_COLLISION|E02_CATEGORY_COLLISION|E02_CATEGORY_COLLISION|E02_CATEGORY_COLLISION|E02_REFERENCE_UNRESOLVED|MECHANIC_REFERENCE_CATEGORY_COUNTS_INVALID|MECHANIC_REFERENCE_MAPPING_INVALID|MECHANIC_REFERENCE_MISSING",PASS,"Validator and Provider both reject the invalid fixture."
"negative-candidate-implemented","negative","CANDIDATE_RUNTIME_IMPLEMENTED","CANDIDATE_RUNTIME_IMPLEMENTED|MECHANIC_REFERENCE_MAPPING_INVALID",PASS,"Validator and Provider both reject the invalid fixture."
"negative-root-isolation","negative","CATALOG_ISOLATION_INVALID","CATALOG_ISOLATION_INVALID",PASS,"Validator and Provider both reject the invalid fixture."
"negative-undefined-enum","negative","CARRIER_KIND_UNDEFINED","CARRIER_KIND_COUNTS_INVALID|CARRIER_KIND_UNDEFINED|P0_CARRIER_MISMATCH",PASS,"Validator and Provider both reject the invalid fixture."
"negative-null-row","negative","CARRIER_ROW_NULL","CARRIER_COUNT_INVALID|CARRIER_KIND_COUNTS_INVALID|CARRIER_ROW_NULL|P0_CARRIER_MISSING",PASS,"Validator and Provider both reject the invalid fixture."
"negative-null-collection","negative","CARRIERS_COLLECTION_NULL","CARRIERS_COLLECTION_NULL|CARRIER_COUNT_INVALID|CARRIER_KIND_COUNTS_INVALID|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING|P0_CARRIER_MISSING",PASS,"Validator and Provider both reject the invalid fixture."
"negative-schema-mismatch","negative","SCHEMA_ID_MISMATCH","SCHEMA_ID_MISMATCH",PASS,"Validator and Provider both reject the invalid fixture."
"negative-null-e02","negative","E02_DEPENDENCY_NULL","E02_DEPENDENCY_NULL",PASS,"Validator and Provider both reject the invalid fixture."
"runtime-dependency-leak","leak","0","0",PASS,"Runtime files remain pure C# with only E02 vocabulary dependency."
"runtime-file-reader-leak","leak","0","0",PASS,"Runtime never reads P0 CSV, Markdown, JSON, or asset files."
"p0-protected-hash","baseline","8/8 unchanged","8/8 unchanged",PASS,"Compared with task-start disk bytes, not Git HEAD."
"e02-protected-hash","baseline","3/3 unchanged","3/3 unchanged",PASS,"Compared with task-start disk bytes, not Git HEAD."
"assignment-sha256","baseline","0ca7e1ab5f089c0522d156b8def74e327737a9590756134512b4415a588fbfd8","0ca7e1ab5f089c0522d156b8def74e327737a9590756134512b4415a588fbfd8",PASS,"Assignment bytes match the delegated P1 authority."
"package-manifest","scope","21 declared; 14 source/meta inputs present; 7 reports overwrite-generated","21 declared; 14 inputs present; 7 reports generated",PASS,"Report absence is allowed at verifier entry so missing outputs can be deterministically rebuilt."
"package-asset-boundary","scope","Scene / Prefab / Config / image = 0 / 0 / 0 / 0","0 / 0 / 0 / 0",PASS,"Whitelist is source, meta, and report content only."
"guid-uniqueness","scope","0 conflicts","0",PASS,"Every new Unity meta GUID is globally unique."
