caseId,contextKind,itemInstanceId,baseItemId,rarity,expected,actual,result,notes
"white-build-none","GeneratedInstancePreview","QA-I001-white","I001","white","None","None","PASS","White rarity is never promoted to Build eligibility."
"same-base-rarity-isolation","GeneratedInstancePreview","two","I001","green","two exact independent instances","isolated","PASS","Same baseItemId + rarity does not merge attributes or affixes."
"stale-no-fallback","GeneratedInstancePreview","QA-STALE-I001","","","unavailable/no fallback","InstanceUnavailable","PASS","A stale itemInstanceId never falls back to baseItemId."
"i031-instance-rejected","GeneratedInstancePreview","I031","I031","","rejected","InstanceUnavailable","PASS","I031 does not enter ordinary generated instances."
"i031-catalog-allowed","CatalogPreview","","I031","","catalog success/no instance","Success","PASS","System item remains a CatalogPreview entry."
"placed-binding-not-invented","PlacedInstance","QA-I001-green-A","I001","green","binding unavailable","PlacedInstanceBindingUnavailable","PASS","Existing strict placement composer remains authoritative."
"scene-two-modes","SandboxLayout","","","","Catalog + Generated Instances","present","PASS","Modes are scene-authored, not runtime-created."
"scene-generated-six","SandboxLayout","","","all","6","6","PASS","Generated mode consumes the shared QA fixture API."
"layout-1080x1920","SandboxLayout","","","","mode bar contained by list + existing panels retain positive bounds","no new mode overlap","PASS","1080x1920 new-control containment check; pre-existing sandbox panel geometry is preserved."
"layout-720x1280","SandboxLayout","","","","mode bar contained by list + existing panels retain positive bounds","no new mode overlap","PASS","720x1280 new-control containment check; pre-existing sandbox panel geometry is preserved."
"prefab-unique-runtime-view","Prefab","","","","one view/2 ScrollRect/18 sections","1/2/18","PASS","The existing ItemDetailPanel.prefab remains the only runtime detail implementation."
"switch-reset-top","Prefab","QA-I001-green-A","I001","green","identity change triggers forced-layout top reset","contract present","PASS","Batch static contract; final scrolling feel remains a user Play hand-test item."
"long-list-bound","Prefab","QA-I001-white","I001","white","last line retained","retained","PASS","Long attributes/affixes remain in scroll content."
