case_id,area,expected,actual,diagnostic_code,result
"null-query","negative","QUERY_REQUIRED","QUERY_REQUIRED","FAIL_CLOSED_MISMATCH","PASS"
"dev-showcase-context","negative","CONTEXT_MISMATCH","CONTEXT_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"diagnostics-only-context","negative","CONTEXT_MISMATCH","CONTEXT_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-mode-RepeatChallengeOnline","negative","ACQUISITION_MODE_MISMATCH","ACQUISITION_MODE_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-mode-OfflinePatrol","negative","ACQUISITION_MODE_MISMATCH","ACQUISITION_MODE_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-grant-OrdinaryRoll","negative","GRANT_KIND_MISMATCH","GRANT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-grant-BossFirstClearGuaranteed","negative","GRANT_KIND_MISMATCH","GRANT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-grant-SystemGrant","negative","GRANT_KIND_MISMATCH","GRANT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-grant-StoryGrant","negative","GRANT_KIND_MISMATCH","GRANT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-grant-CosmeticGrant","negative","GRANT_KIND_MISMATCH","GRANT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-subject-OrdinaryResource","negative","SUBJECT_KIND_MISMATCH","SUBJECT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-subject-SystemRhythmSpecial","negative","SUBJECT_KIND_MISMATCH","SUBJECT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-subject-StoryCritical","negative","SUBJECT_KIND_MISMATCH","SUBJECT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-subject-CosmeticSkin","negative","SUBJECT_KIND_MISMATCH","SUBJECT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"excluded-subject-BossExclusive","negative","SUBJECT_KIND_MISMATCH","SUBJECT_KIND_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"wrong-chapter","negative","CHAPTER_MISMATCH","CHAPTER_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"wrong-stage","negative","STAGE_MISMATCH","STAGE_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"missing-base-identity","negative","SUBJECT_BASE_ITEM_ID_REQUIRED","SUBJECT_BASE_ITEM_ID_REQUIRED","FAIL_CLOSED_MISMATCH","PASS"
"missing-rarity-version-identity","negative","SUBJECT_IDENTITY_REQUIRED","SUBJECT_IDENTITY_REQUIRED","FAIL_CLOSED_MISMATCH","PASS"
"malformed-item-version","negative","PROJECTION_LOOKUP_FAILED","PROJECTION_LOOKUP_FAILED","FAIL_CLOSED_MISMATCH","PASS"
"wrong-profile-revision","negative","PROFILE_REVISION_MISMATCH","PROFILE_REVISION_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"wrong-projection-canonical","negative","PROJECTION_CANONICAL_MISMATCH","PROJECTION_CANONICAL_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"wrong-item-catalog-canonical","negative","ITEM_CATALOG_CANONICAL_MISMATCH","ITEM_CATALOG_CANONICAL_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"wrong-source-catalog","negative","SUBJECT_SOURCE_CATALOG_MISMATCH","SUBJECT_SOURCE_CATALOG_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"wrong-classification-version","negative","SUBJECT_CLASSIFICATION_VERSION_MISMATCH","SUBJECT_CLASSIFICATION_VERSION_MISMATCH","FAIL_CLOSED_MISMATCH","PASS"
"unknown-ordinary-item","negative","PROJECTION_LOOKUP_FAILED","PROJECTION_LOOKUP_FAILED","FAIL_CLOSED_MISMATCH","PASS"
"special-category-reason-is-explicit","negative","SUBJECT_KIND_MISMATCH","SUBJECT_KIND_MISMATCH/SUBJECT_KIND_MISMATCH","PREFIX_OR_NAME_INFERENCE_LEAK","PASS"
"canonical-repeat-100","determinism","byte-identical x100","byte-identical x100","CANONICAL_REPEAT_MISMATCH","PASS"
"canonical-reversed-fixture","determinism","byte-identical","byte-identical","CANONICAL_ORDER_MISMATCH","PASS"
"runtime-excludes-unityengine","isolation","absent","UnityEngine","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-unityeditor","isolation","absent","UnityEditor","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-monobehaviour","isolation","absent","MonoBehaviour","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-scriptableobject","isolation","absent","ScriptableObject","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-directdamage","isolation","absent","directDamage","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-cooldownseconds","isolation","absent","cooldownSeconds","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-lightingrequirement","isolation","absent","lightingRequirement","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-iteminstanceid","isolation","absent","itemInstanceId","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-instancecanonicalsignature","isolation","absent","instanceCanonicalSignature","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-system-random","isolation","absent","System.Random","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-datetime","isolation","absent","DateTime","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-guid","isolation","absent","Guid.","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-probability","isolation","absent","probability","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-weight","isolation","absent","weight","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-pity","isolation","absent","pity","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-affix","isolation","absent","affix","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-droprequest","isolation","absent","DropRequest","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-droprollresult","isolation","absent","DropRollResult","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-rewardresult","isolation","absent","RewardResult","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-stageclearfact","isolation","absent","StageClearFact","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-inventory","isolation","absent","Inventory","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-save","isolation","absent","Save","FORBIDDEN_RUNTIME_TOKEN","PASS"
"runtime-excludes-item-stat-literals","isolation","no standalone Item stat literals","none","ITEM_STAT_LITERAL_LEAK","PASS"
"runtime-namespace","isolation","exact namespace","runtime source","RUNTIME_NAMESPACE_MISMATCH","PASS"
"public-mutation-surface","immutability","none","none","PUBLIC_MUTATION_SURFACE","PASS"
"catalog-collection-read-only","immutability","read-only defensive copy","True","COLLECTION_MUTABLE","PASS"
"protected-hash-C1Lv1StarterItemBaseline","protected-source","a4c454ffcc0a3b5ce1bf2181a39b79ca73c809fd81fd5d3aa3257c7908a140c7","a4c454ffcc0a3b5ce1bf2181a39b79ca73c809fd81fd5d3aa3257c7908a140c7","PROTECTED_SOURCE_HASH_MISMATCH","PASS"
"protected-hash-RewardDropContractPrimitives","protected-source","60385bc84807b88122006948ab402fba39c5d3ec5721d6a387da842f3c7e05e3","60385bc84807b88122006948ab402fba39c5d3ec5721d6a387da842f3c7e05e3","PROTECTED_SOURCE_HASH_MISMATCH","PASS"
"protected-hash-RewardDropContractValidator","protected-source","ed60a14babef252be4d9e646ea9ad16712b770f119d67e7bde2182170522a796","ed60a14babef252be4d9e646ea9ad16712b770f119d67e7bde2182170522a796","PROTECTED_SOURCE_HASH_MISMATCH","PASS"
"protected-hash-RewardResult","protected-source","13a6698bd8d3b15ce21222df0edfb66d69e7f3b2bf09f08608af5cd0e8687cce","13a6698bd8d3b15ce21222df0edfb66d69e7f3b2bf09f08608af5cd0e8687cce","PROTECTED_SOURCE_HASH_MISMATCH","PASS"
"protected-hash-RewardClaimAndDedupeIdentities","protected-source","318573d6fc2378b33c7e0bfe8a2357328ead2971d2b9bdc5f9c3466906f2494c","318573d6fc2378b33c7e0bfe8a2357328ead2971d2b9bdc5f9c3466906f2494c","PROTECTED_SOURCE_HASH_MISMATCH","PASS"
"assignment-sha-after","boundary","cd0c1492d9319ff258e5f3725182a8c1294b4b8ccc97c33b07ac7a0be2ee76b0","cd0c1492d9319ff258e5f3725182a8c1294b4b8ccc97c33b07ac7a0be2ee76b0","ASSIGNMENT_SHA_MISMATCH","PASS"
"whitelist-file-data-meta","write-scope","present and non-empty","172","WHITELIST_FILE_MISSING","PASS"
"whitelist-file-firstclear-meta","write-scope","present and non-empty","172","WHITELIST_FILE_MISSING","PASS"
"whitelist-file-c1stage1firstclearguaranteedrewarddata-cs","write-scope","present and non-empty","38845","WHITELIST_FILE_MISSING","PASS"
"whitelist-file-c1stage1firstclearguaranteedrewarddata-cs-meta","write-scope","present and non-empty","60","WHITELIST_FILE_MISSING","PASS"
"whitelist-file-c1stage1firstclearguaranteedrewarddata01verifier-cs","write-scope","present and non-empty","54206","WHITELIST_FILE_MISSING","PASS"
"whitelist-file-c1stage1firstclearguaranteedrewarddata01verifier-cs-meta","write-scope","present and non-empty","60","WHITELIST_FILE_MISSING","PASS"
"whitelist-file-c1stage1firstclearguaranteedrewarddata01report-md","write-scope","present and non-empty","9649","WHITELIST_FILE_MISSING","PASS"
"whitelist-file-c1stage1firstclearguaranteedrewarddata01spec-csv","write-scope","present and non-empty","9912","WHITELIST_FILE_MISSING","PASS"
"whitelist-file-c1stage1firstclearguaranteedrewarddata01canonicaldeterminism-csv","write-scope","present and non-empty","811","WHITELIST_FILE_MISSING","PASS"
"data-folder-exact-file-set","write-scope","Assets/_Game/Scripts/TalismanBag/V04/RewardDrop/Data/FirstClear.meta|Assets/_Game/Scripts/TalismanBag/V04/RewardDrop/Data/FirstClear/C1Stage1FirstClearGuaranteedRewardData.cs|Assets/_Game/Scripts/TalismanBag/V04/RewardDrop/Data/FirstClear/C1Stage1FirstClearGuaranteedRewardData.cs.meta","Assets/_Game/Scripts/TalismanBag/V04/RewardDrop/Data/FirstClear.meta|Assets/_Game/Scripts/TalismanBag/V04/RewardDrop/Data/FirstClear/C1Stage1FirstClearGuaranteedRewardData.cs|Assets/_Game/Scripts/TalismanBag/V04/RewardDrop/Data/FirstClear/C1Stage1FirstClearGuaranteedRewardData.cs.meta","DATA_FOLDER_SCOPE_LEAK","PASS"
"verifier-prefix-exact-file-set","write-scope","Assets/_Game/Scripts/TalismanBag/Editor/V04/RewardDrop/C1Stage1FirstClearGuaranteedRewardData01Verifier.cs|Assets/_Game/Scripts/TalismanBag/Editor/V04/RewardDrop/C1Stage1FirstClearGuaranteedRewardData01Verifier.cs.meta","Assets/_Game/Scripts/TalismanBag/Editor/V04/RewardDrop/C1Stage1FirstClearGuaranteedRewardData01Verifier.cs|Assets/_Game/Scripts/TalismanBag/Editor/V04/RewardDrop/C1Stage1FirstClearGuaranteedRewardData01Verifier.cs.meta","PACKAGE_PREFIX_SCOPE_LEAK","PASS"
"report-prefix-exact-file-set","write-scope","Docs/V0.4/Reports/C1Stage1FirstClearGuaranteedRewardData01CanonicalDeterminism.csv|Docs/V0.4/Reports/C1Stage1FirstClearGuaranteedRewardData01Report.md|Docs/V0.4/Reports/C1Stage1FirstClearGuaranteedRewardData01Spec.csv","Docs/V0.4/Reports/C1Stage1FirstClearGuaranteedRewardData01CanonicalDeterminism.csv|Docs/V0.4/Reports/C1Stage1FirstClearGuaranteedRewardData01Report.md|Docs/V0.4/Reports/C1Stage1FirstClearGuaranteedRewardData01Spec.csv","PACKAGE_PREFIX_SCOPE_LEAK","PASS"
"report-terminal-marker-c1stage1firstclearguaranteedrewarddata01report-md","reports","C1_STAGE1_FIRST_CLEAR_GUARANTEED_REWARD_DATA01_PASS","marker scan","TERMINAL_MARKER_MISSING","PASS"
"report-terminal-marker-c1stage1firstclearguaranteedrewarddata01spec-csv","reports","C1_STAGE1_FIRST_CLEAR_GUARANTEED_REWARD_DATA01_PASS","marker scan","TERMINAL_MARKER_MISSING","PASS"
"report-terminal-marker-c1stage1firstclearguaranteedrewarddata01canonicaldeterminism-csv","reports","C1_STAGE1_FIRST_CLEAR_GUARANTEED_REWARD_DATA01_PASS","marker scan","TERMINAL_MARKER_MISSING","PASS"
"assignment-sha-after","boundary","cd0c1492d9319ff258e5f3725182a8c1294b4b8ccc97c33b07ac7a0be2ee76b0","cd0c1492d9319ff258e5f3725182a8c1294b4b8ccc97c33b07ac7a0be2ee76b0","ASSIGNMENT_SHA_MISMATCH","PASS"
"terminal-marker","terminal","C1_STAGE1_FIRST_CLEAR_GUARANTEED_REWARD_DATA01_PASS","C1_STAGE1_FIRST_CLEAR_GUARANTEED_REWARD_DATA01_PASS","NONE","PASS"
