caseId,result,detail
"candidate-I022-purple",PASS,"seed=810108; ranges=4; qualification=FaMenOnly"
"candidate-I022-orange",PASS,"seed=810109; ranges=4; qualification=QiLeiOnly"
"candidate-I023-white",PASS,"seed=810110; ranges=4; qualification=None"
"candidate-I023-green",PASS,"seed=810111; ranges=4; qualification=None"
"candidate-I023-blue",PASS,"seed=810112; ranges=4; qualification=None"
"candidate-I023-purple",PASS,"seed=810113; ranges=4; qualification=None"
"candidate-I023-orange",PASS,"seed=810114; ranges=4; qualification=Dual"
"candidate-I024-white",PASS,"seed=810115; ranges=4; qualification=None"
"candidate-I024-green",PASS,"seed=810116; ranges=4; qualification=None"
"candidate-I024-blue",PASS,"seed=810117; ranges=4; qualification=FaMenOnly"
"candidate-I024-purple",PASS,"seed=810118; ranges=4; qualification=QiLeiOnly"
"candidate-I024-orange",PASS,"seed=810119; ranges=4; qualification=Dual"
"candidate-I025-white",PASS,"seed=810120; ranges=4; qualification=None"
"candidate-I025-green",PASS,"seed=810121; ranges=4; qualification=None"
"candidate-I025-blue",PASS,"seed=810122; ranges=4; qualification=FaMenOnly"
"candidate-I025-purple",PASS,"seed=810123; ranges=4; qualification=QiLeiOnly"
"candidate-I025-orange",PASS,"seed=810124; ranges=4; qualification=FaMenOnly"
"candidate-I026-white",PASS,"seed=810125; ranges=4; qualification=None"
"candidate-I026-green",PASS,"seed=810126; ranges=4; qualification=QiLeiOnly"
"candidate-I026-blue",PASS,"seed=810127; ranges=4; qualification=None"
"candidate-I026-purple",PASS,"seed=810128; ranges=4; qualification=None"
"candidate-I026-orange",PASS,"seed=810129; ranges=4; qualification=Dual"
"candidate-I027-white",PASS,"seed=810130; ranges=4; qualification=None"
"candidate-I027-green",PASS,"seed=810131; ranges=4; qualification=None"
"candidate-I027-blue",PASS,"seed=810132; ranges=4; qualification=None"
"candidate-I027-purple",PASS,"seed=810133; ranges=4; qualification=QiLeiOnly"
"candidate-I027-orange",PASS,"seed=810134; ranges=4; qualification=QiLeiOnly"
"candidate-I028-white",PASS,"seed=810135; ranges=4; qualification=None"
"candidate-I028-green",PASS,"seed=810136; ranges=4; qualification=None"
"candidate-I028-blue",PASS,"seed=810137; ranges=4; qualification=FaMenOnly"
"candidate-I028-purple",PASS,"seed=810138; ranges=4; qualification=FaMenOnly"
"candidate-I028-orange",PASS,"seed=810139; ranges=4; qualification=Dual"
"candidate-I029-white",PASS,"seed=810140; ranges=4; qualification=None"
"candidate-I029-green",PASS,"seed=810141; ranges=4; qualification=None"
"candidate-I029-blue",PASS,"seed=810142; ranges=4; qualification=QiLeiOnly"
"candidate-I029-purple",PASS,"seed=810143; ranges=4; qualification=QiLeiOnly"
"candidate-I029-orange",PASS,"seed=810144; ranges=4; qualification=Dual"
"candidate-I030-white",PASS,"seed=810145; ranges=4; qualification=None"
"candidate-I030-green",PASS,"seed=810146; ranges=4; qualification=None"
"candidate-I030-blue",PASS,"seed=810147; ranges=4; qualification=Dual"
"candidate-I030-purple",PASS,"seed=810148; ranges=4; qualification=None"
"candidate-I030-orange",PASS,"seed=810149; ranges=4; qualification=Dual"
"candidate-counts",PASS,"combos=150/150; projections=150/150; details=150/150; deterministic=150/150; ranges=600/600"
"ordinary-pool-excludes-I031",PASS,"count=30; I031=0"
"editable-legal-build6-layout",PASS,"seeds=610000|610000|610001|610000|610000|610000; placements=7; count=6; stage=6"
"validation-layout-array-and-relay",PASS,"arrayActive=2; relay=5"
"main-build-explicit-default-none",PASS,"defaultNone=True; selected=famen:zhenlei"
"main-build-does-not-change-counts",PASS,"before=famen:lihuo=0|famen:taibai=0|famen:xuanshui=0|famen:zhenlei=6|famen:zhongyue=0|qilei:fa=1|qilei:fu=0|qilei:jing=1|qilei:ling=1|qilei:yin=0; after=famen:lihuo=0|famen:taibai=0|famen:xuanshui=0|famen:zhenlei=6|famen:zhongyue=0|qilei:fa=1|qilei:fu=0|qilei:jing=1|qilei:ling=1|qilei:yin=0"
"four-readonly-monitor-slots",PASS,"BasicAttack:True:famen:zhenlei | Build2:True:famen:zhenlei | Build4:True:famen:zhenlei | Build6:True:famen:zhenlei"
"build-stages-2-4-6",PASS,"Build2=2/2; Build4=4/4; Build6=6/6"
"qualification-none-not-counted",PASS,"qualification=None; lit=True; counted=False"
"same-base-owned-multiple-placement-unique",PASS,"owned=wb_i001_orange_610000|wb_i001_orange_610001; placed=P_WORKBENCH_0002; second=False/DuplicateBaseItemPlaced"
"core-visible-unlocked-active-layers",PASS,"Lv1=0/0; Lv40Unlit=5/0; Lv40Lit=5/5"
"full-detail-required-facts",PASS,"requiredFacts=20; missing=None; playerClean=True"
"scene-workbench-component",PASS,"ItemFullDetailBuildSandboxWorkbenchPanel"
"scene-serialized-ui-contract",PASS,"30/5/12/25/6/4"
"layout-1080x1920-no-major-column-overlap",PASS,"ItemNameListPanel:0.025-0.2 | ItemFullDetailBuildSandboxWorkbenchPanel:0.5-0.5 | ItemDetailPanel:0.5-0.5"
"layout-720x1280-no-major-column-overlap",PASS,"anchor-driven: ItemNameListPanel:0.025-0.2 | ItemFullDetailBuildSandboxWorkbenchPanel:0.5-0.5 | ItemDetailPanel:0.5-0.5"
"runtime-does-not-reset-manual-layout",PASS,"before=a=(0.50, 0.50)-(0.50, 0.50); p=(103.00, 0.00); s=(800.00, 1928.00); after=a=(0.50, 0.50)-(0.50, 0.50); p=(103.00, 0.00); s=(800.00, 1928.00)"
"sandbox-scene-not-in-build-settings",PASS,"not registered"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_anchoredPosition",PASS,".anchoredPosition"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_sizeDelta",PASS,".sizeDelta"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_offsetMin",PASS,".offsetMin"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_offsetMax",PASS,".offsetMax"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_preferredWidth",PASS,".preferredWidth"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_preferredHeight",PASS,".preferredHeight"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_spacing",PASS,".spacing"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_padding",PASS,".padding"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchSession.cs-_fontSize",PASS,".fontSize"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-UnifiedBattlePage",PASS,"UnifiedBattlePage"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-BattleContract",PASS,"BattleContract"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-BattleAdapter",PASS,"BattleAdapter"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-BattleBridge",PASS,"BattleBridge"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-V02RunFlowController",PASS,"V02RunFlowController"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-V03RunFlow",PASS,"V03RunFlow"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-RewardResolver",PASS,"RewardResolver"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-InventoryService",PASS,"InventoryService"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-SaveData",PASS,"SaveData"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-BossController",PASS,"BossController"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-EditorBuildSettings_scenes__",PASS,"EditorBuildSettings.scenes ="
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-UnityEngine_Random",PASS,"UnityEngine.Random"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchSession.cs-string_GetHashCode",PASS,"string.GetHashCode"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_anchoredPosition",PASS,".anchoredPosition"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_sizeDelta",PASS,".sizeDelta"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_offsetMin",PASS,".offsetMin"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_offsetMax",PASS,".offsetMax"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_preferredWidth",PASS,".preferredWidth"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_preferredHeight",PASS,".preferredHeight"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_spacing",PASS,".spacing"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_padding",PASS,".padding"
"runtime-layout-scan-ItemFullDetailBuildSandboxWorkbenchView.cs-_fontSize",PASS,".fontSize"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-UnifiedBattlePage",PASS,"UnifiedBattlePage"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-BattleContract",PASS,"BattleContract"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-BattleAdapter",PASS,"BattleAdapter"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-BattleBridge",PASS,"BattleBridge"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-V02RunFlowController",PASS,"V02RunFlowController"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-V03RunFlow",PASS,"V03RunFlow"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-RewardResolver",PASS,"RewardResolver"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-InventoryService",PASS,"InventoryService"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-SaveData",PASS,"SaveData"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-BossController",PASS,"BossController"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-EditorBuildSettings_scenes__",PASS,"EditorBuildSettings.scenes ="
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-UnityEngine_Random",PASS,"UnityEngine.Random"
"scope-leak-ItemFullDetailBuildSandboxWorkbenchView.cs-string_GetHashCode",PASS,"string.GetHashCode"
"protected-hash-Assets__Game_Configs_ItemBalanceWorkbench",PASS,"before=F941C253288D9D0D77AC25EB50716BA76F49E293DD58EA921927798102301915; after=F941C253288D9D0D77AC25EB50716BA76F49E293DD58EA921927798102301915"
"protected-hash-Assets__Game_Scripts_TalismanBag_Items_Generation",PASS,"before=5434BD4C7422681FBAC775ACA2C496B4C8A9EC4B772F1BFB096366533BB527B8; after=5434BD4C7422681FBAC775ACA2C496B4C8A9EC4B772F1BFB096366533BB527B8"
"protected-hash-Assets__Game_Prefabs",PASS,"before=372B1E7DB1C94BA48E412D7946686556D640D414EAB77E339C32FA3E88044B5D; after=372B1E7DB1C94BA48E412D7946686556D640D414EAB77E339C32FA3E88044B5D"
"protected-hash-ProjectSettings_EditorBuildSettings_asset",PASS,"before=1079B5D8CEC522B3825F7E55C79FC972C7DA1D0F024FAF7885CBFD92F94EE9D0; after=1079B5D8CEC522B3825F7E55C79FC972C7DA1D0F024FAF7885CBFD92F94EE9D0"
"protected-hash-Assets__Game_Scripts_TalismanBag_Items_ItemSystemSnapshot_cs",PASS,"before=E517B783D839941488F73BFDB23E18B78DF3A8F81FB342622FF1056EDFA58342; after=E517B783D839941488F73BFDB23E18B78DF3A8F81FB342622FF1056EDFA58342"
"regression-report-ItemInnerDataCatalogReport.md",PASS,"Docs/V0.4/Reports/ItemInnerDataCatalogReport.md"
"regression-report-ItemGridPlacementAndEyeRuleReport.md",PASS,"Docs/V0.4/Reports/ItemGridPlacementAndEyeRuleReport.md"
"regression-report-JuNianLightingAndAdjacentRelayReport.md",PASS,"Docs/V0.4/Reports/JuNianLightingAndAdjacentRelayReport.md"
"regression-report-ArrayBonusCellResolverReport.md",PASS,"Docs/V0.4/Reports/ArrayBonusCellResolverReport.md"
"regression-report-BuildSynergyCoreReport.md",PASS,"Docs/V0.4/Reports/BuildSynergyCoreReport.md"
"regression-report-CoreAwakeningPreviewReport.md",PASS,"Docs/V0.4/Reports/CoreAwakeningPreviewReport.md"
"regression-report-ItemSkillTriggerContractReport.md",PASS,"Docs/V0.4/Reports/ItemSkillTriggerContractReport.md"
"regression-report-ItemDetailProjectionCompleteReport.md",PASS,"Docs/V0.4/Reports/ItemDetailProjectionCompleteReport.md"
"regression-report-ItemSystemValidatorAndSnapshotReport.md",PASS,"Docs/V0.4/Reports/ItemSystemValidatorAndSnapshotReport.md"
"regression-report-ItemBalanceWorkbenchReport.md",PASS,"Docs/V0.4/Reports/ItemBalanceWorkbenchReport.md"
"regression-report-ItemBalanceCandidateDetailSandboxAdapterReport.md",PASS,"Docs/V0.4/Reports/ItemBalanceCandidateDetailSandboxAdapterReport.md"
