supersededId,decisionId,statementId,artSourceId,sourceTextExact,supersededMeaning,userSelectedMeaning,selectedForRuntime,candidateEligible,historicalEvidenceRetained,replacementRequiresLaterDesign,notesDeveloperOnly
BA-SUP-011,BA-D1,BA-ART-02-S025,BA-ART-02,浮游护板沿骨绳轨迹快速转移，将即将到来的攻击引向自身。,不得从女人实体或主人实体转移伤害/攻击。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-012,BA-D1,BA-ART-02-S030,BA-ART-02,护主回身,技能依赖主人/女人作为 Runtime 站位目标。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-013,BA-D1,BA-ART-02-S031,BA-ART-02,迅速转身置于主人身前，背后方攻击拒接在身后。,可读部分已表明依赖主人 Runtime 站位，故不进入未来设计。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。 TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-SUP-014,BA-D1,BA-ART-02-S033,BA-ART-02,第二阶段：替骨承伤,第二阶段依赖替主承伤。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-015,BA-D1,BA-ART-02-S035,BA-ART-02,替骨承伤，忠诚无二，以开环护城，以骨板代身，以绳牵引，以门为界，代主受难，护主周全。,可读语义仍围绕替主承伤，按 BA-D1 排除。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。 TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-SUP-016,BA-D1,BA-ART-03-S024,BA-ART-03,护主绝行,当前技能依赖“主”作为 Runtime 保护对象。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-017,BA-D1,BA-ART-03-S025,BA-ART-03,以残躯直前，长臂刺地，赤绳绞身，阻隔周边区域，为主抵挡最后一击。,不得以女人/主人实体为伤害接收或转移源。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。 TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-SUP-018,BA-D1,BA-ART-03-S027,BA-ART-03,第二阶段：替骨承伤,第二阶段依赖替主承伤。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-019,BA-D1,BA-ART-04-S016,BA-ART-04,承受伤害，传递意志,符绳不得连接女人实体并路由伤害。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-020,BA-D1,BA-ART-04-S020,BA-ART-04,替主承伤,技能名就是被否决的跨目标承伤语义。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-021,BA-D1,BA-ART-04-S021,BA-ART-04,符绳延伸至主之方向，将伤害转移至自身承受。,不得以女人/主人实体产生伤害转移。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-022,BA-D1,BA-ART-04-S025,BA-ART-04,以守护与转移伤害为核心机制,核心机制不能建立跨目标伤害转移。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-023,BA-D1,BA-ART-04-S028,BA-ART-04,承伤,不得作为跨目标承伤机制。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-024,BA-D2,BA-ART-05-S027,BA-ART-05,契柜代价,契柜代价走竞价护盾/替挡伤害路线，与 FALSE_CLONE 选择冲突。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-025,BA-D2,BA-ART-05-S028,BA-ART-05,三块契柜轮流移至身前，为其抵挡伤害。,用户拒绝竞价护盾辅助机制。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-026,BA-D2,BA-ART-06-S039,BA-ART-06,加价护账,该技能属于被拒绝的竞价护盾辅助路线。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-027,BA-D2,BA-ART-06-S040,BA-ART-06,聚集账珠形成护账防御。,护账防御不得进入 future runtime。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。 TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-SUP-028,BA-D2,BA-ART-07-S001,BA-ART-07,竞骨人·三相夺身,三相夺身阶段被用户明确拒绝。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-029,BA-D2,BA-ART-07-S004,BA-ART-07,当三种错误人生同时撕扯老人本体时，他被迫悬吊于契柜之间，三相争夺他的身体与名字。,同时三相争夺本体与单活跃轮替选择冲突。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-030,BA-D2,BA-ART-07-S005,BA-ART-07,此阶段为第二章最终形态。,用户明确未选择三相夺身最终阶段。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-031,BA-D2,BA-ART-07-S007,BA-ART-07,三种人生错相三向展开,三向同时展开与 simultaneous=false 冲突。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-032,BA-D2,BA-ART-07-S009,BA-ART-07,契绳同时牵扯,依赖三相同时存在。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-033,BA-D2,BA-ART-07-S010,BA-ART-07,大范围多方向压迫,该多方向压迫建立在三相同时活跃上。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-034,BA-D2,BA-ART-07-S013,BA-ART-07,书生相·卷,该形态在此板中与另外两相同时存在。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-035,BA-D2,BA-ART-07-S014,BA-ART-07,长卷向外展开，以墨字封锁区域，削弱玩家效果。,该运行时陈述属于被拒绝的同时三相阶段；不得迁入候选。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-036,BA-D2,BA-ART-07-S015,BA-ART-07,将军相·旗,该形态在此板中与另外两相同时存在。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-037,BA-D2,BA-ART-07-S016,BA-ART-07,断旗与残甲形成尖刺，向前突进压制，直线冲击。,该运行时陈述属于被拒绝的同时三相阶段。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-038,BA-D2,BA-ART-07-S017,BA-ART-07,富商相·账,该形态在此板中与另外两相同时存在。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-039,BA-D2,BA-ART-07-S018,BA-ART-07,算盘账柜向外延展，吸取资源并加价，形成压缩领域。,该运行时陈述属于被拒绝阶段；资源执行也不得由 Enemy 直接完成。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-040,BA-D2,BA-ART-07-S020,BA-ART-07,悬吊并牵扯老人，所有技能与压迫来源。,不得建立三相共同拉扯老人并作为技能源。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-041,BA-D2,BA-ART-07-S022,BA-ART-07,三藏契册为三种人生载体，也是弱点所在。,不得创建三种同时活跃的载体或共同弱点。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-042,BA-D2,BA-ART-07-S027,BA-ART-07,三价齐出,技能依赖三种人生共同出击。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-043,BA-D2,BA-ART-07-S028,BA-ART-07,三种人生错相依次发动攻击。,即使攻击依次发生，载体同时存在仍与单活跃选择冲突。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-044,BA-D2,BA-ART-07-S029,BA-ART-07,夺身拉扯,夺身拉扯属于被拒绝阶段核心技能。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-045,BA-D2,BA-ART-07-S030,BA-ART-07,三条契绳同时绷紧，将老人拉向三方向。,明确同时三方向拉扯。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-046,BA-D2,BA-ART-07-S033,BA-ART-07,无价反噬（破绽）,当前破绽依赖被拒绝的三相夺身阶段。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-047,BA-D2,BA-ART-07-S034,BA-ART-07,打破无价页后，三相错构互相撕裂崩解。,依赖三相同时存在并互相崩解。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-048,BA-D2,BA-ART-07-S038,BA-ART-07,第三阶段·三相夺身,该第三阶段被明确拒绝。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-049,BA-D2,BA-ART-07-S041,BA-ART-07,击破后进入无价反噬状态。,不得直接继承被拒绝阶段的反噬状态。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
