caseId,category,expected,actual,result
version.I002@blue,version_150,I002@blue / BALANCE_CANDIDATE,I002@blue / BALANCE_CANDIDATE,PASS
range.I002@blue.damage,stat_range_600,"defined, ordered, step-aligned",22..29,PASS
range.I002@blue.control,stat_range_600,"defined, ordered, step-aligned",5..8,PASS
range.I002@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I002@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I002@purple,version_150,I002@purple / BALANCE_CANDIDATE,I002@purple / BALANCE_CANDIDATE,PASS
range.I002@purple.damage,stat_range_600,"defined, ordered, step-aligned",26..32,PASS
range.I002@purple.control,stat_range_600,"defined, ordered, step-aligned",7..9,PASS
range.I002@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I002@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
version.I002@orange,version_150,I002@orange / BALANCE_CANDIDATE,I002@orange / BALANCE_CANDIDATE,PASS
range.I002@orange.damage,stat_range_600,"defined, ordered, step-aligned",31..34,PASS
range.I002@orange.control,stat_range_600,"defined, ordered, step-aligned",9..10,PASS
range.I002@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I002@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
profile.I003,prototype_30,I001-I030 unique,I003,PASS
version.I003@white,version_150,I003@white / BALANCE_CANDIDATE,I003@white / BALANCE_CANDIDATE,PASS
range.I003@white.break,stat_range_600,"defined, ordered, step-aligned",16..23,PASS
range.I003@white.damage,stat_range_600,"defined, ordered, step-aligned",13..18,PASS
range.I003@white.nianCost,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
range.I003@white.cooldown,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
version.I003@green,version_150,I003@green / BALANCE_CANDIDATE,I003@green / BALANCE_CANDIDATE,PASS
range.I003@green.break,stat_range_600,"defined, ordered, step-aligned",21..30,PASS
range.I003@green.damage,stat_range_600,"defined, ordered, step-aligned",17..24,PASS
range.I003@green.nianCost,stat_range_600,"defined, ordered, step-aligned",6..6,PASS
range.I003@green.cooldown,stat_range_600,"defined, ordered, step-aligned",6..6,PASS
version.I003@blue,version_150,I003@blue / BALANCE_CANDIDATE,I003@blue / BALANCE_CANDIDATE,PASS
range.I003@blue.break,stat_range_600,"defined, ordered, step-aligned",28..36,PASS
range.I003@blue.damage,stat_range_600,"defined, ordered, step-aligned",22..29,PASS
range.I003@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I003@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I003@purple,version_150,I003@purple / BALANCE_CANDIDATE,I003@purple / BALANCE_CANDIDATE,PASS
range.I003@purple.break,stat_range_600,"defined, ordered, step-aligned",34..40,PASS
range.I003@purple.damage,stat_range_600,"defined, ordered, step-aligned",27..32,PASS
range.I003@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I003@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I003@orange,version_150,I003@orange / BALANCE_CANDIDATE,I003@orange / BALANCE_CANDIDATE,PASS
range.I003@orange.break,stat_range_600,"defined, ordered, step-aligned",39..43,PASS
range.I003@orange.damage,stat_range_600,"defined, ordered, step-aligned",31..34,PASS
range.I003@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I003@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
profile.I004,prototype_30,I001-I030 unique,I004,PASS
version.I004@white,version_150,I004@white / BALANCE_CANDIDATE,I004@white / BALANCE_CANDIDATE,PASS
range.I004@white.control,stat_range_600,"defined, ordered, step-aligned",1..3,PASS
range.I004@white.damage,stat_range_600,"defined, ordered, step-aligned",10..14,PASS
range.I004@white.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I004@white.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I004@green,version_150,I004@green / BALANCE_CANDIDATE,I004@green / BALANCE_CANDIDATE,PASS
range.I004@green.control,stat_range_600,"defined, ordered, step-aligned",3..6,PASS
range.I004@green.damage,stat_range_600,"defined, ordered, step-aligned",13..19,PASS
range.I004@green.nianCost,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
range.I004@green.cooldown,stat_range_600,"defined, ordered, step-aligned",4..4,PASS
version.I004@blue,version_150,I004@blue / BALANCE_CANDIDATE,I004@blue / BALANCE_CANDIDATE,PASS
range.I004@blue.control,stat_range_600,"defined, ordered, step-aligned",5..8,PASS
range.I004@blue.damage,stat_range_600,"defined, ordered, step-aligned",18..23,PASS
range.I004@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I004@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
version.I004@purple,version_150,I004@purple / BALANCE_CANDIDATE,I004@purple / BALANCE_CANDIDATE,PASS
range.I004@purple.control,stat_range_600,"defined, ordered, step-aligned",7..9,PASS
range.I004@purple.damage,stat_range_600,"defined, ordered, step-aligned",21..25,PASS
range.I004@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I004@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",2..3,PASS
version.I004@orange,version_150,I004@orange / BALANCE_CANDIDATE,I004@orange / BALANCE_CANDIDATE,PASS
range.I004@orange.control,stat_range_600,"defined, ordered, step-aligned",9..10,PASS
range.I004@orange.damage,stat_range_600,"defined, ordered, step-aligned",24..27,PASS
range.I004@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I004@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",2..3,PASS
profile.I005,prototype_30,I001-I030 unique,I005,PASS
version.I005@white,version_150,I005@white / BALANCE_CANDIDATE,I005@white / BALANCE_CANDIDATE,PASS
range.I005@white.break,stat_range_600,"defined, ordered, step-aligned",14..21,PASS
range.I005@white.control,stat_range_600,"defined, ordered, step-aligned",1..3,PASS
range.I005@white.nianCost,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
range.I005@white.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I005@green,version_150,I005@green / BALANCE_CANDIDATE,I005@green / BALANCE_CANDIDATE,PASS
range.I005@green.break,stat_range_600,"defined, ordered, step-aligned",19..27,PASS
range.I005@green.control,stat_range_600,"defined, ordered, step-aligned",3..6,PASS
range.I005@green.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I005@green.cooldown,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
version.I005@blue,version_150,I005@blue / BALANCE_CANDIDATE,I005@blue / BALANCE_CANDIDATE,PASS
range.I005@blue.break,stat_range_600,"defined, ordered, step-aligned",26..34,PASS
range.I005@blue.control,stat_range_600,"defined, ordered, step-aligned",5..8,PASS
range.I005@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I005@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I005@purple,version_150,I005@purple / BALANCE_CANDIDATE,I005@purple / BALANCE_CANDIDATE,PASS
range.I005@purple.break,stat_range_600,"defined, ordered, step-aligned",31..37,PASS
range.I005@purple.control,stat_range_600,"defined, ordered, step-aligned",7..9,PASS
range.I005@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I005@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
version.I005@orange,version_150,I005@orange / BALANCE_CANDIDATE,I005@orange / BALANCE_CANDIDATE,PASS
range.I005@orange.break,stat_range_600,"defined, ordered, step-aligned",36..40,PASS
range.I005@orange.control,stat_range_600,"defined, ordered, step-aligned",9..10,PASS
range.I005@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I005@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
profile.I006,prototype_30,I001-I030 unique,I006,PASS
version.I006@white,version_150,I006@white / BALANCE_CANDIDATE,I006@white / BALANCE_CANDIDATE,PASS
range.I006@white.damage,stat_range_600,"defined, ordered, step-aligned",24..34,PASS
range.I006@white.control,stat_range_600,"defined, ordered, step-aligned",1..3,PASS
range.I006@white.nianCost,stat_range_600,"defined, ordered, step-aligned",8..9,PASS
range.I006@white.cooldown,stat_range_600,"defined, ordered, step-aligned",7..8,PASS
version.I006@green,version_150,I006@green / BALANCE_CANDIDATE,I006@green / BALANCE_CANDIDATE,PASS
range.I006@green.damage,stat_range_600,"defined, ordered, step-aligned",32..44,PASS
range.I006@green.control,stat_range_600,"defined, ordered, step-aligned",3..6,PASS
range.I006@green.nianCost,stat_range_600,"defined, ordered, step-aligned",7..8,PASS
range.I006@green.cooldown,stat_range_600,"defined, ordered, step-aligned",7..7,PASS
version.I006@blue,version_150,I006@blue / BALANCE_CANDIDATE,I006@blue / BALANCE_CANDIDATE,PASS
range.I006@blue.damage,stat_range_600,"defined, ordered, step-aligned",42..54,PASS
range.I006@blue.control,stat_range_600,"defined, ordered, step-aligned",5..8,PASS
range.I006@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
range.I006@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
version.I006@purple,version_150,I006@purple / BALANCE_CANDIDATE,I006@purple / BALANCE_CANDIDATE,PASS
range.I006@purple.damage,stat_range_600,"defined, ordered, step-aligned",50..60,PASS
range.I006@purple.control,stat_range_600,"defined, ordered, step-aligned",7..9,PASS
range.I006@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I006@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I006@orange,version_150,I006@orange / BALANCE_CANDIDATE,I006@orange / BALANCE_CANDIDATE,PASS
range.I006@orange.damage,stat_range_600,"defined, ordered, step-aligned",58..64,PASS
range.I006@orange.control,stat_range_600,"defined, ordered, step-aligned",9..10,PASS
range.I006@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I006@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
profile.I007,prototype_30,I001-I030 unique,I007,PASS
version.I007@white,version_150,I007@white / BALANCE_CANDIDATE,I007@white / BALANCE_CANDIDATE,PASS
range.I007@white.damage,stat_range_600,"defined, ordered, step-aligned",8..12,PASS
range.I007@white.duration,stat_range_600,"defined, ordered, step-aligned",1..2,PASS
range.I007@white.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I007@white.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I007@green,version_150,I007@green / BALANCE_CANDIDATE,I007@green / BALANCE_CANDIDATE,PASS
range.I007@green.damage,stat_range_600,"defined, ordered, step-aligned",11..16,PASS
range.I007@green.duration,stat_range_600,"defined, ordered, step-aligned",2..4,PASS
range.I007@green.nianCost,stat_range_600,"defined, ordered, step-aligned",4..4,PASS
range.I007@green.cooldown,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
version.I007@blue,version_150,I007@blue / BALANCE_CANDIDATE,I007@blue / BALANCE_CANDIDATE,PASS
range.I007@blue.damage,stat_range_600,"defined, ordered, step-aligned",15..20,PASS
range.I007@blue.duration,stat_range_600,"defined, ordered, step-aligned",3..5,PASS
range.I007@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I007@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I007@purple,version_150,I007@purple / BALANCE_CANDIDATE,I007@purple / BALANCE_CANDIDATE,PASS
range.I007@purple.damage,stat_range_600,"defined, ordered, step-aligned",18..22,PASS
range.I007@purple.duration,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I007@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",2..3,PASS
range.I007@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
version.I007@orange,version_150,I007@orange / BALANCE_CANDIDATE,I007@orange / BALANCE_CANDIDATE,PASS
range.I007@orange.damage,stat_range_600,"defined, ordered, step-aligned",22..24,PASS
range.I007@orange.duration,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I007@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",2..3,PASS
range.I007@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
profile.I008,prototype_30,I001-I030 unique,I008,PASS
version.I008@white,version_150,I008@white / BALANCE_CANDIDATE,I008@white / BALANCE_CANDIDATE,PASS
range.I008@white.damage,stat_range_600,"defined, ordered, step-aligned",12..18,PASS
range.I008@white.duration,stat_range_600,"defined, ordered, step-aligned",1..2,PASS
range.I008@white.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I008@white.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I008@green,version_150,I008@green / BALANCE_CANDIDATE,I008@green / BALANCE_CANDIDATE,PASS
range.I008@green.damage,stat_range_600,"defined, ordered, step-aligned",16..23,PASS
range.I008@green.duration,stat_range_600,"defined, ordered, step-aligned",2..4,PASS
range.I008@green.nianCost,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
range.I008@green.cooldown,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
version.I008@blue,version_150,I008@blue / BALANCE_CANDIDATE,I008@blue / BALANCE_CANDIDATE,PASS
range.I008@blue.damage,stat_range_600,"defined, ordered, step-aligned",22..29,PASS
range.I008@blue.duration,stat_range_600,"defined, ordered, step-aligned",3..5,PASS
range.I008@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I008@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I008@purple,version_150,I008@purple / BALANCE_CANDIDATE,I008@purple / BALANCE_CANDIDATE,PASS
range.I008@purple.damage,stat_range_600,"defined, ordered, step-aligned",26..32,PASS
range.I008@purple.duration,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I008@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I008@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
version.I008@orange,version_150,I008@orange / BALANCE_CANDIDATE,I008@orange / BALANCE_CANDIDATE,PASS
range.I008@orange.damage,stat_range_600,"defined, ordered, step-aligned",31..34,PASS
range.I008@orange.duration,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I008@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I008@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
profile.I009,prototype_30,I001-I030 unique,I009,PASS
version.I009@white,version_150,I009@white / BALANCE_CANDIDATE,I009@white / BALANCE_CANDIDATE,PASS
range.I009@white.damage,stat_range_600,"defined, ordered, step-aligned",18..26,PASS
range.I009@white.duration,stat_range_600,"defined, ordered, step-aligned",1..2,PASS
range.I009@white.nianCost,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
range.I009@white.cooldown,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
version.I009@green,version_150,I009@green / BALANCE_CANDIDATE,I009@green / BALANCE_CANDIDATE,PASS
range.I009@green.damage,stat_range_600,"defined, ordered, step-aligned",24..33,PASS
range.I009@green.duration,stat_range_600,"defined, ordered, step-aligned",2..4,PASS
range.I009@green.nianCost,stat_range_600,"defined, ordered, step-aligned",6..6,PASS
range.I009@green.cooldown,stat_range_600,"defined, ordered, step-aligned",6..6,PASS
version.I009@blue,version_150,I009@blue / BALANCE_CANDIDATE,I009@blue / BALANCE_CANDIDATE,PASS
range.I009@blue.damage,stat_range_600,"defined, ordered, step-aligned",31..41,PASS
range.I009@blue.duration,stat_range_600,"defined, ordered, step-aligned",3..5,PASS
range.I009@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I009@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I009@purple,version_150,I009@purple / BALANCE_CANDIDATE,I009@purple / BALANCE_CANDIDATE,PASS
range.I009@purple.damage,stat_range_600,"defined, ordered, step-aligned",37..45,PASS
range.I009@purple.duration,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I009@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I009@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I009@orange,version_150,I009@orange / BALANCE_CANDIDATE,I009@orange / BALANCE_CANDIDATE,PASS
range.I009@orange.damage,stat_range_600,"defined, ordered, step-aligned",44..48,PASS
range.I009@orange.duration,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I009@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I009@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
profile.I010,prototype_30,I001-I030 unique,I010,PASS
version.I010@white,version_150,I010@white / BALANCE_CANDIDATE,I010@white / BALANCE_CANDIDATE,PASS
range.I010@white.damage,stat_range_600,"defined, ordered, step-aligned",14..20,PASS
range.I010@white.duration,stat_range_600,"defined, ordered, step-aligned",1..2,PASS
range.I010@white.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I010@white.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I010@green,version_150,I010@green / BALANCE_CANDIDATE,I010@green / BALANCE_CANDIDATE,PASS
range.I010@green.damage,stat_range_600,"defined, ordered, step-aligned",19..26,PASS
range.I010@green.duration,stat_range_600,"defined, ordered, step-aligned",2..4,PASS
range.I010@green.nianCost,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
range.I010@green.cooldown,stat_range_600,"defined, ordered, step-aligned",4..4,PASS
version.I010@blue,version_150,I010@blue / BALANCE_CANDIDATE,I010@blue / BALANCE_CANDIDATE,PASS
range.I010@blue.damage,stat_range_600,"defined, ordered, step-aligned",25..32,PASS
range.I010@blue.duration,stat_range_600,"defined, ordered, step-aligned",3..5,PASS
range.I010@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I010@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
version.I010@purple,version_150,I010@purple / BALANCE_CANDIDATE,I010@purple / BALANCE_CANDIDATE,PASS
range.I010@purple.damage,stat_range_600,"defined, ordered, step-aligned",30..36,PASS
range.I010@purple.duration,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I010@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I010@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",2..3,PASS
version.I010@orange,version_150,I010@orange / BALANCE_CANDIDATE,I010@orange / BALANCE_CANDIDATE,PASS
range.I010@orange.damage,stat_range_600,"defined, ordered, step-aligned",34..38,PASS
range.I010@orange.duration,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I010@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I010@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",2..3,PASS
profile.I011,prototype_30,I001-I030 unique,I011,PASS
version.I011@white,version_150,I011@white / BALANCE_CANDIDATE,I011@white / BALANCE_CANDIDATE,PASS
range.I011@white.damage,stat_range_600,"defined, ordered, step-aligned",16..23,PASS
range.I011@white.duration,stat_range_600,"defined, ordered, step-aligned",1..2,PASS
range.I011@white.nianCost,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
range.I011@white.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I011@green,version_150,I011@green / BALANCE_CANDIDATE,I011@green / BALANCE_CANDIDATE,PASS
range.I011@green.damage,stat_range_600,"defined, ordered, step-aligned",22..30,PASS
range.I011@green.duration,stat_range_600,"defined, ordered, step-aligned",2..4,PASS
range.I011@green.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I011@green.cooldown,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
version.I011@blue,version_150,I011@blue / BALANCE_CANDIDATE,I011@blue / BALANCE_CANDIDATE,PASS
range.I011@blue.damage,stat_range_600,"defined, ordered, step-aligned",29..37,PASS
range.I011@blue.duration,stat_range_600,"defined, ordered, step-aligned",3..5,PASS
range.I011@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I011@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I011@purple,version_150,I011@purple / BALANCE_CANDIDATE,I011@purple / BALANCE_CANDIDATE,PASS
range.I011@purple.damage,stat_range_600,"defined, ordered, step-aligned",34..41,PASS
range.I011@purple.duration,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I011@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I011@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
version.I011@orange,version_150,I011@orange / BALANCE_CANDIDATE,I011@orange / BALANCE_CANDIDATE,PASS
range.I011@orange.damage,stat_range_600,"defined, ordered, step-aligned",40..44,PASS
range.I011@orange.duration,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I011@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I011@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
profile.I012,prototype_30,I001-I030 unique,I012,PASS
version.I012@white,version_150,I012@white / BALANCE_CANDIDATE,I012@white / BALANCE_CANDIDATE,PASS
range.I012@white.damage,stat_range_600,"defined, ordered, step-aligned",24..34,PASS
range.I012@white.duration,stat_range_600,"defined, ordered, step-aligned",1..2,PASS
range.I012@white.nianCost,stat_range_600,"defined, ordered, step-aligned",8..9,PASS
range.I012@white.cooldown,stat_range_600,"defined, ordered, step-aligned",7..8,PASS
version.I012@green,version_150,I012@green / BALANCE_CANDIDATE,I012@green / BALANCE_CANDIDATE,PASS
range.I012@green.damage,stat_range_600,"defined, ordered, step-aligned",32..44,PASS
range.I012@green.duration,stat_range_600,"defined, ordered, step-aligned",2..4,PASS
range.I012@green.nianCost,stat_range_600,"defined, ordered, step-aligned",7..8,PASS
range.I012@green.cooldown,stat_range_600,"defined, ordered, step-aligned",7..7,PASS
version.I012@blue,version_150,I012@blue / BALANCE_CANDIDATE,I012@blue / BALANCE_CANDIDATE,PASS
range.I012@blue.damage,stat_range_600,"defined, ordered, step-aligned",42..54,PASS
range.I012@blue.duration,stat_range_600,"defined, ordered, step-aligned",3..5,PASS
range.I012@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
range.I012@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",6..7,PASS
version.I012@purple,version_150,I012@purple / BALANCE_CANDIDATE,I012@purple / BALANCE_CANDIDATE,PASS
range.I012@purple.damage,stat_range_600,"defined, ordered, step-aligned",50..60,PASS
range.I012@purple.duration,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I012@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I012@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I012@orange,version_150,I012@orange / BALANCE_CANDIDATE,I012@orange / BALANCE_CANDIDATE,PASS
range.I012@orange.damage,stat_range_600,"defined, ordered, step-aligned",58..64,PASS
range.I012@orange.duration,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I012@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I012@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
profile.I013,prototype_30,I001-I030 unique,I013,PASS
version.I013@white,version_150,I013@white / BALANCE_CANDIDATE,I013@white / BALANCE_CANDIDATE,PASS
range.I013@white.guard,stat_range_600,"defined, ordered, step-aligned",9..14,PASS
range.I013@white.duration,stat_range_600,"defined, ordered, step-aligned",1..2,PASS
range.I013@white.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I013@white.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I013@green,version_150,I013@green / BALANCE_CANDIDATE,I013@green / BALANCE_CANDIDATE,PASS
range.I013@green.guard,stat_range_600,"defined, ordered, step-aligned",13..19,PASS
range.I013@green.duration,stat_range_600,"defined, ordered, step-aligned",2..4,PASS
range.I013@green.nianCost,stat_range_600,"defined, ordered, step-aligned",4..4,PASS
