candidateMigrationRequirementId,ownerId,fieldName,evidenceState,requiredStatus,approvedValue,contextCardinality,notApplicableInference,sourceEvidence
layout_resilience.polluted_tile.placement_shape,dev_enemy_polluted_tile_problem,PressureKinds,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,Theme and BP are not pressure facts.
layout_resilience.polluted_tile.placement_shape,dev_enemy_polluted_tile_problem,DeclaredBoardSize,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored board extent exists.
layout_resilience.polluted_tile.placement_shape,dev_enemy_polluted_tile_problem,LayoutDomainCells,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored layout domain exists.
layout_resilience.polluted_tile.placement_shape,dev_enemy_polluted_tile_problem,UsableCellsAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored post-pressure cells exist.
layout_resilience.polluted_tile.placement_shape,dev_enemy_polluted_tile_problem,EffectiveEyeAnchorCellAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored effective eye anchor exists.
layout_resilience.polluted_tile.placement_shape,dev_enemy_polluted_tile_problem,PreservedStructuralConnectionsAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored structural graph exists.
layout_resilience.polluted_tile.placement_shape,dev_enemy_polluted_tile_problem,RequiredPredicateClauses,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No clause selection is approved.
layout_resilience.spirit_thief.placement_shape,dev_enemy_spirit_thief_problem,PressureInputId,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No approved real P2 binding exists.
layout_resilience.spirit_thief.placement_shape,dev_enemy_spirit_thief_problem,PressureKinds,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,Theme and BP are not pressure facts.
layout_resilience.spirit_thief.placement_shape,dev_enemy_spirit_thief_problem,DeclaredBoardSize,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored board extent exists.
layout_resilience.spirit_thief.placement_shape,dev_enemy_spirit_thief_problem,LayoutDomainCells,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored layout domain exists.
layout_resilience.spirit_thief.placement_shape,dev_enemy_spirit_thief_problem,UsableCellsAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored post-pressure cells exist.
layout_resilience.spirit_thief.placement_shape,dev_enemy_spirit_thief_problem,EffectiveEyeAnchorCellAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored effective eye anchor exists.
layout_resilience.spirit_thief.placement_shape,dev_enemy_spirit_thief_problem,PreservedStructuralConnectionsAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored structural graph exists.
layout_resilience.spirit_thief.placement_shape,dev_enemy_spirit_thief_problem,RequiredPredicateClauses,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No clause selection is approved.
