encounterId,encounterKind,chineseDisplayName,selectorLabel,mapMechanicChinese,encounterMechanicChinese,bossSkillChinese,weaknessWindowChinese,testTargetChinese,readinessPreviewChinese,failureFeedbackChinese,dropBiasAtmosphereChinese,sourceDataPath,playerHintCount,devOnly,isEnabled,playerVisible,showsCompleteAnswer,runsFormalCombat,grantsFormalReward,writesFormalSaveData,writesFormalFlow,formalLeak
dev_enemy_formation_eye_jammer,enemy,阵眼干扰怪,敌人：阵眼干扰怪,【阵眼偏移】阵眼偏移会惩罚松散摆放，需补形态钥匙或供能链。,【阵眼干扰怪】偷灵会切断供能节奏。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：阵眼 / 摆放、供能干扰。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【供能不稳】补聚能、镇魂或缩短关键道具供能链。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_boss_shield_jinglei,boss,护盾首领：验证惊雷,首领：护盾首领：验证惊雷,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【护盾首领：验证惊雷】验证惊雷破盾 构筑,【黑炉护壳师】会用阶段压力试探你的构筑完整度；这里只显示威胁线索。,弱点窗口：连续破三层护壳 -> 首领 虚弱。只提示时机，不显示完整答案。,测试目标：护盾 / 破盾。,准备度预览只显示是否大致够用；钥匙、数值和完整答案留在开发者数据面板。,【黑炉护壳未破】先补 破盾能力，再补短窗爆发和供能稳定。,战后物件气息会偏向补足当前短板；不显示权重、道具清单或词条清单。,EnemyBossValidationPool.bosses + BuildProblemSeedDataset.bossProblems,8,True,False,True,False,False,False,False,False,False
dev_boss_swarm_lihuo,boss,群怪首领：验证离火,首领：群怪首领：验证离火,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【群怪首领：验证离火】验证惊雷破盾 构筑,【黑炉护壳师】会用阶段压力试探你的构筑完整度；这里只显示威胁线索。,弱点窗口：连续破三层护壳 -> 首领 虚弱。只提示时机，不显示完整答案。,测试目标：群怪清场。,准备度预览只显示是否大致够用；钥匙、数值和完整答案留在开发者数据面板。,【黑炉护壳未破】先补 破盾能力，再补短窗爆发和供能稳定。,战后物件气息会偏向补足当前短板；不显示权重、道具清单或词条清单。,EnemyBossValidationPool.bosses + BuildProblemSeedDataset.bossProblems,8,True,False,True,False,False,False,False,False,False
dev_boss_burst_huzhen,boss,高爆发首领：验证护阵,首领：高爆发首领：验证护阵,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【高爆发首领：验证护阵】验证惊雷破盾 构筑,【黑炉护壳师】会用阶段压力试探你的构筑完整度；这里只显示威胁线索。,弱点窗口：连续破三层护壳 -> 首领 虚弱。只提示时机，不显示完整答案。,测试目标：爆发承压。,准备度预览只显示是否大致够用；钥匙、数值和完整答案留在开发者数据面板。,【黑炉护壳未破】先补 破盾能力，再补短窗爆发和供能稳定。,战后物件气息会偏向补足当前短板；不显示权重、道具清单或词条清单。,EnemyBossValidationPool.bosses + BuildProblemSeedDataset.bossProblems,8,True,False,True,False,False,False,False,False,False
dev_boss_debuff_jinge,boss,负面状态首领：验证净厄,首领：负面状态首领：验证净厄,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【负面状态首领：验证净厄】验证惊雷破盾 构筑,【黑炉护壳师】会用阶段压力试探你的构筑完整度；这里只显示威胁线索。,弱点窗口：连续破三层护壳 -> 首领 虚弱。只提示时机，不显示完整答案。,测试目标：负面 / 污染。,准备度预览只显示是否大致够用；钥匙、数值和完整答案留在开发者数据面板。,【黑炉护壳未破】先补 破盾能力，再补短窗爆发和供能稳定。,战后物件气息会偏向补足当前短板；不显示权重、道具清单或词条清单。,EnemyBossValidationPool.bosses + BuildProblemSeedDataset.bossProblems,8,True,False,True,False,False,False,False,False,False
dev_boss_caster_zhenhun,boss,施法首领：验证镇魂,首领：施法首领：验证镇魂,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【施法首领：验证镇魂】验证惊雷破盾 构筑,【黑炉护壳师】会用阶段压力试探你的构筑完整度；这里只显示威胁线索。,弱点窗口：连续破三层护壳 -> 首领 虚弱。只提示时机，不显示完整答案。,测试目标：控制 / 打断。,准备度预览只显示是否大致够用；钥匙、数值和完整答案留在开发者数据面板。,【黑炉护壳未破】先补 破盾能力，再补短窗爆发和供能稳定。,战后物件气息会偏向补足当前短板；不显示权重、道具清单或词条清单。,EnemyBossValidationPool.bosses + BuildProblemSeedDataset.bossProblems,8,True,False,True,False,False,False,False,False,False
dev_boss_energy_juneng,boss,供能干扰首领：验证聚能,首领：供能干扰首领：验证聚能,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【供能干扰首领：验证聚能】验证惊雷破盾 构筑,【黑炉护壳师】会用阶段压力试探你的构筑完整度；这里只显示威胁线索。,弱点窗口：连续破三层护壳 -> 首领 虚弱。只提示时机，不显示完整答案。,测试目标：供能干扰。,准备度预览只显示是否大致够用；钥匙、数值和完整答案留在开发者数据面板。,【黑炉护壳未破】先补 破盾能力，再补短窗爆发和供能稳定。,战后物件气息会偏向补足当前短板；不显示权重、道具清单或词条清单。,EnemyBossValidationPool.bosses + BuildProblemSeedDataset.bossProblems,8,True,False,True,False,False,False,False,False,False
dev_boss_hybrid_combo,boss,混合机制首领：验证组合构筑,首领：混合机制首领：验证组合构筑,【炉灰落阵】炉灰会污染关键摆放位，净化和护阵缺一都容易失守。,【混合机制首领：验证组合构筑】验证综合 构筑 毕业考试,【黑炉复合阵眼】会用阶段压力试探你的构筑完整度；这里只显示威胁线索。,弱点窗口：供能链反制成功 -> 玩家全阵爆发一次。只提示时机，不显示完整答案。,测试目标：组合构筑。,准备度预览只显示是否大致够用；钥匙、数值和完整答案留在开发者数据面板。,【综合钥匙缺口】毕业检查需要同时覆盖破盾、净化、控制、护阵、供能、清场和爆发。,战后物件气息会偏向补足当前短板；不显示权重、道具清单或词条清单。,EnemyBossValidationPool.bosses + BuildProblemSeedDataset.bossProblems,8,True,False,True,False,False,False,False,False,False

developerKey,chineseDisplayName,dataPanelSlot,sourceDataPath,developerVisible,playerVisible,maskedFromPlayer
hardSolutionTags,硬解标签,ProblemReadinessPanelSlot,BuildProblemSeedDataset.enemyProblems.hardSolutionTags,True,False,True
requiredSynergy,必需协同,ProblemReadinessPanelSlot,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
requiredAffix,必需词缀,ProblemReadinessPanelSlot,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
requiredStats,必需属性,ProblemReadinessPanelSlot,BuildProblemSeedDataset.bossProblems.requiredProblemAttributes,True,False,True
dropBiasWeights,定向倾向权重,ProblemReadinessPanelSlot,BuildProblemSeedDataset.dropBiases.previewWeight,True,False,True
bossSixKeyFullAnswer,Boss六钥匙完整答案,ProblemReadinessPanelSlot,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
